round,prototype_step_m,theta_0_0,theta_0_1,theta_1_0,theta_1_1,theta_2_0,theta_2_1,theta_3_0,theta_3_1,theta_4_0,theta_4_1,softmax_0_0,softmax_0_1,softmax_1_0,softmax_1_1,softmax_2_0,softmax_2_1,softmax_3_0,softmax_3_1,softmax_4_0,softmax_4_1
0,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.03556132898964275,0.039667361759996266,-0.01743625361242188,-0.02311758963322836,0.042898794062857695,-0.009565216244080745,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886,0.4989734932496109,0.5010265067503892,0.501420330184802,0.49857966981519797,0.5131129949516727,0.4868870050483272
1,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.03556132898964275,0.039667361759996266,-0.01743625361242188,-0.02311758963322836,0.042898794062857695,-0.009565216244080745,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886,0.4989734932496109,0.5010265067503892,0.501420330184802,0.49857966981519797,0.5131129949516727,0.4868870050483272
2,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.03556132898964275,0.039667361759996266,-0.01743625361242188,-0.02311758963322836,0.042898794062857695,-0.009565216244080745,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886,0.4989734932496109,0.5010265067503892,0.501420330184802,0.49857966981519797,0.5131129949516727,0.4868870050483272
3,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.03556132898964275,0.039667361759996266,-0.01743625361242188,-0.02311758963322836,0.042898794062857695,-0.009565216244080745,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886,0.4989734932496109,0.5010265067503892,0.501420330184802,0.49857966981519797,0.5131129949516727,0.4868870050483272
4,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.03556132898964275,0.039667361759996266,-0.01743625361242188,-0.02311758963322836,0.042898794062857695,-0.009565216244080745,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886,0.4989734932496109,0.5010265067503892,0.501420330184802,0.49857966981519797,0.5131129949516727,0.4868870050483272
5,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.03556132898964275,0.039667361759996266,-0.01743625361242188,-0.02311758963322836,0.042898794062857695,-0.009565216244080745,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886,0.4989734932496109,0.5010265067503892,0.501420330184802,0.49857966981519797,0.5131129949516727,0.4868870050483272
6,1,0.34055963571199194,-0.44144737579207155,0.383929940755432,-0.3464811709322178,0.393278574200786,-0.3180498834511471,0.3299135471055572,-0.37046739035120746,0.34068768780390407,-0.3073541099851265,0.6861125095858607,0.3138874904141393,0.6748954817282491,0.32510451827175096,0.67069463391072,0.32930536608928,0.6682722254943871,0.33172777450561297,0.6565690507058175,0.3434309492941825
7,1,0.34055963571199194,-0.44144737579207155,0.383929940755432,-0.3464811709322178,0.393278574200786,-0.3180498834511471,0.3299135471055572,-0.37046739035120746,0.34068768780390407,-0.3073541099851265,0.6861125095858607,0.3138874904141393,0.6748954817282491,0.32510451827175096,0.67069463391072,0.32930536608928,0.6682722254943871,0.33172777450561297,0.6565690507058175,0.3434309492941825
8,1,0.34055963571199194,-0.44144737579207155,0.383929940755432,-0.3464811709322178,0.393278574200786,-0.3180498834511471,0.3299135471055572,-0.37046739035120746,0.34068768780390407,-0.3073541099851265,0.6861125095858607,0.3138874904141393,0.6748954817282491,0.32510451827175096,0.67069463391072,0.32930536608928,0.6682722254943871,0.33172777450561297,0.6565690507058175,0.3434309492941825
9,1,0.34055963571199194,-0.44144737579207155,0.383929940755432,-0.3464811709322178,0.393278574200786,-0.3180498834511471,0.3299135471055572,-0.37046739035120746,0.34068768780390407,-0.3073541099851265,0.6861125095858607,0.3138874904141393,0.6748954817282491,0.32510451827175096,0.67069463391072,0.32930536608928,0.6682722254943871,0.33172777450561297,0.6565690507058175,0.3434309492941825
10,1,0.34055963571199194,-0.44144737579207155,0.383929940755432,-0.3464811709322178,0.393278574200786,-0.3180498834511471,0.3299135471055572,-0.37046739035120746,0.34068768780390407,-0.3073541099851265,0.6861125095858607,0.3138874904141393,0.6748954817282491,0.32510451827175096,0.67069463391072,0.32930536608928,0.6682722254943871,0.33172777450561297,0.6565690507058175,0.3434309492941825
11,1,0.34055963571199194,-0.44144737579207155,0.383929940755432,-0.3464811709322178,0.393278574200786,-0.3180498834511471,0.3299135471055572,-0.37046739035120746,0.34068768780390407,-0.3073541099851265,0.6861125095858607,0.3138874904141393,0.6748954817282491,0.32510451827175096,0.67069463391072,0.32930536608928,0.6682722254943871,0.33172777450561297,0.6565690507058175,0.3434309492941825
12,1,0.34055963571199194,-0.44144737579207155,0.383929940755432,-0.3464811709322178,0.393278574200786,-0.3180498834511471,0.3299135471055572,-0.37046739035120746,0.34068768780390407,-0.3073541099851265,0.6861125095858607,0.3138874904141393,0.6748954817282491,0.32510451827175096,0.67069463391072,0.32930536608928,0.6682722254943871,0.33172777450561297,0.6565690507058175,0.3434309492941825
13,2,-0.05881794694471992,-0.04206979313535969,0.009902576244122108,0.027546193579092104,0.028768148999146426,0.04646054175049247,-0.029103306343915447,-0.011450536901735031,0.00826896319214443,0.02506461462663312,0.49581305941716747,0.5041869405828326,0.4955892100878883,0.5044107899121116,0.4955770171853489,0.5044229828146511,0.4955869222392329,0.504413077760767,0.4958011858459046,0.5041988141540954
14,2,-0.05881794694471992,-0.04206979313535969,0.009902576244122108,0.027546193579092104,0.028768148999146426,0.04646054175049247,-0.029103306343915447,-0.011450536901735031,0.00826896319214443,0.02506461462663312,0.49581305941716747,0.5041869405828326,0.4955892100878883,0.5044107899121116,0.4955770171853489,0.5044229828146511,0.4955869222392329,0.504413077760767,0.4958011858459046,0.5041988141540954
15,2,-0.05881794694471992,-0.04206979313535969,0.009902576244122108,0.027546193579092104,0.028768148999146426,0.04646054175049247,-0.029103306343915447,-0.011450536901735031,0.00826896319214443,0.02506461462663312,0.49581305941716747,0.5041869405828326,0.4955892100878883,0.5044107899121116,0.4955770171853489,0.5044229828146511,0.4955869222392329,0.504413077760767,0.4958011858459046,0.5041988141540954
16,2,-0.05881794694471992,-0.04206979313535969,0.009902576244122108,0.027546193579092104,0.028768148999146426,0.04646054175049247,-0.029103306343915447,-0.011450536901735031,0.00826896319214443,0.02506461462663312,0.49581305941716747,0.5041869405828326,0.4955892100878883,0.5044107899121116,0.4955770171853489,0.5044229828146511,0.4955869222392329,0.504413077760767,0.4958011858459046,0.5041988141540954
17,2,-0.05881794694471992,-0.04206979313535969,0.009902576244122108,0.027546193579092104,0.028768148999146426,0.04646054175049247,-0.029103306343915447,-0.011450536901735031,0.00826896319214443,0.02506461462663312,0.49581305941716747,0.5041869405828326,0.4955892100878883,0.5044107899121116,0.4955770171853489,0.5044229828146511,0.4955869222392329,0.504413077760767,0.4958011858459046,0.5041988141540954
18,2,-0.05881794694471992,-0.04206979313535969,0.009902576244122108,0.027546193579092104,0.028768148999146426,0.04646054175049247,-0.029103306343915447,-0.011450536901735031,0.00826896319214443,0.02506461462663312,0.49581305941716747,0.5041869405828326,0.4955892100878883,0.5044107899121116,0.4955770171853489,0.5044229828146511,0.4955869222392329,0.504413077760767,0.4958011858459046,0.5041988141540954
19,2,-0.05881794694471992,-0.04206979313535969,0.009902576244122108,0.027546193579092104,0.028768148999146426,0.04646054175049247,-0.029103306343915447,-0.011450536901735031,0.00826896319214443,0.02506461462663312,0.49581305941716747,0.5041869405828326,0.4955892100878883,0.5044107899121116,0.4955770171853489,0.5044229828146511,0.4955869222392329,0.504413077760767,0.4958011858459046,0.5041988141540954
20,3,-0.037393806533525795,-0.06349393354655403,0.031164775750587268,0.006283994072627027,0.04985273378557807,0.025375956964060732,-0.008148942199089359,-0.03240490104656092,0.028319504526306088,0.005014073292471461,0.5065246613651433,0.49347533863485665,0.5062198745533132,0.4937801254466868,0.5061188887164839,0.4938811112835162,0.5060636924162191,0.493936307583781,0.505826094110599,0.4941739058894011
21,3,-0.037393806533525795,-0.06349393354655403,0.031164775750587268,0.006283994072627027,0.04985273378557807,0.025375956964060732,-0.008148942199089359,-0.03240490104656092,0.028319504526306088,0.005014073292471461,0.5065246613651433,0.49347533863485665,0.5062198745533132,0.4937801254466868,0.5061188887164839,0.4938811112835162,0.5060636924162191,0.493936307583781,0.505826094110599,0.4941739058894011
22,3,-0.037393806533525795,-0.06349393354655403,0.031164775750587268,0.006283994072627027,0.04985273378557807,0.025375956964060732,-0.008148942199089359,-0.03240490104656092,0.028319504526306088,0.005014073292471461,0.5065246613651433,0.49347533863485665,0.5062198745533132,0.4937801254466868,0.5061188887164839,0.4938811112835162,0.5060636924162191,0.493936307583781,0.505826094110599,0.4941739058894011
23,3,-0.037393806533525795,-0.06349393354655403,0.031164775750587268,0.006283994072627027,0.04985273378557807,0.025375956964060732,-0.008148942199089359,-0.03240490104656092,0.028319504526306088,0.005014073292471461,0.5065246613651433,0.49347533863485665,0.5062198745533132,0.4937801254466868,0.5061188887164839,0.4938811112835162,0.5060636924162191,0.493936307583781,0.505826094110599,0.4941739058894011
24,3,-0.037393806533525795,-0.06349393354655403,0.031164775750587268,0.006283994072627027,0.04985273378557807,0.025375956964060732,-0.008148942199089359,-0.03240490104656092,0.028319504526306088,0.005014073292471461,0.5065246613651433,0.49347533863485665,0.5062198745533132,0.4937801254466868,0.5061188887164839,0.4938811112835162,0.5060636924162191,0.493936307583781,0.505826094110599,0.4941739058894011
25,3,-0.037393806533525795,-0.06349393354655403,0.031164775750587268,0.006283994072627027,0.04985273378557807,0.025375956964060732,-0.008148942199089359,-0.03240490104656092,0.028319504526306088,0.005014073292471461,0.5065246613651433,0.49347533863485665,0.5062198745533132,0.4937801254466868,0.5061188887164839,0.4938811112835162,0.5060636924162191,0.493936307583781,0.505826094110599,0.4941739058894011
26,3,-0.037393806533525795,-0.06349393354655403,0.031164775750587268,0.006283994072627027,0.04985273378557807,0.025375956964060732,-0.008148942199089359,-0.03240490104656092,0.028319504526306088,0.005014073292471461,0.5065246613651433,0.49347533863485665,0.5062198745533132,0.4937801254466868,0.5061188887164839,0.4938811112835162,0.5060636924162191,0.493936307583781,0.505826094110599,0.4941739058894011
27,4,-0.046422005043588475,-0.054465735036491346,0.02311152767126811,0.014337242151946185,0.04215083850925691,0.0330778522403818,-0.015651424976284273,-0.024902418269366098,0.021749705555391817,0.01158387226338568,0.5020109216557513,0.49798907834424866,0.5021935573067002,0.4978064426932997,0.5022682310073493,0.49773176899265065,0.5023127318294924,0.4976872681705075,0.5025414364361533,0.4974585635638466
28,4,-0.046422005043588475,-0.054465735036491346,0.02311152767126811,0.014337242151946185,0.04215083850925691,0.0330778522403818,-0.015651424976284273,-0.024902418269366098,0.021749705555391817,0.01158387226338568,0.5020109216557513,0.49798907834424866,0.5021935573067002,0.4978064426932997,0.5022682310073493,0.49773176899265065,0.5023127318294924,0.4976872681705075,0.5025414364361533,0.4974585635638466
29,4,-0.046422005043588475,-0.054465735036491346,0.02311152767126811,0.014337242151946185,0.04215083850925691,0.0330778522403818,-0.015651424976284273,-0.024902418269366098,0.021749705555391817,0.01158387226338568,0.5020109216557513,0.49798907834424866,0.5021935573067002,0.4978064426932997,0.5022682310073493,0.49773176899265065,0.5023127318294924,0.4976872681705075,0.5025414364361533,0.4974585635638466
30,4,-0.046422005043588475,-0.054465735036491346,0.02311152767126811,0.014337242151946185,0.04215083850925691,0.0330778522403818,-0.015651424976284273,-0.024902418269366098,0.021749705555391817,0.01158387226338568,0.5020109216557513,0.49798907834424866,0.5021935573067002,0.4978064426932997,0.5022682310073493,0.49773176899265065,0.5023127318294924,0.4976872681705075,0.5025414364361533,0.4974585635638466
31,4,-0.046422005043588475,-0.054465735036491346,0.02311152767126811,0.014337242151946185,0.04215083850925691,0.0330778522403818,-0.015651424976284273,-0.024902418269366098,0.021749705555391817,0.01158387226338568,0.5020109216557513,0.49798907834424866,0.5021935573067002,0.4978064426932997,0.5022682310073493,0.49773176899265065,0.5023127318294924,0.4976872681705075,0.5025414364361533,0.4974585635638466
32,4,-0.046422005043588475,-0.054465735036491346,0.02311152767126811,0.014337242151946185,0.04215083850925691,0.0330778522403818,-0.015651424976284273,-0.024902418269366098,0.021749705555391817,0.01158387226338568,0.5020109216557513,0.49798907834424866,0.5021935573067002,0.4978064426932997,0.5022682310073493,0.49773176899265065,0.5023127318294924,0.4976872681705075,0.5025414364361533,0.4974585635638466
33,4,-0.046422005043588475,-0.054465735036491346,0.02311152767126811,0.014337242151946185,0.04215083850925691,0.0330778522403818,-0.015651424976284273,-0.024902418269366098,0.021749705555391817,0.01158387226338568,0.5020109216557513,0.49798907834424866,0.5021935573067002,0.4978064426932997,0.5022682310073493,0.49773176899265065,0.5023127318294924,0.4976872681705075,0.5025414364361533,0.4974585635638466
34,5,-0.07570572154747425,-0.025182018532605575,-0.005004589634604997,0.042453359457819334,0.01446393055655441,0.060764760193084424,-0.04309268822810067,0.0025388449824503036,-0.004522558283833345,0.037856136102610904,0.487371760415934,0.512628239584066,0.48813773904827934,0.5118622609517206,0.4884268600264617,0.5115731399735383,0.4885940957781624,0.5114059042218376,0.4894069117473064,0.5105930882526936
35,5,-0.07570572154747425,-0.025182018532605575,-0.005004589634604997,0.042453359457819334,0.01446393055655441,0.060764760193084424,-0.04309268822810067,0.0025388449824503036,-0.004522558283833345,0.037856136102610904,0.487371760415934,0.512628239584066,0.48813773904827934,0.5118622609517206,0.4884268600264617,0.5115731399735383,0.4885940957781624,0.5114059042218376,0.4894069117473064,0.5105930882526936
36,5,-0.07570572154747425,-0.025182018532605575,-0.005004589634604997,0.042453359457819334,0.01446393055655441,0.060764760193084424,-0.04309268822810067,0.0025388449824503036,-0.004522558283833345,0.037856136102610904,0.487371760415934,0.512628239584066,0.48813773904827934,0.5118622609517206,0.4884268600264617,0.5115731399735383,0.4885940957781624,0.5114059042218376,0.4894069117473064,0.5105930882526936
37,5,-0.07570572154747425,-0.025182018532605575,-0.005004589634604997,0.042453359457819334,0.01446393055655441,0.060764760193084424,-0.04309268822810067,0.0025388449824503036,-0.004522558283833345,0.037856136102610904,0.487371760415934,0.512628239584066,0.48813773904827934,0.5118622609517206,0.4884268600264617,0.5115731399735383,0.4885940957781624,0.5114059042218376,0.4894069117473064,0.5105930882526936
38,5,-0.07570572154747425,-0.025182018532605575,-0.005004589634604997,0.042453359457819334,0.01446393055655441,0.060764760193084424,-0.04309268822810067,0.0025388449824503036,-0.004522558283833345,0.037856136102610904,0.487371760415934,0.512628239584066,0.48813773904827934,0.5118622609517206,0.4884268600264617,0.5115731399735383,0.4885940957781624,0.5114059042218376,0.4894069117473064,0.5105930882526936
39,5,-0.07570572154747425,-0.025182018532605575,-0.005004589634604997,0.042453359457819334,0.01446393055655441,0.060764760193084424,-0.04309268822810067,0.0025388449824503036,-0.004522558283833345,0.037856136102610904,0.487371760415934,0.512628239584066,0.48813773904827934,0.5118622609517206,0.4884268600264617,0.5115731399735383,0.4885940957781624,0.5114059042218376,0.4894069117473064,0.5105930882526936
40,5,-0.07570572154747425,-0.025182018532605575,-0.005004589634604997,0.042453359457819334,0.01446393055655441,0.060764760193084424,-0.04309268822810067,0.0025388449824503036,-0.004522558283833345,0.037856136102610904,0.487371760415934,0.512628239584066,0.48813773904827934,0.5118622609517206,0.4884268600264617,0.5115731399735383,0.4885940957781624,0.5114059042218376,0.4894069117473064,0.5105930882526936
41,6,-0.1398507581863599,0.03896301810628007,-0.06979748839372425,0.10724625821693859,-0.050573964293831944,0.12580265504347088,-0.10827236732650841,0.06771852408085804,-0.07039168534415766,0.10372526316293526,0.45541528998903624,0.5445847100109638,0.45585431348242994,0.54414568651757,0.4560198000429343,0.5439801999570657,0.4561154875501825,0.5438845124498175,0.4565804024386916,0.5434195975613084
42,6,-0.1398507581863599,0.03896301810628007,-0.06979748839372425,0.10724625821693859,-0.050573964293831944,0.12580265504347088,-0.10827236732650841,0.06771852408085804,-0.07039168534415766,0.10372526316293526,0.45541528998903624,0.5445847100109638,0.45585431348242994,0.54414568651757,0.4560198000429343,0.5439801999570657,0.4561154875501825,0.5438845124498175,0.4565804024386916,0.5434195975613084
43,6,-0.1398507581863599,0.03896301810628007,-0.06979748839372425,0.10724625821693859,-0.050573964293831944,0.12580265504347088,-0.10827236732650841,0.06771852408085804,-0.07039168534415766,0.10372526316293526,0.45541528998903624,0.5445847100109638,0.45585431348242994,0.54414568651757,0.4560198000429343,0.5439801999570657,0.4561154875501825,0.5438845124498175,0.4565804024386916,0.5434195975613084
44,6,-0.1398507581863599,0.03896301810628007,-0.06979748839372425,0.10724625821693859,-0.050573964293831944,0.12580265504347088,-0.10827236732650841,0.06771852408085804,-0.07039168534415766,0.10372526316293526,0.45541528998903624,0.5445847100109638,0.45585431348242994,0.54414568651757,0.4560198000429343,0.5439801999570657,0.4561154875501825,0.5438845124498175,0.4565804024386916,0.5434195975613084
45,6,-0.1398507581863599,0.03896301810628007,-0.06979748839372425,0.10724625821693859,-0.050573964293831944,0.12580265504347088,-0.10827236732650841,0.06771852408085804,-0.07039168534415766,0.10372526316293526,0.45541528998903624,0.5445847100109638,0.45585431348242994,0.54414568651757,0.4560198000429343,0.5439801999570657,0.4561154875501825,0.5438845124498175,0.4565804024386916,0.5434195975613084
46,6,-0.1398507581863599,0.03896301810628007,-0.06979748839372425,0.10724625821693859,-0.050573964293831944,0.12580265504347088,-0.10827236732650841,0.06771852408085804,-0.07039168534415766,0.10372526316293526,0.45541528998903624,0.5445847100109638,0.45585431348242994,0.54414568651757,0.4560198000429343,0.5439801999570657,0.4561154875501825,0.5438845124498175,0.4565804024386916,0.5434195975613084
47,6,-0.1398507581863599,0.03896301810628007,-0.06979748839372425,0.10724625821693859,-0.050573964293831944,0.12580265504347088,-0.10827236732650841,0.06771852408085804,-0.07039168534415766,0.10372526316293526,0.45541528998903624,0.5445847100109638,0.45585431348242994,0.54414568651757,0.4560198000429343,0.5439801999570657,0.4561154875501825,0.5438845124498175,0.4565804024386916,0.5434195975613084
48,7,-0.15314356637037324,0.052255826290293406,-0.08283717715689744,0.12028594698011177,-0.06351963142240999,0.13874832217204894,-0.12116399411229174,0.08061015086664138,-0.0830239103174771,0.11635748813625471,0.4488299262698787,0.5511700737301212,0.4493930986262684,0.5506069013737315,0.4496047102652807,0.5503952897347193,0.4497269113392834,0.5502730886607166,0.4503191215375,0.5496808784624999
49,7,-0.15314356637037324,0.052255826290293406,-0.08283717715689744,0.12028594698011177,-0.06351963142240999,0.13874832217204894,-0.12116399411229174,0.08061015086664138,-0.0830239103174771,0.11635748813625471,0.4488299262698787,0.5511700737301212,0.4493930986262684,0.5506069013737315,0.4496047102652807,0.5503952897347193,0.4497269113392834,0.5502730886607166,0.4503191215375,0.5496808784624999
