prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_mean_b_snap_k2,batch_mean_b_snap_k3,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,batch_frac_argmax_k2,batch_frac_argmax_k3,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1,softmax_k2_a0,softmax_k2_a1,softmax_k3_a0,softmax_k3_a1
434,3044,False,0.003968769956170548,64,60,0.10283152452986764,0.4289319702938026,0.40229341830622517,0.06594308687010456,0.32610044576393493,0.5055092511232561,0.09375,0.453125,0.421875,0.03125,0.6050106145096404,0.3949893854903595,0.821097011533257,0.1789029884667431,0.16704069485121525,0.8329593051487848,0.4364838403861618,0.5635161596138382
435,3051,False,0.0029024923519518544,74,69,0.09134979383023217,0.4574126816079839,0.34524104299878017,0.10599648156300359,0.3660628877777517,0.5250570215325494,0.04054054054054054,0.5135135135135135,0.36486486486486486,0.08108108108108109,0.6047269886495916,0.3952730113504084,0.8205802510014893,0.17941974899851065,0.16679613344645472,0.8332038665535454,0.4364871520879195,0.5635128479120806
436,3058,False,0.003441028979292963,81,73,0.07825710085786435,0.43718924416215194,0.396841080507549,0.08771257447243447,0.3589321433042876,0.5014895276136936,0.04938271604938271,0.48148148148148145,0.4074074074074074,0.06172839506172839,0.6048203295550261,0.3951796704449739,0.8207330165068903,0.17926698349310974,0.16613932625707334,0.8338606737429267,0.4365394034147147,0.5634605965852854
437,3065,False,0.0030149132588148477,60,57,0.10921133317402473,0.4606673975227745,0.3617008425326169,0.06842042677058369,0.35145606434874976,0.4886546712386423,0.06666666666666667,0.5166666666666667,0.36666666666666664,0.05,0.6052530967786164,0.3947469032213836,0.8203312177676798,0.17966878223232022,0.16638783821686476,0.8336121617831351,0.4370460148956081,0.5629539851043919
438,3072,False,0.007340434029862975,67,58,0.0837369611114094,0.3018635040079033,0.5107475732521599,0.10365196162852712,0.2181265428964939,0.4926313704170329,0.04477611940298507,0.3283582089552239,0.5522388059701493,0.07462686567164178,0.604466504431911,0.39553349556808903,0.8200265017382491,0.17997349826175085,0.16506106502827653,0.8349389349717236,0.4368593972181694,0.5631406027818305
439,3079,False,0.009393882811175296,63,60,0.08454562263694086,0.31933752748990824,0.439464747872025,0.15665210200112561,0.23479190485296736,0.5590435052887786,0.031746031746031744,0.3492063492063492,0.49206349206349204,0.12698412698412698,0.6031533605336973,0.3968466394663027,0.8200870715510982,0.17991292844890192,0.16392629246718068,0.8360737075328193,0.43468767354406695,0.5653123264559331
440,3086,False,0.0038008468562683436,74,69,0.08627845510337505,0.4024152681700389,0.4309952003427274,0.08031107638385855,0.31613681306666386,0.48058361426597546,0.04054054054054054,0.4594594594594595,0.44594594594594594,0.05405405405405406,0.6036002521096345,0.3963997478903655,0.81985165426353,0.18014834573647,0.1632792369744578,0.8367207630255422,0.4345135434455558,0.5654864565544442
441,3093,False,0.0042957455192186534,66,62,0.08026980600594995,0.43458572785200644,0.41628858719802053,0.06885587894402288,0.3543159218460565,0.4458811037471119,0.045454545454545456,0.45454545454545453,0.45454545454545453,0.045454545454545456,0.6034692896111414,0.39653071038885856,0.8200969509301621,0.1799030490698379,0.16406395443792474,0.8359360455620752,0.4347569809519832,0.5652430190480168
442,3100,False,0.0066485444276724115,60,59,0.09345791489946728,0.471668542117708,0.3606851781992014,0.07418836478362296,0.3782106272182407,0.4282675505528981,0.05,0.5166666666666667,0.38333333333333336,0.05,0.6038740177945382,0.39612598220546175,0.8190684835214714,0.18093151647852868,0.16324505422110216,0.8367549457788979,0.43446923517822383,0.5655307648217761
443,3107,False,0.006403541327258993,67,66,0.10680088049498566,0.4011420291470189,0.4004335425055776,0.09162354785241754,0.29434114865203326,0.5084019917230566,0.05970149253731343,0.44776119402985076,0.43283582089552236,0.05970149253731343,0.6043615868498352,0.3956384131501649,0.8187016672225017,0.1812983327774983,0.16209214494925564,0.8379078550507444,0.4343948936984893,0.5656051063015106
444,3114,False,0.003623269829846403,77,71,0.13787360191838982,0.37873666392580224,0.3903127318983299,0.09307700225747785,0.24086306200741242,0.5002829944788819,0.1038961038961039,0.4025974025974026,0.4025974025974026,0.09090909090909091,0.6044926604140317,0.3955073395859682,0.8183458253125849,0.18165417468741502,0.16185398461039904,0.8381460153896009,0.43337802365100053,0.5666219763489996
445,3121,False,0.0015492637773870416,70,64,0.0904141429137031,0.41206814533416125,0.4303422699622239,0.0671754417899116,0.32165400242045816,0.49905110127712676,0.07142857142857142,0.42857142857142855,0.4714285714285714,0.02857142857142857,0.6041517680141725,0.3958482319858275,0.8181738617160765,0.18182613828392344,0.16196181499331133,0.8380381850066886,0.4335975845803152,0.5664024154196848
446,3128,False,0.004623738018855317,76,69,0.1155042050055889,0.32968626936600165,0.49470486561060795,0.0601046600178014,0.21418206436041276,0.4450136791756865,0.10526315789473684,0.35526315789473684,0.5263157894736842,0.013157894736842105,0.604400990337191,0.39559900966280903,0.8186817606181692,0.18131823938183075,0.16123788793044516,0.8387621120695549,0.4333028729777871,0.5666971270222129
447,3135,False,0.003673020242069007,65,61,0.06436720526936264,0.33996724197653716,0.48655026651427824,0.1091152862398217,0.27560003670717453,0.4650715671177512,0.015384615384615385,0.36923076923076925,0.5230769230769231,0.09230769230769231,0.6043890432310113,0.39561095676898883,0.8191854527306425,0.18081454726935745,0.16084569092334658,0.8391543090766534,0.4326526538650844,0.5673473461349157
448,3142,False,0.00291211573911695,83,78,0.07717135443661513,0.45989164774809377,0.37833419716332717,0.08460280065196393,0.3827202933114786,0.5168047149448619,0.03614457831325301,0.5060240963855421,0.40963855421686746,0.04819277108433735,0.604364649970073,0.39563535002992695,0.819394812622375,0.1806051873776249,0.16123884674331665,0.8387611532566833,0.43202776554783423,0.5679722344521658
449,3149,False,0.001945379655785477,82,73,0.09028659136147509,0.37191339021451675,0.45491601828316863,0.08288400014083938,0.28162679885304165,0.49381060792154924,0.04878048780487805,0.3902439024390244,0.4878048780487805,0.07317073170731707,0.6044534247280583,0.3955465752719418,0.8195183041415657,0.18048169585843435,0.16158774805937806,0.8384122519406221,0.43195398679585384,0.5680460132041462
