round,mce
0,0.6812115332924322
1,0.6812115332924322
2,0.6812115332924322
3,0.6812115332924322
4,0.6812115332924322
5,0.6812115332924322
6,0.724992491111427
7,0.724992491111427
8,0.724992491111427
9,0.724992491111427
10,0.724992491111427
11,0.724992491111427
12,0.724992491111427
13,0.6946316902986397
14,0.6946316902986397
15,0.6946316902986397
16,0.6946316902986397
17,0.6946316902986397
18,0.6946316902986397
19,0.6946316902986397
20,0.6990001758564657
21,0.6990001758564657
22,0.6990001758564657
23,0.6990001758564657
24,0.6990001758564657
25,0.6990001758564657
26,0.6990001758564657
27,0.6993930285601749
28,0.6993930285601749
29,0.6993930285601749
30,0.6993930285601749
31,0.6993930285601749
32,0.6993930285601749
33,0.6993930285601749
34,0.6930450807824003
35,0.6930450807824003
36,0.6930450807824003
37,0.6930450807824003
38,0.6930450807824003
39,0.6930450807824003
40,0.6930450807824003
41,0.6945163673962587
42,0.6945163673962587
43,0.6945163673962587
44,0.6945163673962587
45,0.6945163673962587
46,0.6945163673962587
47,0.6945163673962587
48,0.6960114479737802
49,0.6960114479737802
