prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1
153,1077,False,0.013290016835493836,78,73,0.45049677228432644,0.5495032277156734,0.09900645543134695,0.11736999305050433,0.44871794871794873,0.5512820512820513,0.08341340324397398,0.9165865967560259,0.9104567905578279,0.0895432094421721
154,1084,False,0.002511977949861454,66,63,0.4901465701087385,0.5098534298912615,0.019706859782522956,0.10931740019072596,0.48484848484848486,0.5151515151515151,0.08352988324150872,0.9164701167584913,0.9107181148655651,0.08928188513443501
155,1091,False,0.0019163549647660952,63,60,0.5299713292208037,0.4700286707791963,0.0599426584416074,0.13906134078802182,0.5238095238095238,0.47619047619047616,0.0837285695906537,0.9162714304093463,0.910653907408864,0.08934609259113589
156,1098,False,0.0029563832173892736,69,65,0.48355962062850155,0.5164403793714986,0.03288075874299701,0.10873292009541169,0.4782608695652174,0.5217391304347826,0.08380838404602779,0.9161916159539721,0.9109828463334564,0.0890171536665436
157,1105,False,0.005057350625561914,82,77,0.47053667988181075,0.5294633201181892,0.05892664023637845,0.11148355281498297,0.4634146341463415,0.5365853658536586,0.08338176811757089,0.9166182318824292,0.9106182399828882,0.08938176001711183
158,1112,False,0.0009273594325335046,83,75,0.4844145455606769,0.5155854544393229,0.031170908878645986,0.12954143422670203,0.4819277108433735,0.5180722891566265,0.0833341211299284,0.9166658788700717,0.9105242884818405,0.08947571151815936
159,1119,False,0.007471398083618115,62,58,0.44304775912152405,0.556952240878476,0.11390448175695189,0.12205574830364958,0.43548387096774194,0.5645161290322581,0.08324636496629284,0.9167536350337071,0.9113763212555225,0.08862367874447763
160,1126,False,0.0070230641963186565,67,62,0.5523299521718565,0.4476700478281433,0.10465990434371325,0.12632359607968002,0.5671641791044776,0.43283582089552236,0.08288381991556457,0.9171161800844354,0.9120778842751606,0.08792211572483949
161,1133,False,0.007673645032671887,73,63,0.5247832102827592,0.4752167897172408,0.04956642056551841,0.12254196869534556,0.5342465753424658,0.4657534246575342,0.082853996165009,0.9171460038349909,0.9112043024416047,0.08879569755839525
162,1140,False,0.010334577308688935,69,65,0.42555615525881957,0.5744438447411803,0.1488876894823607,0.11408772978666798,0.42028985507246375,0.5797101449275363,0.08219037717509509,0.917809622824905,0.9121460439478598,0.08785395605214015
163,1147,False,0.005425633361892508,55,53,0.41801420579303855,0.5819857942069614,0.16397158841392284,0.14490258830680885,0.4,0.6,0.08257304099775531,0.9174269590022447,0.9116828543560139,0.0883171456439862
164,1154,False,0.009080619276665746,77,71,0.5036656722474061,0.4963343277525939,0.007331344494812209,0.13151110148603964,0.4935064935064935,0.5064935064935064,0.0835446060481289,0.916455393951871,0.9115640697825828,0.08843593021741722
165,1161,False,0.01261227198188425,78,72,0.5592533336387667,0.4407466663612335,0.11850666727753323,0.10334275263610153,0.5641025641025641,0.4358974358974359,0.08225906958237782,0.9177409304176222,0.9120206777040218,0.08797932229597816
166,1168,False,0.011675808879744613,64,60,0.44020436613070757,0.5597956338692922,0.11959126773858464,0.11769292397420526,0.4375,0.5625,0.08345774176146899,0.9165422582385311,0.9124116542429308,0.08758834575706928
