round,mce
0,0.6823648764036656
1,0.6823648764036656
2,0.6823648764036656
3,0.6823648764036656
4,0.6823648764036656
5,0.6823648764036656
6,1.1854645760430516
7,1.1854645760430516
8,1.1854645760430516
9,1.1854645760430516
10,1.1854645760430516
11,1.1854645760430516
12,1.1854645760430516
13,1.5751219894722155
14,1.5751219894722155
15,1.5751219894722155
16,1.5751219894722155
17,1.5751219894722155
18,1.5751219894722155
19,1.5751219894722155
20,1.0988188304214968
21,1.0988188304214968
22,1.0988188304214968
23,1.0988188304214968
24,1.0988188304214968
25,1.0988188304214968
26,1.0988188304214968
27,0.688889898752199
28,0.688889898752199
29,0.688889898752199
30,0.688889898752199
31,0.688889898752199
32,0.688889898752199
33,0.688889898752199
34,0.6989064644704639
35,0.6989064644704639
36,0.6989064644704639
37,0.6989064644704639
38,0.6989064644704639
39,0.6989064644704639
40,0.6989064644704639
41,0.6890332385308873
42,0.6890332385308873
43,0.6890332385308873
44,0.6890332385308873
45,0.6890332385308873
46,0.6890332385308873
47,0.6890332385308873
48,0.6899316395687669
49,0.6899316395687669
