round,i,j,r_i,r_j
0,14,7,3.0,3.0
0,29,6,5.0,0.0
0,18,23,1.0,1.0
0,18,26,1.0,1.0
0,2,4,3.0,3.0
1,12,9,3.0,3.0
1,0,14,3.0,3.0
1,28,1,5.0,0.0
1,20,10,5.0,0.0
1,6,21,3.0,3.0
1,20,6,5.0,0.0
1,3,6,3.0,3.0
1,20,27,1.0,1.0
1,20,15,1.0,1.0
1,22,14,5.0,0.0
1,2,7,3.0,3.0
2,23,8,5.0,0.0
2,15,18,1.0,1.0
2,11,29,0.0,5.0
2,2,11,5.0,0.0
2,16,21,1.0,1.0
2,3,25,0.0,5.0
2,26,5,5.0,0.0
2,6,15,0.0,5.0
2,21,12,5.0,0.0
2,6,1,3.0,3.0
2,12,22,0.0,5.0
2,24,10,5.0,0.0
2,14,20,0.0,5.0
2,8,14,3.0,3.0
3,23,20,1.0,1.0
3,14,15,0.0,5.0
3,29,16,1.0,1.0
3,27,14,5.0,0.0
3,26,29,1.0,1.0
3,0,8,3.0,3.0
3,21,9,5.0,0.0
4,3,23,0.0,5.0
4,3,4,3.0,3.0
4,1,11,3.0,3.0
4,25,14,5.0,0.0
4,27,16,1.0,1.0
4,15,24,1.0,1.0
4,21,28,1.0,1.0
4,26,21,1.0,1.0
4,4,19,0.0,5.0
4,6,26,0.0,5.0
4,19,1,5.0,0.0
4,13,10,3.0,3.0
4,28,0,5.0,0.0
4,29,15,1.0,1.0
5,9,4,3.0,3.0
5,28,18,1.0,1.0
5,18,4,5.0,0.0
5,23,4,5.0,0.0
5,16,8,5.0,0.0
5,25,10,5.0,0.0
5,15,5,5.0,0.0
5,4,3,3.0,3.0
5,4,22,0.0,5.0
5,5,6,3.0,3.0
6,14,8,3.0,3.0
6,28,1,5.0,0.0
6,8,22,0.0,5.0
6,24,7,5.0,0.0
6,9,17,0.0,5.0
6,29,8,5.0,0.0
6,0,17,0.0,5.0
6,8,12,3.0,3.0
7,5,10,3.0,3.0
7,13,10,3.0,3.0
7,6,28,0.0,5.0
7,15,11,5.0,0.0
7,13,6,3.0,3.0
7,7,0,3.0,3.0
8,2,1,3.0,3.0
8,6,23,0.0,5.0
8,2,17,0.0,5.0
8,15,22,1.0,1.0
