round,prototype_step_m,theta_0_0,theta_0_1,theta_1_0,theta_1_1,theta_2_0,theta_2_1,softmax_0_0,softmax_0_1,softmax_1_0,softmax_1_1,softmax_2_0,softmax_2_1
0,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.03556132898964275,0.039667361759996266,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886,0.4989734932496109,0.5010265067503892
1,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.03556132898964275,0.039667361759996266,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886,0.4989734932496109,0.5010265067503892
2,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.03556132898964275,0.039667361759996266,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886,0.4989734932496109,0.5010265067503892
3,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.03556132898964275,0.039667361759996266,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886,0.4989734932496109,0.5010265067503892
4,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.03556132898964275,0.039667361759996266,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886,0.4989734932496109,0.5010265067503892
5,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.03556132898964275,0.039667361759996266,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886,0.4989734932496109,0.5010265067503892
6,1,0.13170109613356118,-0.23258883621364065,0.14142104223594304,-0.10397227241272884,0.13834587652732697,-0.0631171857776883,0.5900785075958735,0.40992149240412645,0.5610423157562542,0.4389576842437458,0.5501961030140724,0.44980389698592765
7,1,0.13170109613356118,-0.23258883621364065,0.14142104223594304,-0.10397227241272884,0.13834587652732697,-0.0631171857776883,0.5900785075958735,0.40992149240412645,0.5610423157562542,0.4389576842437458,0.5501961030140724,0.44980389698592765
8,1,0.13170109613356118,-0.23258883621364065,0.14142104223594304,-0.10397227241272884,0.13834587652732697,-0.0631171857776883,0.5900785075958735,0.40992149240412645,0.5610423157562542,0.4389576842437458,0.5501961030140724,0.44980389698592765
9,1,0.13170109613356118,-0.23258883621364065,0.14142104223594304,-0.10397227241272884,0.13834587652732697,-0.0631171857776883,0.5900785075958735,0.40992149240412645,0.5610423157562542,0.4389576842437458,0.5501961030140724,0.44980389698592765
10,1,0.13170109613356118,-0.23258883621364065,0.14142104223594304,-0.10397227241272884,0.13834587652732697,-0.0631171857776883,0.5900785075958735,0.40992149240412645,0.5610423157562542,0.4389576842437458,0.5501961030140724,0.44980389698592765
11,1,0.13170109613356118,-0.23258883621364065,0.14142104223594304,-0.10397227241272884,0.13834587652732697,-0.0631171857776883,0.5900785075958735,0.40992149240412645,0.5610423157562542,0.4389576842437458,0.5501961030140724,0.44980389698592765
12,1,0.13170109613356118,-0.23258883621364065,0.14142104223594304,-0.10397227241272884,0.13834587652732697,-0.0631171857776883,0.5900785075958735,0.40992149240412645,0.5610423157562542,0.4389576842437458,0.5501961030140724,0.44980389698592765
13,2,-0.3372933865761896,0.23640564649611015,-0.21419892532510487,0.2516476951483191,-0.17490644873187836,0.25013513948151667,0.3603837311309963,0.6396162688690037,0.38559976276131197,0.614400237238688,0.39531097398753606,0.604689026012464
14,2,-0.3372933865761896,0.23640564649611015,-0.21419892532510487,0.2516476951483191,-0.17490644873187836,0.25013513948151667,0.3603837311309963,0.6396162688690037,0.38559976276131197,0.614400237238688,0.39531097398753606,0.604689026012464
15,2,-0.3372933865761896,0.23640564649611015,-0.21419892532510487,0.2516476951483191,-0.17490644873187836,0.25013513948151667,0.3603837311309963,0.6396162688690037,0.38559976276131197,0.614400237238688,0.39531097398753606,0.604689026012464
16,2,-0.3372933865761896,0.23640564649611015,-0.21419892532510487,0.2516476951483191,-0.17490644873187836,0.25013513948151667,0.3603837311309963,0.6396162688690037,0.38559976276131197,0.614400237238688,0.39531097398753606,0.604689026012464
17,2,-0.3372933865761896,0.23640564649611015,-0.21419892532510487,0.2516476951483191,-0.17490644873187836,0.25013513948151667,0.3603837311309963,0.6396162688690037,0.38559976276131197,0.614400237238688,0.39531097398753606,0.604689026012464
18,2,-0.3372933865761896,0.23640564649611015,-0.21419892532510487,0.2516476951483191,-0.17490644873187836,0.25013513948151667,0.3603837311309963,0.6396162688690037,0.38559976276131197,0.614400237238688,0.39531097398753606,0.604689026012464
19,2,-0.3372933865761896,0.23640564649611015,-0.21419892532510487,0.2516476951483191,-0.17490644873187836,0.25013513948151667,0.3603837311309963,0.6396162688690037,0.38559976276131197,0.614400237238688,0.39531097398753606,0.604689026012464
20,3,0.021524483597262833,-0.12241222367734231,0.07628150585597121,-0.038832736032756776,0.08913306448924016,-0.01390437373960196,0.5359221792519757,0.46407782074802423,0.5287468231098825,0.4712531768901175,0.52573659374797,0.4742634062520301
21,3,0.021524483597262833,-0.12241222367734231,0.07628150585597121,-0.038832736032756776,0.08913306448924016,-0.01390437373960196,0.5359221792519757,0.46407782074802423,0.5287468231098825,0.4712531768901175,0.52573659374797,0.4742634062520301
22,3,0.021524483597262833,-0.12241222367734231,0.07628150585597121,-0.038832736032756776,0.08913306448924016,-0.01390437373960196,0.5359221792519757,0.46407782074802423,0.5287468231098825,0.4712531768901175,0.52573659374797,0.4742634062520301
23,3,0.021524483597262833,-0.12241222367734231,0.07628150585597121,-0.038832736032756776,0.08913306448924016,-0.01390437373960196,0.5359221792519757,0.46407782074802423,0.5287468231098825,0.4712531768901175,0.52573659374797,0.4742634062520301
24,3,0.021524483597262833,-0.12241222367734231,0.07628150585597121,-0.038832736032756776,0.08913306448924016,-0.01390437373960196,0.5359221792519757,0.46407782074802423,0.5287468231098825,0.4712531768901175,0.52573659374797,0.4742634062520301
25,3,0.021524483597262833,-0.12241222367734231,0.07628150585597121,-0.038832736032756776,0.08913306448924016,-0.01390437373960196,0.5359221792519757,0.46407782074802423,0.5287468231098825,0.4712531768901175,0.52573659374797,0.4742634062520301
26,3,0.021524483597262833,-0.12241222367734231,0.07628150585597121,-0.038832736032756776,0.08913306448924016,-0.01390437373960196,0.5359221792519757,0.46407782074802423,0.5287468231098825,0.4712531768901175,0.52573659374797,0.4742634062520301
27,4,-0.20406175846461824,0.10317401838453888,-0.134815901318362,0.17226467114157643,-0.11590815718340042,0.19113684793303828,0.423789597380073,0.576210402619927,0.42382749749454607,0.5761725025054539,0.4238361829833276,0.5761638170166725
28,4,-0.20406175846461824,0.10317401838453888,-0.134815901318362,0.17226467114157643,-0.11590815718340042,0.19113684793303828,0.423789597380073,0.576210402619927,0.42382749749454607,0.5761725025054539,0.4238361829833276,0.5761638170166725
