round,mce
0,0.6615595409186495
1,0.6615595409186495
2,0.6615595409186495
3,0.6615595409186495
4,0.6615595409186495
5,0.6615595409186495
6,0.6909536851864836
7,0.6909536851864836
8,0.6909536851864836
9,0.6909536851864836
10,0.6909536851864836
11,0.6909536851864836
12,0.6909536851864836
13,0.6538741046155664
14,0.6538741046155664
15,0.6538741046155664
16,0.6538741046155664
17,0.6538741046155664
18,0.6538741046155664
19,0.6538741046155664
20,0.6883142803014465
21,0.6883142803014465
22,0.6883142803014465
23,0.6883142803014465
24,0.6883142803014465
25,0.6883142803014465
26,0.6883142803014465
27,0.6921126054464358
28,0.6921126054464358
29,0.6921126054464358
30,0.6921126054464358
31,0.6921126054464358
32,0.6921126054464358
33,0.6921126054464358
34,0.6895598290776065
35,0.6895598290776065
36,0.6895598290776065
37,0.6895598290776065
38,0.6895598290776065
39,0.6895598290776065
40,0.6895598290776065
41,0.6925723663804467
42,0.6925723663804467
43,0.6925723663804467
44,0.6925723663804467
45,0.6925723663804467
46,0.6925723663804467
47,0.6925723663804467
48,0.6956239271028754
49,0.6956239271028754
50,0.6956239271028754
51,0.6956239271028754
52,0.6956239271028754
53,0.6956239271028754
54,0.6956239271028754
55,0.6923277825065411
56,0.6923277825065411
57,0.6923277825065411
58,0.6923277825065411
59,0.6923277825065411
60,0.6923277825065411
61,0.6923277825065411
62,0.6927201124104297
63,0.6927201124104297
64,0.6927201124104297
65,0.6927201124104297
66,0.6927201124104297
67,0.6927201124104297
68,0.6927201124104297
69,0.6869154598671056
70,0.6869154598671056
71,0.6869154598671056
72,0.6869154598671056
73,0.6869154598671056
74,0.6869154598671056
75,0.6869154598671056
76,0.6889227556261425
77,0.6889227556261425
78,0.6889227556261425
79,0.6889227556261425
80,0.6889227556261425
81,0.6889227556261425
82,0.6889227556261425
83,0.6976580967533482
84,0.6976580967533482
85,0.6976580967533482
86,0.6976580967533482
87,0.6976580967533482
88,0.6976580967533482
89,0.6976580967533482
90,0.6954799039324041
91,0.6954799039324041
92,0.6954799039324041
93,0.6954799039324041
94,0.6954799039324041
95,0.6954799039324041
96,0.6954799039324041
97,0.6895366685349161
98,0.6895366685349161
99,0.6895366685349161
100,0.6895366685349161
101,0.6895366685349161
102,0.6895366685349161
103,0.6895366685349161
104,0.692493413496269
105,0.692493413496269
106,0.692493413496269
107,0.692493413496269
108,0.692493413496269
109,0.692493413496269
110,0.692493413496269
111,0.6867717623655972
112,0.6867717623655972
113,0.6867717623655972
114,0.6867717623655972
115,0.6867717623655972
116,0.6867717623655972
117,0.6867717623655972
118,0.6874504703966725
119,0.6874504703966725
120,0.6874504703966725
121,0.6874504703966725
122,0.6874504703966725
123,0.6874504703966725
124,0.6874504703966725
125,0.6866030276822239
126,0.6866030276822239
127,0.6866030276822239
128,0.6866030276822239
129,0.6866030276822239
130,0.6866030276822239
131,0.6866030276822239
132,0.6841012120421133
133,0.6841012120421133
134,0.6841012120421133
135,0.6841012120421133
136,0.6841012120421133
137,0.6841012120421133
138,0.6841012120421133
139,0.6840009201555216
140,0.6840009201555216
141,0.6840009201555216
142,0.6840009201555216
143,0.6840009201555216
144,0.6840009201555216
145,0.6840009201555216
146,0.6847173144888665
147,0.6847173144888665
148,0.6847173144888665
149,0.6847173144888665
150,0.6847173144888665
151,0.6847173144888665
152,0.6847173144888665
153,0.6855040128025368
154,0.6855040128025368
155,0.6855040128025368
156,0.6855040128025368
157,0.6855040128025368
158,0.6855040128025368
159,0.6855040128025368
160,0.6838525286827913
161,0.6838525286827913
162,0.6838525286827913
163,0.6838525286827913
164,0.6838525286827913
165,0.6838525286827913
166,0.6838525286827913
167,0.6838063582852171
168,0.6838063582852171
169,0.6838063582852171
170,0.6838063582852171
171,0.6838063582852171
172,0.6838063582852171
173,0.6838063582852171
174,0.6843017733257971
175,0.6843017733257971
176,0.6843017733257971
177,0.6843017733257971
178,0.6843017733257971
179,0.6843017733257971
180,0.6843017733257971
181,0.6841021330980069
182,0.6841021330980069
183,0.6841021330980069
184,0.6841021330980069
185,0.6841021330980069
186,0.6841021330980069
187,0.6841021330980069
188,0.6833478006328804
189,0.6833478006328804
190,0.6833478006328804
191,0.6833478006328804
192,0.6833478006328804
193,0.6833478006328804
194,0.6833478006328804
195,0.6841386333085872
196,0.6841386333085872
197,0.6841386333085872
198,0.6841386333085872
199,0.6841386333085872
200,0.6841386333085872
201,0.6841386333085872
202,0.6822368523194499
203,0.6822368523194499
204,0.6822368523194499
205,0.6822368523194499
206,0.6822368523194499
207,0.6822368523194499
208,0.6822368523194499
209,0.680455265752487
210,0.680455265752487
211,0.680455265752487
212,0.680455265752487
213,0.680455265752487
214,0.680455265752487
215,0.680455265752487
216,0.6787196510202643
217,0.6787196510202643
218,0.6787196510202643
219,0.6787196510202643
220,0.6787196510202643
221,0.6787196510202643
222,0.6787196510202643
223,0.6786514857805797
224,0.6786514857805797
225,0.6786514857805797
226,0.6786514857805797
227,0.6786514857805797
228,0.6786514857805797
229,0.6786514857805797
