round,prototype_step_m,theta_0_0,theta_0_1,theta_1_0,theta_1_1,softmax_0_0,softmax_0_1,softmax_1_0,softmax_1_1
0,0,0.03716270856017211,0.02715771341525975,-0.03327548536443472,0.01160806615333599,0.5025012279218684,0.4974987720781317,0.48878099547874376,0.5112190045212562
1,0,0.03716270856017211,0.02715771341525975,-0.03327548536443472,0.01160806615333599,0.5025012279218684,0.4974987720781317,0.48878099547874376,0.5112190045212562
2,0,0.03716270856017211,0.02715771341525975,-0.03327548536443472,0.01160806615333599,0.5025012279218684,0.4974987720781317,0.48878099547874376,0.5112190045212562
3,0,0.03716270856017211,0.02715771341525975,-0.03327548536443472,0.01160806615333599,0.5025012279218684,0.4974987720781317,0.48878099547874376,0.5112190045212562
4,0,0.03716270856017211,0.02715771341525975,-0.03327548536443472,0.01160806615333599,0.5025012279218684,0.4974987720781317,0.48878099547874376,0.5112190045212562
5,0,0.03716270856017211,0.02715771341525975,-0.03327548536443472,0.01160806615333599,0.5025012279218684,0.4974987720781317,0.48878099547874376,0.5112190045212562
6,1,-0.2948727191982423,0.3591931411736738,-0.21648514014562317,0.19481772093452443,0.3420738907779991,0.6579261092220008,0.39859976068844694,0.6014002393115531
7,1,-0.2948727191982423,0.3591931411736738,-0.21648514014562317,0.19481772093452443,0.3420738907779991,0.6579261092220008,0.39859976068844694,0.6014002393115531
8,1,-0.2948727191982423,0.3591931411736738,-0.21648514014562317,0.19481772093452443,0.3420738907779991,0.6579261092220008,0.39859976068844694,0.6014002393115531
9,1,-0.2948727191982423,0.3591931411736738,-0.21648514014562317,0.19481772093452443,0.3420738907779991,0.6579261092220008,0.39859976068844694,0.6014002393115531
10,1,-0.2948727191982423,0.3591931411736738,-0.21648514014562317,0.19481772093452443,0.3420738907779991,0.6579261092220008,0.39859976068844694,0.6014002393115531
11,1,-0.2948727191982423,0.3591931411736738,-0.21648514014562317,0.19481772093452443,0.3420738907779991,0.6579261092220008,0.39859976068844694,0.6014002393115531
12,1,-0.2948727191982423,0.3591931411736738,-0.21648514014562317,0.19481772093452443,0.3420738907779991,0.6579261092220008,0.39859976068844694,0.6014002393115531
13,2,0.7712014510081002,-0.7068810290326688,0.5168639880024316,-0.5385314072135303,0.8142827759256905,0.18571722407430943,0.7418096164698149,0.25819038353018514
14,2,0.7712014510081002,-0.7068810290326688,0.5168639880024316,-0.5385314072135303,0.8142827759256905,0.18571722407430943,0.7418096164698149,0.25819038353018514
15,2,0.7712014510081002,-0.7068810290326688,0.5168639880024316,-0.5385314072135303,0.8142827759256905,0.18571722407430943,0.7418096164698149,0.25819038353018514
16,2,0.7712014510081002,-0.7068810290326688,0.5168639880024316,-0.5385314072135303,0.8142827759256905,0.18571722407430943,0.7418096164698149,0.25819038353018514
17,2,0.7712014510081002,-0.7068810290326688,0.5168639880024316,-0.5385314072135303,0.8142827759256905,0.18571722407430943,0.7418096164698149,0.25819038353018514
18,2,0.7712014510081002,-0.7068810290326688,0.5168639880024316,-0.5385314072135303,0.8142827759256905,0.18571722407430943,0.7418096164698149,0.25819038353018514
19,2,0.7712014510081002,-0.7068810290326688,0.5168639880024316,-0.5385314072135303,0.8142827759256905,0.18571722407430943,0.7418096164698149,0.25819038353018514
20,3,-0.18599443328267706,0.2503148552581087,-0.15448087640572428,0.13281345719462556,0.39262074243175593,0.6073792575682442,0.42866638765360243,0.5713336123463976
21,3,-0.18599443328267706,0.2503148552581087,-0.15448087640572428,0.13281345719462556,0.39262074243175593,0.6073792575682442,0.42866638765360243,0.5713336123463976
22,3,-0.18599443328267706,0.2503148552581087,-0.15448087640572428,0.13281345719462556,0.39262074243175593,0.6073792575682442,0.42866638765360243,0.5713336123463976
23,3,-0.18599443328267706,0.2503148552581087,-0.15448087640572428,0.13281345719462556,0.39262074243175593,0.6073792575682442,0.42866638765360243,0.5713336123463976
24,3,-0.18599443328267706,0.2503148552581087,-0.15448087640572428,0.13281345719462556,0.39262074243175593,0.6073792575682442,0.42866638765360243,0.5713336123463976
