round,prototype_step_m,theta_0_0,theta_0_1,theta_1_0,theta_1_1,theta_2_0,theta_2_1,softmax_0_0,softmax_0_1,softmax_1_0,softmax_1_1,softmax_2_0,softmax_2_1
0,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.03556132898964275,0.039667361759996266,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886,0.4989734932496109,0.5010265067503892
1,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.03556132898964275,0.039667361759996266,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886,0.4989734932496109,0.5010265067503892
2,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.03556132898964275,0.039667361759996266,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886,0.4989734932496109,0.5010265067503892
3,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.03556132898964275,0.039667361759996266,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886,0.4989734932496109,0.5010265067503892
4,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.03556132898964275,0.039667361759996266,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886,0.4989734932496109,0.5010265067503892
5,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.03556132898964275,0.039667361759996266,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886,0.4989734932496109,0.5010265067503892
6,1,0.41201015200462876,-0.5128978920847082,0.42393600670417075,-0.38648723688095654,0.4216757023418777,-0.3464470115922389,0.7160410971371952,0.28395890286280473,0.6921996876101559,0.307800312389844,0.6831146592243242,0.3168853407756758
7,1,0.41201015200462876,-0.5128978920847082,0.42393600670417075,-0.38648723688095654,0.4216757023418777,-0.3464470115922389,0.7160410971371952,0.28395890286280473,0.6921996876101559,0.307800312389844,0.6831146592243242,0.3168853407756758
8,1,0.41201015200462876,-0.5128978920847082,0.42393600670417075,-0.38648723688095654,0.4216757023418777,-0.3464470115922389,0.7160410971371952,0.28395890286280473,0.6921996876101559,0.307800312389844,0.6831146592243242,0.3168853407756758
9,1,0.41201015200462876,-0.5128978920847082,0.42393600670417075,-0.38648723688095654,0.4216757023418777,-0.3464470115922389,0.7160410971371952,0.28395890286280473,0.6921996876101559,0.307800312389844,0.6831146592243242,0.3168853407756758
10,1,0.41201015200462876,-0.5128978920847082,0.42393600670417075,-0.38648723688095654,0.4216757023418777,-0.3464470115922389,0.7160410971371952,0.28395890286280473,0.6921996876101559,0.307800312389844,0.6831146592243242,0.3168853407756758
11,1,0.41201015200462876,-0.5128978920847082,0.42393600670417075,-0.38648723688095654,0.4216757023418777,-0.3464470115922389,0.7160410971371952,0.28395890286280473,0.6921996876101559,0.307800312389844,0.6831146592243242,0.3168853407756758
12,1,0.41201015200462876,-0.5128978920847082,0.42393600670417075,-0.38648723688095654,0.4216757023418777,-0.3464470115922389,0.7160410971371952,0.28395890286280473,0.6921996876101559,0.307800312389844,0.6831146592243242,0.3168853407756758
13,2,-0.2043261035807742,0.1034383635006948,-0.10059017672255388,0.1380389465457681,-0.06782284998974158,0.14305154073938037,0.423660500672861,0.576339499327139,0.44062420935748503,0.559375790642515,0.4474758950811063,0.5525241049188938
14,2,-0.2043261035807742,0.1034383635006948,-0.10059017672255388,0.1380389465457681,-0.06782284998974158,0.14305154073938037,0.423660500672861,0.576339499327139,0.44062420935748503,0.559375790642515,0.4474758950811063,0.5525241049188938
15,2,-0.2043261035807742,0.1034383635006948,-0.10059017672255388,0.1380389465457681,-0.06782284998974158,0.14305154073938037,0.423660500672861,0.576339499327139,0.44062420935748503,0.559375790642515,0.4474758950811063,0.5525241049188938
16,2,-0.2043261035807742,0.1034383635006948,-0.10059017672255388,0.1380389465457681,-0.06782284998974158,0.14305154073938037,0.423660500672861,0.576339499327139,0.44062420935748503,0.559375790642515,0.4474758950811063,0.5525241049188938
17,2,-0.2043261035807742,0.1034383635006948,-0.10059017672255388,0.1380389465457681,-0.06782284998974158,0.14305154073938037,0.423660500672861,0.576339499327139,0.44062420935748503,0.559375790642515,0.4474758950811063,0.5525241049188938
18,2,-0.2043261035807742,0.1034383635006948,-0.10059017672255388,0.1380389465457681,-0.06782284998974158,0.14305154073938037,0.423660500672861,0.576339499327139,0.44062420935748503,0.559375790642515,0.4474758950811063,0.5525241049188938
19,2,-0.2043261035807742,0.1034383635006948,-0.10059017672255388,0.1380389465457681,-0.06782284998974158,0.14305154073938037,0.423660500672861,0.576339499327139,0.44062420935748503,0.559375790642515,0.4474758950811063,0.5525241049188938
20,3,0.45785682747044054,-0.5587445675505199,0.5162907623847988,-0.47884199256158455,0.5306888133522343,-0.45546012260259555,0.7343100639669423,0.2656899360330578,0.7301005446388125,0.2698994553611874,0.7283265943665135,0.2716734056334865
21,3,0.45785682747044054,-0.5587445675505199,0.5162907623847988,-0.47884199256158455,0.5306888133522343,-0.45546012260259555,0.7343100639669423,0.2656899360330578,0.7301005446388125,0.2698994553611874,0.7283265943665135,0.2716734056334865
22,3,0.45785682747044054,-0.5587445675505199,0.5162907623847988,-0.47884199256158455,0.5306888133522343,-0.45546012260259555,0.7343100639669423,0.2656899360330578,0.7301005446388125,0.2698994553611874,0.7283265943665135,0.2716734056334865
23,3,0.45785682747044054,-0.5587445675505199,0.5162907623847988,-0.47884199256158455,0.5306888133522343,-0.45546012260259555,0.7343100639669423,0.2656899360330578,0.7301005446388125,0.2698994553611874,0.7283265943665135,0.2716734056334865
24,3,0.45785682747044054,-0.5587445675505199,0.5162907623847988,-0.47884199256158455,0.5306888133522343,-0.45546012260259555,0.7343100639669423,0.2656899360330578,0.7301005446388125,0.2698994553611874,0.7283265943665135,0.2716734056334865
25,3,0.45785682747044054,-0.5587445675505199,0.5162907623847988,-0.47884199256158455,0.5306888133522343,-0.45546012260259555,0.7343100639669423,0.2656899360330578,0.7301005446388125,0.2698994553611874,0.7283265943665135,0.2716734056334865
26,3,0.45785682747044054,-0.5587445675505199,0.5162907623847988,-0.47884199256158455,0.5306888133522343,-0.45546012260259555,0.7343100639669423,0.2656899360330578,0.7301005446388125,0.2698994553611874,0.7283265943665135,0.2716734056334865
27,4,0.08833345815371624,-0.18922119823379574,0.1574449304242863,-0.11999616060107193,0.17621553879119572,-0.100986848041557,0.5689466137003876,0.4310533862996125,0.5689187619901434,0.43108123800985665,0.5688602187753246,0.4311397812246755
28,4,0.08833345815371624,-0.18922119823379574,0.1574449304242863,-0.11999616060107193,0.17621553879119572,-0.100986848041557,0.5689466137003876,0.4310533862996125,0.5689187619901434,0.43108123800985665,0.5688602187753246,0.4311397812246755
