round,prototype_step_m,theta_0_0,theta_0_1,theta_1_0,theta_1_1,theta_2_0,theta_2_1,softmax_0_0,softmax_0_1,softmax_1_0,softmax_1_1,softmax_2_0,softmax_2_1
0,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.03556132898964275,0.039667361759996266,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886,0.4989734932496109,0.5010265067503892
1,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.03556132898964275,0.039667361759996266,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886,0.4989734932496109,0.5010265067503892
2,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.03556132898964275,0.039667361759996266,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886,0.4989734932496109,0.5010265067503892
3,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.03556132898964275,0.039667361759996266,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886,0.4989734932496109,0.5010265067503892
4,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.03556132898964275,0.039667361759996266,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886,0.4989734932496109,0.5010265067503892
5,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.03556132898964275,0.039667361759996266,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886,0.4989734932496109,0.5010265067503892
6,1,-0.05799102600069843,-0.042896714079381004,-0.046161348761728956,0.08361011858494315,-0.048431795817299304,0.12366048656693782,0.49622649366515603,0.5037735063348441,0.46760258648840175,0.5323974135115983,0.4570827959382966,0.5429172040617034
7,1,-0.05799102600069843,-0.042896714079381004,-0.046161348761728956,0.08361011858494315,-0.048431795817299304,0.12366048656693782,0.49622649366515603,0.5037735063348441,0.46760258648840175,0.5323974135115983,0.4570827959382966,0.5429172040617034
8,1,-0.05799102600069843,-0.042896714079381004,-0.046161348761728956,0.08361011858494315,-0.048431795817299304,0.12366048656693782,0.49622649366515603,0.5037735063348441,0.46760258648840175,0.5323974135115983,0.4570827959382966,0.5429172040617034
9,1,-0.05799102600069843,-0.042896714079381004,-0.046161348761728956,0.08361011858494315,-0.048431795817299304,0.12366048656693782,0.49622649366515603,0.5037735063348441,0.46760258648840175,0.5323974135115983,0.4570827959382966,0.5429172040617034
10,1,-0.05799102600069843,-0.042896714079381004,-0.046161348761728956,0.08361011858494315,-0.048431795817299304,0.12366048656693782,0.49622649366515603,0.5037735063348441,0.46760258648840175,0.5323974135115983,0.4570827959382966,0.5429172040617034
11,1,-0.05799102600069843,-0.042896714079381004,-0.046161348761728956,0.08361011858494315,-0.048431795817299304,0.12366048656693782,0.49622649366515603,0.5037735063348441,0.46760258648840175,0.5323974135115983,0.4570827959382966,0.5429172040617034
12,1,-0.05799102600069843,-0.042896714079381004,-0.046161348761728956,0.08361011858494315,-0.048431795817299304,0.12366048656693782,0.49622649366515603,0.5037735063348441,0.46760258648840175,0.5323974135115983,0.4570827959382966,0.5429172040617034
13,2,-0.10043381676012986,-0.0004539233199502557,0.02322403099530252,0.01422473882791142,0.06204936041678096,0.01317933033285755,0.4750258266178481,0.524974173382152,0.5022498078580538,0.49775019214194616,0.5122150765326579,0.48778492346734215
14,2,-0.10043381676012986,-0.0004539233199502557,0.02322403099530252,0.01422473882791142,0.06204936041678096,0.01317933033285755,0.4750258266178481,0.524974173382152,0.5022498078580538,0.49775019214194616,0.5122150765326579,0.48778492346734215
15,2,-0.10043381676012986,-0.0004539233199502557,0.02322403099530252,0.01422473882791142,0.06204936041678096,0.01317933033285755,0.4750258266178481,0.524974173382152,0.5022498078580538,0.49775019214194616,0.5122150765326579,0.48778492346734215
16,2,-0.10043381676012986,-0.0004539233199502557,0.02322403099530252,0.01422473882791142,0.06204936041678096,0.01317933033285755,0.4750258266178481,0.524974173382152,0.5022498078580538,0.49775019214194616,0.5122150765326579,0.48778492346734215
17,2,-0.10043381676012986,-0.0004539233199502557,0.02322403099530252,0.01422473882791142,0.06204936041678096,0.01317933033285755,0.4750258266178481,0.524974173382152,0.5022498078580538,0.49775019214194616,0.5122150765326579,0.48778492346734215
18,2,-0.10043381676012986,-0.0004539233199502557,0.02322403099530252,0.01422473882791142,0.06204936041678096,0.01317933033285755,0.4750258266178481,0.524974173382152,0.5022498078580538,0.49775019214194616,0.5122150765326579,0.48778492346734215
19,2,-0.10043381676012986,-0.0004539233199502557,0.02322403099530252,0.01422473882791142,0.06204936041678096,0.01317933033285755,0.4750258266178481,0.524974173382152,0.5022498078580538,0.49775019214194616,0.5122150765326579,0.48778492346734215
20,3,0.1601784535570822,-0.2610661936371623,0.21253779836493283,-0.1750890285417189,0.22524894989659824,-0.1500202591469597,0.6037810446121215,0.39621895538787866,0.5957112758885603,0.40428872411143973,0.5927315888686681,0.407268411131332
21,3,0.1601784535570822,-0.2610661936371623,0.21253779836493283,-0.1750890285417189,0.22524894989659824,-0.1500202591469597,0.6037810446121215,0.39621895538787866,0.5957112758885603,0.40428872411143973,0.5927315888686681,0.407268411131332
22,3,0.1601784535570822,-0.2610661936371623,0.21253779836493283,-0.1750890285417189,0.22524894989659824,-0.1500202591469597,0.6037810446121215,0.39621895538787866,0.5957112758885603,0.40428872411143973,0.5927315888686681,0.407268411131332
23,3,0.1601784535570822,-0.2610661936371623,0.21253779836493283,-0.1750890285417189,0.22524894989659824,-0.1500202591469597,0.6037810446121215,0.39621895538787866,0.5957112758885603,0.40428872411143973,0.5927315888686681,0.407268411131332
24,3,0.1601784535570822,-0.2610661936371623,0.21253779836493283,-0.1750890285417189,0.22524894989659824,-0.1500202591469597,0.6037810446121215,0.39621895538787866,0.5957112758885603,0.40428872411143973,0.5927315888686681,0.407268411131332
25,3,0.1601784535570822,-0.2610661936371623,0.21253779836493283,-0.1750890285417189,0.22524894989659824,-0.1500202591469597,0.6037810446121215,0.39621895538787866,0.5957112758885603,0.40428872411143973,0.5927315888686681,0.407268411131332
26,3,0.1601784535570822,-0.2610661936371623,0.21253779836493283,-0.1750890285417189,0.22524894989659824,-0.1500202591469597,0.6037810446121215,0.39621895538787866,0.5957112758885603,0.40428872411143973,0.5927315888686681,0.407268411131332
27,4,-0.2353022909658763,0.13441455088579585,-0.16416232621468077,0.2016110960378947,-0.14455332765766374,0.21978201840730227,0.40860944433018265,0.5913905556698175,0.40956270517963705,0.5904372948203629,0.4099105075127761,0.590089492487224
28,4,-0.2353022909658763,0.13441455088579585,-0.16416232621468077,0.2016110960378947,-0.14455332765766374,0.21978201840730227,0.40860944433018265,0.5913905556698175,0.40956270517963705,0.5904372948203629,0.4099105075127761,0.590089492487224
