prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_mean_b_snap_k2,batch_mean_b_snap_k3,batch_mean_b_snap_k4,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,batch_frac_argmax_k2,batch_frac_argmax_k3,batch_frac_argmax_k4,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1,softmax_k2_a0,softmax_k2_a1,softmax_k3_a0,softmax_k3_a1,softmax_k4_a0,softmax_k4_a1
2014,14104,False,0.001580376013130889,75,65,0.09390835910080114,0.22301902276072033,0.34203501042683937,0.12757541427166116,0.2134621934399775,0.1291106636599192,0.6775839415293015,0.05333333333333334,0.22666666666666666,0.37333333333333335,0.12,0.22666666666666666,0.5961162187628165,0.40388378123718344,0.3277120583446537,0.6722879416553463,0.8656613171878358,0.13433868281216424,0.6654447374353791,0.33455526256462076,0.5576084247875934,0.4423915752124065
2015,14111,False,0.002703632955126241,68,63,0.09430196480789317,0.31173242887678265,0.19959188676890494,0.20983689555162333,0.1845368239947957,0.2174304640688895,0.669587911320288,0.058823529411764705,0.3382352941176471,0.19117647058823528,0.22058823529411764,0.19117647058823528,0.5962215011200308,0.4037784988799692,0.32833865763935555,0.6716613423606445,0.8654446893972714,0.13455531060272866,0.6650825423316639,0.3349174576683361,0.5574884716674859,0.44251152833251395
2016,14118,False,0.0006976879298132273,66,60,0.11099168575679348,0.20589463226722368,0.30201562894845313,0.1678302067261796,0.21326784630134948,0.0949029465104302,0.666068581788517,0.06060606060606061,0.21212121212121213,0.30303030303030304,0.18181818181818182,0.24242424242424243,0.596169843890003,0.40383015610999706,0.32832423464117566,0.6716757653588243,0.8655544906079061,0.1344455093920939,0.6650419486440899,0.33495805135591,0.5574929537112657,0.4425070462887342
2017,14125,False,0.001130816210302065,58,56,0.09040580697262365,0.23705754863071607,0.27831682324664486,0.189477262837207,0.20474255831280802,0.14665174165809242,0.6607365480471883,0.06896551724137931,0.2413793103448276,0.29310344827586204,0.1896551724137931,0.20689655172413793,0.596228842392355,0.4037711576076449,0.3280340020223382,0.6719659979776618,0.8655519568024603,0.13444804319753975,0.6648480440170901,0.33515195598291,0.557472887511028,0.44252711248897214
2018,14132,False,0.0007150462806159058,81,72,0.09751565147218466,0.24179842371489874,0.22829680696503615,0.2631035025034267,0.16928561534445305,0.14428277224271407,0.6675201181611538,0.07407407407407407,0.24691358024691357,0.2345679012345679,0.2839506172839506,0.16049382716049382,0.5963928680731249,0.40360713192687514,0.3279024218957153,0.6720975781042848,0.8655119161132814,0.1344880838867187,0.6649124425651891,0.33508755743481083,0.5574723109676146,0.4425276890323854
2019,14139,False,0.002157673380787731,69,64,0.1192409410227849,0.26206615167083314,0.19418049773681556,0.15595058835107597,0.2685618212184899,0.14282521064804823,0.654607246512537,0.11594202898550725,0.2608695652173913,0.18840579710144928,0.14492753623188406,0.2898550724637681,0.5960839175889526,0.40391608241104743,0.32744841383710593,0.6725515861628941,0.865376338271161,0.1346236617288391,0.6646127177456284,0.33538728225437153,0.5575963409142203,0.4424036590857797
2020,14146,False,0.0009497633456146777,72,68,0.11954347434252395,0.2672553224178267,0.28450409134788895,0.1834011663333729,0.14529594555838712,0.14771184807530274,0.6512339692522531,0.08333333333333333,0.2916666666666667,0.2638888888888889,0.20833333333333334,0.1527777777777778,0.596070333860461,0.403929666139539,0.32737446843207174,0.6726255315679283,0.8652310031567042,0.13476899684329588,0.6646515629188138,0.3353484370811863,0.557675480613555,0.44232451938644496
2021,14153,False,0.0022470164446875386,69,63,0.0963378860236958,0.22928438284339214,0.3723063113361987,0.12710140307595155,0.17497001672076168,0.13294649681969634,0.6589353356026357,0.057971014492753624,0.21739130434782608,0.4057971014492754,0.11594202898550725,0.2028985507246377,0.5962220929529425,0.4037779070470575,0.32795551398784845,0.6720444860121516,0.8653239056624883,0.1346760943375118,0.6644263514001834,0.33557364859981664,0.5579328376923798,0.44206716230762017
2022,14160,False,0.0012027938024105817,68,63,0.09156969694958482,0.2826414648102322,0.26645500824122204,0.15406130207632307,0.20527252792263742,0.1910717678606474,0.6466564864827823,0.04411764705882353,0.27941176470588236,0.2647058823529412,0.17647058823529413,0.23529411764705882,0.5963824793233169,0.40361752067668305,0.3279379471521708,0.6720620528478293,0.8653526782493716,0.13464732175062838,0.6642103093320407,0.3357896906679592,0.5582291620042098,0.4417708379957902
2023,14167,False,0.0009556052036606624,61,60,0.06289458290414048,0.3193933586491601,0.28448053352318875,0.13303604161201193,0.20019548331149856,0.2564987757450196,0.6486589903155604,0.01639344262295082,0.36065573770491804,0.29508196721311475,0.13114754098360656,0.19672131147540983,0.5962276342485812,0.4037723657514187,0.3280129176748151,0.6719870823251849,0.8654258348491846,0.1345741651508154,0.66439937065757,0.3356006293424299,0.5583348735142523,0.44166512648574774
2024,14174,False,0.0007223679911940948,70,67,0.07747903408879304,0.3164109416908749,0.2574394112753653,0.13743708067338734,0.21123353227157907,0.23893190760208188,0.6458833151544381,0.07142857142857142,0.34285714285714286,0.2571428571428571,0.12857142857142856,0.2,0.5962267310311866,0.4037732689688135,0.3278965618083232,0.6721034381916767,0.8655072391488186,0.13449276085118153,0.6643636547845128,0.33563634521548735,0.558211460844672,0.4417885391553279
2025,14181,False,0.0017952197330808966,68,65,0.0946979833343834,0.2928481881562034,0.26431068298261684,0.22180917146877413,0.12633397405802166,0.19815020482182,0.6347642521191941,0.058823529411764705,0.3382352941176471,0.2647058823529412,0.22058823529411764,0.11764705882352941,0.5963161529166862,0.40368384708331373,0.32827641844996763,0.6717235815500324,0.8655609989737524,0.13443900102624762,0.6645570122190826,0.33544298778091736,0.5585913179192681,0.4414086820807319
2026,14188,False,0.001551072131303458,61,56,0.15450178472277873,0.23039458860725143,0.26486270460302763,0.1430901198757896,0.20715080219115206,0.0758928038844727,0.6951316892663543,0.14754098360655737,0.19672131147540983,0.2786885245901639,0.13114754098360656,0.2459016393442623,0.596031470567977,0.40396852943202305,0.32809242531338506,0.6719075746866149,0.865509210400843,0.13449078959915706,0.6645951283860901,0.3354048716139099,0.5582022263661007,0.44179777363389927
