prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1
0,6,False,1.365169470498213,69,68,0.4999144077012003,0.5000855922987997,0.00017118459759934979,0.6931461695426927,0.9855072463768116,0.014492753623188406,0.8048915306682916,0.19510846933170847,0.7708507484636951,0.22914925153630486
1,13,False,4.157837475068467,62,60,0.49841184971905766,0.5015881502809423,0.003176300561884615,0.6930355474544159,0.8870967741935484,0.11290322580645161,0.051218771783026015,0.9487812282169741,0.05961819569723695,0.9403818043027631
2,20,False,4.8178630880633335,59,55,0.49696730516064086,0.5030326948393591,0.006065389678718225,0.6928909386759331,0.8983050847457628,0.1016949152542373,0.8717843313713405,0.12821566862865955,0.8850790841139499,0.11492091588605015
3,27,False,1.7991904304431448,64,63,0.4960266855199876,0.5039733144800125,0.007946628960024904,0.6928130481092925,0.84375,0.15625,0.5373870522554657,0.4626129477445344,0.552460780448836,0.44753921955116405
4,34,False,0.5301022786175134,61,57,0.49618331767284196,0.503816682327158,0.007633364654316077,0.6926674317590723,0.819672131147541,0.18032786885245902,0.4145066727354997,0.5854933272645003,0.4128413264751008,0.5871586735248991
5,41,False,0.2536358391529933,70,66,0.4996734996477608,0.5003265003522391,0.0006530007044783237,0.6927970872981302,0.8571428571428571,0.14285714285714285,0.4738721316861288,0.5261278683138711,0.4784279144593353,0.5215720855406647
6,48,False,0.09112189622640918,82,79,0.49999047517687695,0.500009524823123,1.904964624604988e-05,0.6930254679275125,0.8658536585365854,0.13414634146341464,0.4974610492210144,0.5025389507789856,0.5003311657023622,0.4996688342976377
7,49,True,0.6555108328154174,13,13,0.49169817440591995,0.5083018255940801,0.01660365118816015,0.6919368571125314,0.7692307692307693,0.23076923076923078,0.6485934784973917,0.35140652150260826,0.6654755181150228,0.33452448188497724
