round,prototype_step_m,theta_0_0,theta_0_1,theta_1_0,theta_1_1,softmax_0_0,softmax_0_1,softmax_1_0,softmax_1_1
0,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886
1,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886
2,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886
3,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886
4,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886
5,0,-0.08414348858079024,-0.016744251499288744,0.00813765325525028,0.02931111656796391,0.48315656640894716,0.5168434335910529,0.49470683192113996,0.50529316807886
6,1,0.6581320634263312,-0.7590198035064118,0.6252849990995853,-0.5878362292763711,0.8048915306682916,0.19510846933170847,0.7708507484636951,0.22914925153630486
7,1,0.6581320634263312,-0.7590198035064118,0.6252849990995853,-0.5878362292763711,0.8048915306682916,0.19510846933170847,0.7708507484636951,0.22914925153630486
8,1,0.6581320634263312,-0.7590198035064118,0.6252849990995853,-0.5878362292763711,0.8048915306682916,0.19510846933170847,0.7708507484636951,0.22914925153630486
9,1,0.6581320634263312,-0.7590198035064118,0.6252849990995853,-0.5878362292763711,0.8048915306682916,0.19510846933170847,0.7708507484636951,0.22914925153630486
10,1,0.6581320634263312,-0.7590198035064118,0.6252849990995853,-0.5878362292763711,0.8048915306682916,0.19510846933170847,0.7708507484636951,0.22914925153630486
11,1,0.6581320634263312,-0.7590198035064118,0.6252849990995853,-0.5878362292763711,0.8048915306682916,0.19510846933170847,0.7708507484636951,0.22914925153630486
12,1,0.6581320634263312,-0.7590198035064118,0.6252849990995853,-0.5878362292763711,0.8048915306682916,0.19510846933170847,0.7708507484636951,0.22914925153630486
13,2,-1.5099799410634713,1.4090922009833906,-1.360438186676587,1.3978869564998018,0.051218771783026015,0.9487812282169741,0.05961819569723695,0.9403818043027631
14,2,-1.5099799410634713,1.4090922009833906,-1.360438186676587,1.3978869564998018,0.051218771783026015,0.9487812282169741,0.05961819569723695,0.9403818043027631
15,2,-1.5099799410634713,1.4090922009833906,-1.360438186676587,1.3978869564998018,0.051218771783026015,0.9487812282169741,0.05961819569723695,0.9403818043027631
16,2,-1.5099799410634713,1.4090922009833906,-1.360438186676587,1.3978869564998018,0.051218771783026015,0.9487812282169741,0.05961819569723695,0.9403818043027631
17,2,-1.5099799410634713,1.4090922009833906,-1.360438186676587,1.3978869564998018,0.051218771783026015,0.9487812282169741,0.05961819569723695,0.9403818043027631
18,2,-1.5099799410634713,1.4090922009833906,-1.360438186676587,1.3978869564998018,0.051218771783026015,0.9487812282169741,0.05961819569723695,0.9403818043027631
19,2,-1.5099799410634713,1.4090922009833906,-1.360438186676587,1.3978869564998018,0.051218771783026015,0.9487812282169741,0.05961819569723695,0.9403818043027631
20,3,0.9079702848095115,-1.0088580248895922,1.039440783784709,-1.0019920139614942,0.8717843313713405,0.12821566862865955,0.8850790841139499,0.11492091588605015
21,3,0.9079702848095115,-1.0088580248895922,1.039440783784709,-1.0019920139614942,0.8717843313713405,0.12821566862865955,0.8850790841139499,0.11492091588605015
22,3,0.9079702848095115,-1.0088580248895922,1.039440783784709,-1.0019920139614942,0.8717843313713405,0.12821566862865955,0.8850790841139499,0.11492091588605015
23,3,0.9079702848095115,-1.0088580248895922,1.039440783784709,-1.0019920139614942,0.8717843313713405,0.12821566862865955,0.8850790841139499,0.11492091588605015
24,3,0.9079702848095115,-1.0088580248895922,1.039440783784709,-1.0019920139614942,0.8717843313713405,0.12821566862865955,0.8850790841139499,0.11492091588605015
25,3,0.9079702848095115,-1.0088580248895922,1.039440783784709,-1.0019920139614942,0.8717843313713405,0.12821566862865955,0.8850790841139499,0.11492091588605015
26,3,0.9079702848095115,-1.0088580248895922,1.039440783784709,-1.0019920139614942,0.8717843313713405,0.12821566862865955,0.8850790841139499,0.11492091588605015
27,4,0.024470062012133087,-0.12535780209221403,0.12403351987641054,-0.08658475005319566,0.5373870522554657,0.4626129477445344,0.552460780448836,0.44753921955116405
28,4,0.024470062012133087,-0.12535780209221403,0.12403351987641054,-0.08658475005319566,0.5373870522554657,0.4626129477445344,0.552460780448836,0.44753921955116405
29,4,0.024470062012133087,-0.12535780209221403,0.12403351987641054,-0.08658475005319566,0.5373870522554657,0.4626129477445344,0.552460780448836,0.44753921955116405
30,4,0.024470062012133087,-0.12535780209221403,0.12403351987641054,-0.08658475005319566,0.5373870522554657,0.4626129477445344,0.552460780448836,0.44753921955116405
31,4,0.024470062012133087,-0.12535780209221403,0.12403351987641054,-0.08658475005319566,0.5373870522554657,0.4626129477445344,0.552460780448836,0.44753921955116405
32,4,0.024470062012133087,-0.12535780209221403,0.12403351987641054,-0.08658475005319566,0.5373870522554657,0.4626129477445344,0.552460780448836,0.44753921955116405
33,4,0.024470062012133087,-0.12535780209221403,0.12403351987641054,-0.08658475005319566,0.5373870522554657,0.4626129477445344,0.552460780448836,0.44753921955116405
34,5,-0.22312672684307686,0.12223898676299583,-0.15739150219221876,0.19484027201543364,0.4145066727354997,0.5854933272645003,0.4128413264751008,0.5871586735248991
35,5,-0.22312672684307686,0.12223898676299583,-0.15739150219221876,0.19484027201543364,0.4145066727354997,0.5854933272645003,0.4128413264751008,0.5871586735248991
36,5,-0.22312672684307686,0.12223898676299583,-0.15739150219221876,0.19484027201543364,0.4145066727354997,0.5854933272645003,0.4128413264751008,0.5871586735248991
37,5,-0.22312672684307686,0.12223898676299583,-0.15739150219221876,0.19484027201543364,0.4145066727354997,0.5854933272645003,0.4128413264751008,0.5871586735248991
38,5,-0.22312672684307686,0.12223898676299583,-0.15739150219221876,0.19484027201543364,0.4145066727354997,0.5854933272645003,0.4128413264751008,0.5871586735248991
39,5,-0.22312672684307686,0.12223898676299583,-0.15739150219221876,0.19484027201543364,0.4145066727354997,0.5854933272645003,0.4128413264751008,0.5871586735248991
40,5,-0.22312672684307686,0.12223898676299583,-0.15739150219221876,0.19484027201543364,0.4145066727354997,0.5854933272645003,0.4128413264751008,0.5871586735248991
41,6,-0.10274724900085555,0.001859508920774522,-0.024446585907857893,0.061895355731072965,0.4738721316861288,0.5261278683138711,0.4784279144593353,0.5215720855406647
42,6,-0.10274724900085555,0.001859508920774522,-0.024446585907857893,0.061895355731072965,0.4738721316861288,0.5261278683138711,0.4784279144593353,0.5215720855406647
43,6,-0.10274724900085555,0.001859508920774522,-0.024446585907857893,0.061895355731072965,0.4738721316861288,0.5261278683138711,0.4784279144593353,0.5215720855406647
44,6,-0.10274724900085555,0.001859508920774522,-0.024446585907857893,0.061895355731072965,0.4738721316861288,0.5261278683138711,0.4784279144593353,0.5215720855406647
45,6,-0.10274724900085555,0.001859508920774522,-0.024446585907857893,0.061895355731072965,0.4738721316861288,0.5261278683138711,0.4784279144593353,0.5215720855406647
46,6,-0.10274724900085555,0.001859508920774522,-0.024446585907857893,0.061895355731072965,0.4738721316861288,0.5261278683138711,0.4784279144593353,0.5215720855406647
47,6,-0.10274724900085555,0.001859508920774522,-0.024446585907857893,0.061895355731072965,0.4738721316861288,0.5261278683138711,0.4784279144593353,0.5215720855406647
48,7,-0.05552181524339335,-0.04536592483668758,0.019386716413183305,0.018062053410031767,0.4974610492210144,0.5025389507789856,0.5003311657023622,0.4996688342976377
