condition,seed,round,avg_belief_entropy,belief_argmax_accuracy,matched_cross_entropy,obs_count_so_far,belief_rep_coop_type0,belief_rep_def_type0
freeze_proto_baseline,42,0,0.693147180559945,0.5,1.3663943594532684,0,0.5,0.5
freeze_proto_baseline,42,1,0.693145513976608,0.5333333333333333,1.3663943594532684,1,0.5,0.5
freeze_proto_baseline,42,2,0.693145513976608,0.5333333333333333,1.3663943594532684,2,0.5,0.5
freeze_proto_baseline,42,3,0.693143847393271,0.5333333333333333,1.3663943594532684,2,0.5,0.5
freeze_proto_baseline,42,4,0.6931421808099338,0.5333333333333333,1.3663943594532684,2,0.5,0.5
freeze_proto_baseline,42,5,0.6931421808099338,0.5333333333333333,1.3663943594532684,3,0.5,0.5
freeze_proto_baseline,42,6,0.6931421808099338,0.5333333333333333,1.3663943594532684,4,0.5,0.5
freeze_proto_baseline,42,7,0.6931405142265968,0.5666666666666667,1.3663943594532684,4,0.5,0.5
freeze_proto_baseline,42,8,0.6931355154763635,0.5666666666666667,1.3663943594532684,4,0.5,0.5
freeze_proto_baseline,42,9,0.6931355154763635,0.5666666666666667,1.3663943594532684,5,0.5,0.5
freeze_proto_baseline,42,10,0.6931305167261302,0.5666666666666667,1.3663943594532684,6,0.5,0.5
freeze_proto_baseline,42,11,0.6931305167261302,0.5666666666666667,1.3663943594532684,6,0.5,0.5
freeze_proto_baseline,42,12,0.6931288501427932,0.5666666666666667,1.3663943594532684,6,0.5,0.5
freeze_proto_baseline,42,13,0.6931271835594562,0.6,1.3663943594532684,7,0.5,0.5
freeze_proto_baseline,42,14,0.6931255169761192,0.6,1.3663943594532684,8,0.5,0.5
freeze_proto_baseline,42,15,0.6931238503927822,0.6,1.3663943594532684,8,0.5,0.5
freeze_proto_baseline,42,16,0.6931238503927822,0.6,1.3663943594532684,8,0.5,0.5
freeze_proto_baseline,42,17,0.6931238503927822,0.6,1.3663943594532684,9,0.5,0.5
freeze_proto_baseline,42,18,0.6931238503927822,0.6,1.3663943594532684,10,0.5,0.5
freeze_proto_baseline,42,19,0.6931221838094451,0.6,1.3663943594532684,10,0.5,0.5
freeze_proto_baseline,42,20,0.6931205172261081,0.6,1.3663943594532684,10,0.5,0.5
freeze_proto_baseline,42,21,0.6931205172261081,0.6,1.3663943594532684,11,0.5,0.5
freeze_proto_baseline,42,22,0.6931205172261081,0.6,1.3663943594532684,12,0.5,0.5
freeze_proto_baseline,42,23,0.6931205172261081,0.6,1.3663943594532684,12,0.5,0.5
freeze_proto_baseline,42,24,0.6931205172261081,0.6,1.3663943594532684,12,0.5,0.5
freeze_proto_baseline,42,25,0.6931205172261081,0.6,1.3663943594532684,13,0.5,0.5
freeze_proto_baseline,42,26,0.6931205172261081,0.6,1.3663943594532684,14,0.5,0.5
freeze_proto_baseline,42,27,0.6931155184758749,0.6,1.3663943594532684,14,0.5,0.5
freeze_proto_baseline,42,28,0.6931155184758749,0.6,1.3663943594532684,14,0.5,0.5
freeze_proto_baseline,42,29,0.6931105197256417,0.6,1.3663943594532684,15,0.5,0.5
freeze_proto_baseline,42,30,0.6931105197256417,0.6,1.3663943594532684,16,0.5,0.5
