condition,seed,round,prototype_update_idx,prototype_update_norm,theta_0_a0,theta_0_a1,theta_1_a0,theta_1_a1,p_0_cooperate,p_0_defect,p_1_cooperate,p_1_defect
symmetric,42,0,-1,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
symmetric,42,4,0,0.1,0.05,-0.05,0.05,-0.05,0.52497918747894,0.47502081252106,0.52497918747894,0.47502081252106
symmetric,42,9,1,0.04020265799899128,0.07010132899949564,-0.07010132899949564,0.07010132899949564,-0.07010132899949564,0.5349933618534406,0.4650066381465595,0.5349933618534406,0.4650066381465595
symmetric,42,14,2,0.09859335003606412,0.11939800401752769,-0.1193980040175277,0.11939800401752769,-0.1193980040175277,0.5594169230768642,0.44058307692313575,0.5594169230768642,0.44058307692313575
symmetric,42,19,3,0.10321540707412243,0.06779030048046647,-0.0677903004804665,0.06779030048046647,-0.0677903004804665,0.5338433235049491,0.46615667649505094,0.5338433235049491,0.46615667649505094
symmetric,42,24,4,0.03144298063895423,0.052068810160989354,-0.05206881016098938,0.052068810160989354,-0.05206881016098938,0.5260109027464458,0.47398909725355426,0.5260109027464458,0.47398909725355426
symmetric,42,29,5,0.05462571771330147,0.07938166901764009,-0.07938166901764013,0.07938166901764009,-0.07938166901764013,0.5396076741866396,0.46039232581336037,0.5396076741866396,0.46039232581336037
symmetric,42,34,6,0.02422819475108001,0.06726757164210008,-0.06726757164210012,0.06726757164210008,-0.06726757164210012,0.5335831473404018,0.4664168526595981,0.5335831473404018,0.4664168526595981
symmetric,42,39,7,0.020557518195645823,0.05698881254427717,-0.056988812544277206,0.05698881254427717,-0.056988812544277206,0.5284635989634384,0.4715364010365616,0.5284635989634384,0.4715364010365616
symmetric,42,44,8,0.03758458844478798,0.07578110676667116,-0.0757811067666712,0.07578110676667116,-0.0757811067666712,0.5378181872896991,0.46218181271030095,0.5378181872896991,0.46218181271030095
symmetric,42,49,9,0.017350281818641004,0.06710596585735065,-0.06710596585735071,0.06710596585735065,-0.06710596585735071,0.5335027081025914,0.46649729189740863,0.5335027081025914,0.46649729189740863
symmetric,42,54,10,0.05390086195881136,0.09405639683675633,-0.09405639683675639,0.09405639683675633,-0.09405639683675639,0.5468900074288593,0.45310999257114076,0.5468900074288593,0.45310999257114076
symmetric,42,59,11,0.015693836773881746,0.08620947844981545,-0.08620947844981552,0.08620947844981545,-0.08620947844981552,0.5429982698559435,0.4570017301440566,0.5429982698559435,0.4570017301440566
symmetric,42,64,12,0.034099099669469675,0.06915992861508062,-0.06915992861508069,0.06915992861508062,-0.06915992861508069,0.5345249364933021,0.46547506350669793,0.5345249364933021,0.46547506350669793
symmetric,42,69,13,0.012510871503999302,0.06290449286308097,-0.06290449286308104,0.06290449286308097,-0.06290449286308104,0.531410826735717,0.46858917326428295,0.531410826735717,0.46858917326428295
symmetric,42,74,14,0.011485476416549087,0.05716175465480643,-0.0571617546548065,0.05716175465480643,-0.0571617546548065,0.5285497889420381,0.4714502110579619,0.5285497889420381,0.4714502110579619
symmetric,42,79,15,0.0270952528494865,0.043614128230063186,-0.043614128230063255,0.043614128230063186,-0.043614128230063255,0.521793247552021,0.478206752447979,0.521793247552021,0.478206752447979
symmetric,42,84,16,0.025128866405326484,0.031049695027399946,-0.031049695027400008,0.031049695027399946,-0.031049695027400008,0.5155198603534803,0.48448013964651965,0.5155198603534803,0.48448013964651965
symmetric,42,89,17,0.006266273819736122,0.03418283193726801,-0.034182831937268066,0.03418283193726801,-0.034182831937268066,0.5170847621657009,0.48291523783429907,0.5170847621657009,0.48291523783429907
symmetric,42,94,18,0.02240253328217871,0.022981565296178653,-0.02298156529617871,0.022981565296178653,-0.02298156529617871,0.5114887601141095,0.48851123988589057,0.5114887601141095,0.48851123988589057
symmetric,42,99,19,0.02101432206325365,0.012474404264551826,-0.012474404264551885,0.012474404264551826,-0.012474404264551885,0.5062368786271539,0.49376312137284606,0.5062368786271539,0.49376312137284606
symmetric,42,104,20,0.006859270609598285,0.009044768959752683,-0.009044768959752742,0.009044768959752683,-0.009044768959752742,0.5045222611617347,0.4954777388382653,0.5045222611617347,0.4954777388382653
symmetric,42,109,21,0.00591182694337104,0.012000682431438203,-0.012000682431438262,0.012000682431438203,-0.012000682431438262,0.5060000531831738,0.4939999468168262,0.5060000531831738,0.4939999468168262
symmetric,42,114,22,0.018203984185517736,0.002898690338679337,-0.0028986903386793925,0.002898690338679337,-0.0028986903386793925,0.5014493411100246,0.4985506588899754,0.5014493411100246,0.4985506588899754
symmetric,42,119,23,0.005642472026801034,0.005719926352079854,-0.00571992635207991,0.005719926352079854,-0.00571992635207991,0.5028599319861116,0.4971400680138884,0.5028599319861116,0.4971400680138884
symmetric,42,124,24,0.005361081326204866,0.008400467015182288,-0.008400467015182341,0.008400467015182288,-0.008400467015182341,0.5042001347099027,0.49579986529009723,0.5042001347099027,0.49579986529009723
symmetric,42,129,25,0.0055512689313285445,0.005624832549518018,-0.005624832549518068,0.005624832549518018,-0.005624832549518068,0.5028123866146975,0.4971876133853025,0.5028123866146975,0.4971876133853025
symmetric,42,134,26,0.00529441588605214,0.0029776246064919477,-0.002977624606491998,0.0029776246064919477,-0.002977624606491998,0.5014888079032017,0.49851119209679823,0.5014888079032017,0.49851119209679823
symmetric,42,139,27,0.005057966202723866,0.000448641505130016,-0.0004486415051300637,0.000448641505130016,-0.0004486415051300637,0.5002243207375147,0.49977567926248534,0.5002243207375147,0.49977567926248534
symmetric,42,144,28,0.004817996664373725,0.0028576398373168785,-0.0028576398373169262,0.0028576398373168785,-0.0028576398373169262,0.5014288160293732,0.49857118397062694,0.5014288160293732,0.49857118397062694
symmetric,42,149,29,0.014118079998703318,-0.004201400162034781,0.004201400162034732,-0.004201400162034781,0.004201400162034732,0.4978993122792489,0.5021006877207511,0.4978993122792489,0.5021006877207511
symmetric,42,154,30,0.013547026369517204,-0.010974913346793382,0.010974913346793333,-0.010974913346793382,0.010974913346793333,0.4945127636350385,0.5054872363649614,0.4945127636350385,0.5054872363649614
symmetric,42,159,31,0.013015748269520412,-0.01748278748155359,0.01748278748155354,-0.01748278748155359,0.01748278748155354,0.4912594967464445,0.5087405032535556,0.4912594967464445,0.5087405032535556
symmetric,42,164,32,0.0039229748475059405,-0.01944427490530656,0.019444274905306508,-0.01944427490530656,0.019444274905306508,0.4902790876100926,0.5097209123899075,0.4902790876100926,0.5097209123899075
symmetric,42,169,33,0.0045915401364493465,-0.01714850483708189,0.017148504837081833,-0.01714850483708189,0.017148504837081833,0.49142658796289085,0.508573412037109,0.49142658796289085,0.508573412037109
symmetric,42,174,34,0.003727445243091618,-0.019012227458627698,0.019012227458627642,-0.019012227458627698,0.019012227458627642,0.49049503148024887,0.5095049685197511,0.49049503148024887,0.5095049685197511
symmetric,42,179,35,0.003597099778941191,-0.020810777348098292,0.020810777348098237,-0.020810777348098292,0.020810777348098237,0.4895961132170015,0.5104038867829985,0.4895961132170015,0.5104038867829985
symmetric,42,184,36,0.01123081250955269,-0.026426183602874638,0.026426183602874583,-0.026426183602874638,0.026426183602874583,0.48678998309714633,0.5132100169028536,0.48678998309714633,0.5132100169028536
symmetric,42,189,37,0.0032859758464493993,-0.028069171526099338,0.028069171526099283,-0.028069171526099338,0.028069171526099283,0.4859690989246663,0.5140309010753338,0.4859690989246663,0.5140309010753338
symmetric,42,194,38,0.004217590494912988,-0.025960376278642845,0.025960376278642786,-0.025960376278642845,0.025960376278642786,0.4870227270357342,0.5129772729642658,0.4870227270357342,0.5129772729642658
symmetric,42,199,39,0.0031461447240384785,-0.027533448640662084,0.027533448640662025,-0.027533448640662084,0.027533448640662025,0.48623675343408185,0.5137632465659182,0.48623675343408185,0.5137632465659182
symmetric,42,204,40,0.01012091846903621,-0.03259390787518019,0.03259390787518013,-0.03259390787518019,0.03259390787518013,0.4837088147037712,0.5162911852962287,0.4837088147037712,0.5162911852962287
symmetric,42,209,41,0.009816314588000655,-0.03750206516918052,0.037502065169180455,-0.03750206516918052,0.037502065169180455,0.48125775298766615,0.5187422470123338,0.48125775298766615,0.5187422470123338
symmetric,42,214,42,0.002752600590038247,-0.03887836546419964,0.03887836546419958,-0.03887836546419964,0.03887836546419958,0.4805706056349265,0.5194293943650735,0.4805706056349265,0.5194293943650735
