prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1
0,4,False,0.1,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.52497918747894,0.47502081252106,0.52497918747894,0.47502081252106
1,9,False,0.04020265799899128,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5349933618534406,0.4650066381465595,0.5349933618534406,0.4650066381465595
2,14,False,0.09859335003606412,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5594169230768642,0.44058307692313575,0.5594169230768642,0.44058307692313575
3,19,False,0.10321540707412243,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5338433235049491,0.46615667649505094,0.5338433235049491,0.46615667649505094
4,24,False,0.03144298063895423,5,4,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5260109027464458,0.47398909725355426,0.5260109027464458,0.47398909725355426
5,29,False,0.05462571771330147,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5396076741866396,0.46039232581336037,0.5396076741866396,0.46039232581336037
6,34,False,0.02422819475108001,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5335831473404018,0.4664168526595981,0.5335831473404018,0.4664168526595981
7,39,False,0.020557518195645823,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5284635989634384,0.4715364010365616,0.5284635989634384,0.4715364010365616
8,44,False,0.03758458844478798,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5378181872896991,0.46218181271030095,0.5378181872896991,0.46218181271030095
9,49,False,0.017350281818641004,5,4,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5335027081025914,0.46649729189740863,0.5335027081025914,0.46649729189740863
10,54,False,0.05390086195881136,5,4,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5468900074288593,0.45310999257114076,0.5468900074288593,0.45310999257114076
11,59,False,0.015693836773881746,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5429982698559435,0.4570017301440566,0.5429982698559435,0.4570017301440566
12,64,False,0.034099099669469675,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5345249364933021,0.46547506350669793,0.5345249364933021,0.46547506350669793
13,69,False,0.012510871503999302,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.531410826735717,0.46858917326428295,0.531410826735717,0.46858917326428295
14,74,False,0.011485476416549087,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5285497889420381,0.4714502110579619,0.5285497889420381,0.4714502110579619
15,79,False,0.0270952528494865,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.521793247552021,0.478206752447979,0.521793247552021,0.478206752447979
16,84,False,0.025128866405326484,5,4,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5155198603534803,0.48448013964651965,0.5155198603534803,0.48448013964651965
17,89,False,0.006266273819736122,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5170847621657009,0.48291523783429907,0.5170847621657009,0.48291523783429907
18,94,False,0.02240253328217871,5,4,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5114887601141095,0.48851123988589057,0.5114887601141095,0.48851123988589057
19,99,False,0.02101432206325365,5,3,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5062368786271539,0.49376312137284606,0.5062368786271539,0.49376312137284606
20,104,False,0.006859270609598285,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5045222611617347,0.4954777388382653,0.5045222611617347,0.4954777388382653
21,109,False,0.00591182694337104,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5060000531831738,0.4939999468168262,0.5060000531831738,0.4939999468168262
22,114,False,0.018203984185517736,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5014493411100246,0.4985506588899754,0.5014493411100246,0.4985506588899754
23,119,False,0.005642472026801034,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5028599319861116,0.4971400680138884,0.5028599319861116,0.4971400680138884
24,124,False,0.005361081326204866,5,4,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5042001347099027,0.49579986529009723,0.5042001347099027,0.49579986529009723
25,129,False,0.0055512689313285445,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5028123866146975,0.4971876133853025,0.5028123866146975,0.4971876133853025
26,134,False,0.00529441588605214,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5014888079032017,0.49851119209679823,0.5014888079032017,0.49851119209679823
27,139,False,0.005057966202723866,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5002243207375147,0.49977567926248534,0.5002243207375147,0.49977567926248534
28,144,False,0.004817996664373725,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5014288160293732,0.49857118397062694,0.5014288160293732,0.49857118397062694
29,149,False,0.014118079998703318,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.4978993122792489,0.5021006877207511,0.4978993122792489,0.5021006877207511
30,154,False,0.013547026369517204,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.4945127636350385,0.5054872363649614,0.4945127636350385,0.5054872363649614
