p_obs,run_id,num_rounds_executed,final_matched_cross_entropy,final_mce,final_belief_argmax_accuracy,em_conditional_mce,kmeans_mce,fcm_mce,n_observed_w_positive,stopped_on_convergence,convergence_round
1.0,p_obs_1p0/seed_0,2,4.6742906026992905,2.3371453013496453,0.5210526315789473,,0.5222655649365647,0.6940550687942056,18,False,
0.5,p_obs_0p5/seed_0,2,1.5373612853868972,0.7686806426934486,0.49473684210526314,,0.5964614840696756,0.693197183060112,5,False,
0.3,p_obs_0p3/seed_0,2,1.384811262529028,0.692405631264514,0.5026315789473684,,0.6117050006619389,0.6931471805599454,2,False,
0.2,p_obs_0p2/seed_0,2,1.5371386839028323,0.7685693419514161,0.5026315789473684,,0.5493061443340549,0.6932860887425306,1,False,
