prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_mean_b_snap_k2,batch_mean_b_snap_k3,batch_mean_b_snap_k4,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,batch_frac_argmax_k2,batch_frac_argmax_k3,batch_frac_argmax_k4,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1,softmax_k2_a0,softmax_k2_a1,softmax_k3_a0,softmax_k3_a1,softmax_k4_a0,softmax_k4_a1
76,538,False,0.008329877951016897,57,53,0.20039204334530483,0.20201850112527941,0.1968289739431255,0.1994522905869955,0.20130819099929478,0.0016264577799745827,1.6089852909170075,0.0,0.631578947368421,0.3508771929824561,0.0,0.017543859649122806,0.5158130632740191,0.4841869367259809,0.5177757573563158,0.48222424264368424,0.5114900121272418,0.48850998787275823,0.5146754599056585,0.4853245400943414,0.5169197031416048,0.48308029685839515
77,545,False,0.01955442142872788,63,59,0.20029809282610728,0.20139249719168592,0.19774416002728173,0.19964517932094666,0.20092007063397818,0.001094404365578644,1.6090658817481047,0.0,0.5079365079365079,0.47619047619047616,0.015873015873015872,0.0,0.512720337377627,0.487279662622373,0.514670788439244,0.485329211560756,0.5084259607019163,0.49157403929808385,0.5115900812718135,0.4884099187281865,0.5138200012257589,0.4861799987742411
78,552,False,0.0022755551581715027,69,67,0.2003287812472376,0.2016483605184621,0.1973892769633941,0.19955973691989673,0.20107384435100942,0.0013195792712245025,1.6088229187845828,0.0,0.5507246376811594,0.43478260869565216,0.014492753623188406,0.0,0.5125701924649094,0.4874298075350907,0.5147713511085512,0.48522864889144873,0.5077013162021184,0.4922986837978815,0.5112917099022364,0.4887082900977636,0.5138119902062128,0.48618800979378723
79,559,False,0.021908685693031633,65,64,0.20014463576574176,0.20079325990617994,0.19877670807385725,0.1997776418864117,0.20050775436780932,0.0006486241404381754,1.6090007747566148,0.015384615384615385,0.5384615384615384,0.4307692307692308,0.015384615384615385,0.0,0.5091157484661771,0.490884251533823,0.5113477102294945,0.48865228977050534,0.5041772686263213,0.49582273137367877,0.5078191755962848,0.49218082440371524,0.5103749807611113,0.4896250192388887
80,566,False,0.01790745858492917,66,64,0.20027754303150372,0.2014902761278525,0.19768889898957942,0.19958451783448872,0.20095876401657575,0.0012127330963487837,1.6089799758298684,0.0,0.5454545454545454,0.45454545454545453,0.0,0.0,0.5119505450289089,0.48804945497109115,0.5142048781906706,0.48579512180932943,0.5069662876226911,0.4930337123773089,0.5106413902601615,0.4893586097398385,0.5132222967718968,0.48677770322810326
81,573,False,0.007719865526147036,74,66,0.20030459757858954,0.20156238736203266,0.1975421361183408,0.1995780668629321,0.20101281207810484,0.001257789783443125,1.6089539894625597,0.0,0.527027027027027,0.44594594594594594,0.02702702702702703,0.0,0.5131859976724008,0.48681400232759914,0.5155650416438593,0.4844349583561407,0.5079651449697585,0.4920348550302415,0.5118092570465748,0.48819074295342524,0.5145268491629563,0.48547315083704373
82,580,False,0.007261140146960017,66,61,0.20016510171707563,0.2008936002965585,0.19861726609741492,0.19975016271289037,0.2005738691760605,0.0007284985794828724,1.6090243486603815,0.0,0.5303030303030303,0.4393939393939394,0.030303030303030304,0.0,0.5120203513919382,0.48797964860806164,0.5143341485928484,0.4856658514071517,0.5069675314682319,0.49303246853176813,0.5106843572146751,0.4893156427853249,0.5133236709519768,0.4866763290480231
83,587,False,0.0029831942493423686,62,55,0.2002619048237981,0.20108882502305714,0.1981633681566471,0.1997493361781846,0.20073656581831306,0.0008269201992590347,1.6089915135300894,0.0,0.5806451612903226,0.4032258064516129,0.016129032258064516,0.0,0.5115643616927419,0.48843563830725817,0.5139301809498161,0.4860698190501838,0.5063999884406238,0.4936000115593762,0.510198499094272,0.48980150090572794,0.512896954659466,0.487103045340534
84,594,False,0.0027159791971758966,75,66,0.20028473077217301,0.20156995757829024,0.1975837416600434,0.19955682309153558,0.20100474689795775,0.001285226806117229,1.6088427480785017,0.0,0.6266666666666667,0.37333333333333335,0.0,0.0,0.5119784541041733,0.4880215458958267,0.5145471739033484,0.4854528260966517,0.506356706781076,0.4936432932189239,0.5104934803469112,0.48950651965308883,0.5134258742666217,0.4865741257333784
85,601,False,0.0004517167067982587,76,69,0.20022949330145054,0.20092629597665873,0.1984207616925076,0.19979277566744746,0.20063067336193557,0.0006968026752081913,1.6089784754135286,0.0,0.5394736842105263,0.4473684210526316,0.013157894736842105,0.0,0.5120477473518362,0.4879522526481638,0.5146151474267053,0.4853848525732947,0.506436427935764,0.49356357206423596,0.5105644267966106,0.4894355732033894,0.5134942002789916,0.4865057997210083
86,608,False,0.028590464944955523,68,63,0.20000062971025717,0.2001882424592471,0.19979348186698348,0.19991825547212524,0.2000993904913869,0.0001876127489899293,1.608940268405061,0.0,0.5147058823529411,0.4852941176470588,0.0,0.0,0.5075355018842949,0.4924644981157051,0.5101221621149515,0.4898778378850485,0.501873235919533,0.498126764080467,0.5060400305786935,0.4939599694213065,0.508993060982368,0.4910069390176319
87,615,False,0.01786554420936496,69,60,0.20005738018824842,0.20043259471232164,0.19938682346208375,0.1998594003693478,0.20026380126799825,0.0003752145240732141,1.6089964878428604,0.0,0.5217391304347826,0.463768115942029,0.014492753623188406,0.0,0.5047408787530437,0.4952591212469562,0.5074462425533895,0.49255375744661045,0.49882683462247224,0.5011731653775278,0.5031778104956294,0.49682218950437057,0.5062650541372313,0.49373494586276867
88,622,False,0.012230963247722795,74,71,0.20035383636204582,0.20181241356133314,0.19714786409572682,0.19951045019639563,0.20117543578449865,0.0014585771992873253,1.6087958574124157,0.0,0.5540540540540541,0.43243243243243246,0.013513513513513514,0.0,0.5066670298004881,0.49333297019951194,0.5093606718602186,0.49063932813978134,0.5007993963913989,0.49920060360860113,0.5051133402015399,0.4948866597984601,0.5081839202360511,0.491816079763949
89,629,False,0.004492975263381368,82,76,0.20026408040088445,0.20159451207210444,0.19760927833827624,0.19952663972519932,0.2010054894635356,0.0013304316712199893,1.6087798518079912,0.0,0.5609756097560976,0.4268292682926829,0.0,0.012195121951219513,0.5059986212064612,0.4940013787935388,0.5087968169429312,0.49120318305706884,0.499876549053898,0.5001234509461021,0.5043812862533905,0.4956187137466095,0.5075752617502752,0.49242473824972477
