round,belief_accuracy
0,0.5184210526315789
1,0.5263157894736842
2,0.5394736842105263
3,0.5526315789473685
4,0.5605263157894737
5,0.5736842105263158
6,0.40789473684210525
7,0.42105263157894735
8,0.4368421052631579
9,0.4473684210526316
10,0.46578947368421053
11,0.4710526315789474
12,0.48947368421052634
13,0.5052631578947369
14,0.5157894736842106
15,0.5289473684210526
16,0.5394736842105263
17,0.5421052631578948
18,0.5552631578947368
19,0.5605263157894737
20,0.4263157894736842
21,0.4342105263157895
22,0.4421052631578947
23,0.45
24,0.45263157894736844
25,0.45263157894736844
26,0.45789473684210524
27,0.5421052631578948
28,0.55
29,0.5526315789473685
30,0.5552631578947368
31,0.5552631578947368
32,0.5578947368421052
33,0.5605263157894737
34,0.5710526315789474
35,0.5868421052631579
36,0.5868421052631579
37,0.5921052631578947
38,0.6
39,0.6052631578947368
40,0.618421052631579
41,0.6157894736842106
42,0.618421052631579
43,0.6236842105263158
44,0.6263157894736842
45,0.6289473684210526
46,0.6263157894736842
47,0.6289473684210526
48,0.6447368421052632
49,0.6473684210526316
50,0.6473684210526316
51,0.6526315789473685
52,0.6526315789473685
53,0.6526315789473685
54,0.6578947368421053
55,0.6578947368421053
56,0.6631578947368421
57,0.6631578947368421
58,0.6657894736842105
59,0.6684210526315789
60,0.6736842105263158
61,0.6763157894736842
62,0.6815789473684211
63,0.6868421052631579
64,0.6894736842105263
65,0.6921052631578948
66,0.6947368421052632
67,0.6921052631578948
68,0.6973684210526315
69,0.6973684210526315
70,0.6973684210526315
71,0.7026315789473684
72,0.7026315789473684
73,0.7052631578947368
74,0.718421052631579
75,0.7263157894736842
76,0.7236842105263158
77,0.7210526315789474
78,0.7210526315789474
79,0.7236842105263158
80,0.7289473684210527
81,0.7342105263157894
82,0.7394736842105263
83,0.7473684210526316
84,0.7578947368421053
85,0.7605263157894737
86,0.7631578947368421
87,0.7631578947368421
88,0.7631578947368421
89,0.7631578947368421
90,0.7710526315789473
91,0.7736842105263158
92,0.7763157894736842
93,0.7763157894736842
94,0.7842105263157895
95,0.7842105263157895
96,0.7842105263157895
97,0.7868421052631579
98,0.7868421052631579
99,0.7921052631578948
100,0.7921052631578948
101,0.7947368421052632
102,0.7947368421052632
103,0.7973684210526316
104,0.7973684210526316
105,0.8
106,0.8026315789473685
107,0.8026315789473685
108,0.8026315789473685
109,0.8105263157894737
110,0.8105263157894737
111,0.8105263157894737
112,0.8105263157894737
113,0.8131578947368421
114,0.8157894736842105
115,0.8236842105263158
116,0.8263157894736842
117,0.8263157894736842
118,0.8289473684210527
119,0.8315789473684211
120,0.8342105263157895
121,0.8342105263157895
122,0.8315789473684211
123,0.8342105263157895
124,0.8394736842105263
125,0.8421052631578947
126,0.8421052631578947
127,0.8394736842105263
128,0.8394736842105263
129,0.8447368421052631
130,0.8447368421052631
131,0.85
132,0.8552631578947368
133,0.8605263157894737
134,0.8657894736842106
135,0.8657894736842106
136,0.868421052631579
137,0.8710526315789474
138,0.8763157894736842
139,0.8763157894736842
140,0.8789473684210526
141,0.8842105263157894
142,0.8842105263157894
143,0.8894736842105263
144,0.8868421052631579
145,0.8868421052631579
146,0.8894736842105263
147,0.8947368421052632
148,0.8947368421052632
149,0.9052631578947369
150,0.9052631578947369
151,0.9052631578947369
152,0.9052631578947369
153,0.9105263157894737
154,0.9131578947368421
155,0.9131578947368421
156,0.9184210526315789
157,0.9210526315789473
158,0.9210526315789473
159,0.9210526315789473
160,0.9236842105263158
161,0.9236842105263158
162,0.9315789473684211
163,0.9315789473684211
164,0.9342105263157895
165,0.9368421052631579
166,0.9368421052631579
167,0.9368421052631579
168,0.9368421052631579
169,0.9394736842105263
170,0.9447368421052632
171,0.9473684210526315
172,0.9473684210526315
173,0.9473684210526315
174,0.9473684210526315
175,0.95
176,0.9526315789473684
177,0.9526315789473684
178,0.9552631578947368
179,0.9552631578947368
180,0.9552631578947368
181,0.9578947368421052
182,0.9552631578947368
183,0.9552631578947368
184,0.9578947368421052
185,0.9578947368421052
186,0.9605263157894737
187,0.9578947368421052
188,0.9605263157894737
189,0.9605263157894737
190,0.9605263157894737
191,0.9605263157894737
192,0.9631578947368421
193,0.9631578947368421
194,0.9631578947368421
195,0.9657894736842105
196,0.968421052631579
197,0.968421052631579
198,0.968421052631579
199,0.9657894736842105
200,0.9631578947368421
201,0.9605263157894737
202,0.9605263157894737
203,0.9657894736842105
204,0.968421052631579
205,0.968421052631579
206,0.968421052631579
207,0.968421052631579
208,0.968421052631579
209,0.968421052631579
210,0.9710526315789474
211,0.9710526315789474
212,0.9736842105263158
213,0.9736842105263158
214,0.9736842105263158
215,0.9736842105263158
216,0.9736842105263158
217,0.9736842105263158
218,0.9710526315789474
219,0.9710526315789474
220,0.9710526315789474
221,0.968421052631579
222,0.9710526315789474
223,0.9710526315789474
224,0.9710526315789474
225,0.9710526315789474
226,0.9710526315789474
227,0.9710526315789474
228,0.9736842105263158
229,0.9736842105263158
230,0.9763157894736842
231,0.9763157894736842
232,0.9763157894736842
233,0.9763157894736842
234,0.9763157894736842
235,0.9736842105263158
236,0.9710526315789474
237,0.9710526315789474
238,0.968421052631579
239,0.9657894736842105
240,0.9657894736842105
241,0.9657894736842105
242,0.9657894736842105
