condition,seed,round,prototype_update_idx,prototype_update_norm,theta_0_a0,theta_0_a1,theta_1_a0,theta_1_a1,p_0_cooperate,p_0_defect,p_1_cooperate,p_1_defect
symmetric,42,0,-1,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
symmetric,42,4,0,0.1,0.05,-0.05,0.05,-0.05,0.52497918747894,0.47502081252106,0.52497918747894,0.47502081252106
symmetric,42,9,1,0.10182294020249996,0.10091147010124998,-0.10091147010124998,0.10091147010124998,-0.10091147010124998,0.5502851641127436,0.44971483588725636,0.5502851641127436,0.44971483588725636
symmetric,42,14,2,0.1228372047986567,0.03949286770192163,-0.03949286770192163,0.03949286770192163,-0.03949286770192163,0.5197361741689148,0.4802638258310852,0.5197361741689148,0.4802638258310852
symmetric,42,19,3,0.002267091080176743,0.03835932216183326,-0.03835932216183326,0.03835932216183326,-0.03835932216183326,0.5191702593896764,0.4808297406103236,0.5191702593896764,0.4808297406103236
symmetric,42,24,4,0.048786177709362756,0.013966233307151885,-0.013966233307151885,0.013966233307151885,-0.013966233307151885,0.5069826626568253,0.49301733734317454,0.5069826626568253,0.49301733734317454
symmetric,42,29,5,0.04098809048453032,-0.006527811935113273,0.00652781193511328,-0.006527811935113273,0.00652781193511328,0.49673614039253106,0.5032638596074689,0.49673614039253106,0.5032638596074689
symmetric,42,34,6,0.0344824022588919,-0.023769013064559225,0.023769013064559235,-0.023769013064559225,0.023769013064559235,0.4881177310760208,0.5118822689239791,0.4881177310760208,0.5118822689239791
symmetric,42,39,7,0.06009434176688393,-0.05381618394800119,0.053816183948001195,-0.05381618394800119,0.053816183948001195,0.47311785487514474,0.5268821451248552,0.47311785487514474,0.5268821451248552
symmetric,42,44,8,0.0014883519957896276,-0.05307200795010637,0.05307200795010638,-0.05307200795010637,0.05307200795010638,0.47348888209327206,0.5265111179067279,0.47348888209327206,0.5265111179067279
symmetric,42,49,9,0.014591785319612742,-0.0457761152903,0.04577611529030001,-0.0457761152903,0.04577611529030001,0.47712791591388226,0.5228720840861177,0.47712791591388226,0.5228720840861177
symmetric,42,54,10,0.0010570908499998573,-0.04524756986530007,0.04524756986530008,-0.04524756986530007,0.04524756986530008,0.4773916419798646,0.5226083580201354,0.4773916419798646,0.5226083580201354
symmetric,42,59,11,0.011167172513632778,-0.03966398360848368,0.039663983608483694,-0.03966398360848368,0.039663983608483694,0.48017840176058396,0.519821598239416,0.48017840176058396,0.519821598239416
symmetric,42,64,12,0.008759142650557276,-0.044043554933762316,0.04404355493376233,-0.044043554933762316,0.04404355493376233,0.4779924510291062,0.5220075489708937,0.4779924510291062,0.5220075489708937
symmetric,42,69,13,0.000818684251321784,-0.043634212808101425,0.04363421280810144,-0.043634212808101425,0.04363421280810144,0.47819672924590123,0.5218032707540987,0.47819672924590123,0.5218032707540987
symmetric,42,74,14,0.0007622536385178124,-0.04325308598884252,0.04325308598884253,-0.04325308598884252,0.04325308598884253,0.47838693344531474,0.5216130665546853,0.47838693344531474,0.5216130665546853
symmetric,42,79,15,0.007177476481269278,-0.04684182422947716,0.04684182422947717,-0.04684182422947716,0.04684182422947717,0.4765962025799861,0.5234037974200139,0.4765962025799861,0.5234037974200139
symmetric,42,84,16,0.01488697776603569,-0.054285313112495,0.054285313112495015,-0.054285313112495,0.054285313112495015,0.4728839742412104,0.5271160257587896,0.4728839742412104,0.5271160257587896
symmetric,42,89,17,0.006210661094837231,-0.057390643659913615,0.05739064365991363,-0.057390643659913615,0.05739064365991363,0.4713361411787164,0.5286638588212835,0.4713361411787164,0.5286638588212835
symmetric,42,94,18,0.00666012678611906,-0.060720707052973145,0.06072070705297316,-0.060720707052973145,0.06072070705297316,0.46967690444400606,0.530323095555994,0.46967690444400606,0.530323095555994
symmetric,42,99,19,0.0055189812567057435,-0.06348019768132601,0.06348019768132603,-0.06348019768132601,0.06348019768132603,0.46830246728289826,0.5316975327171019,0.46830246728289826,0.5316975327171019
symmetric,42,104,20,0.024189064225122372,-0.0755747297938872,0.07557472979388721,-0.0755747297938872,0.07557472979388721,0.4622844124697742,0.5377155875302259,0.4622844124697742,0.5377155875302259
symmetric,42,109,21,0.011449560822837419,-0.0812995102053059,0.08129951020530592,-0.0812995102053059,0.08129951020530592,0.45943956842809824,0.5405604315719017,0.45943956842809824,0.5405604315719017
symmetric,42,114,22,0.0009651782046595721,-0.08081692110297611,0.08081692110297613,-0.08081692110297611,0.08081692110297613,0.4596792844834875,0.5403207155165124,0.4596792844834875,0.5403207155165124
symmetric,42,119,23,0.013297741766955659,-0.07416805021949828,0.0741680502194983,-0.07416805021949828,0.0741680502194983,0.4629838241020156,0.5370161758979844,0.4629838241020156,0.5370161758979844
symmetric,42,124,24,0.011854994345134755,-0.0682405530469309,0.06824055304693091,-0.0682405530469309,0.06824055304693091,0.46593258846834334,0.5340674115316567,0.46593258846834334,0.5340674115316567
symmetric,42,129,25,0.0056904951939356465,-0.06539530544996308,0.0653953054499631,-0.06539530544996308,0.0653953054499631,0.46734887868420466,0.5326511213157953,0.46734887868420466,0.5326511213157953
symmetric,42,134,26,0.009626619550841509,-0.07020861522538384,0.07020861522538385,-0.07020861522538384,0.07020861522538385,0.46495325818618705,0.535046741813813,0.46495325818618705,0.535046741813813
symmetric,42,139,27,0.0013973184966675552,-0.06950995597705006,0.06950995597705008,-0.06950995597705006,0.06950995597705008,0.4653008884876198,0.5346991115123801,0.4653008884876198,0.5346991115123801
symmetric,42,144,28,0.0006702242661102593,-0.06917484384399493,0.06917484384399494,-0.06917484384399493,0.06917484384399494,0.4654676414569331,0.5345323585430669,0.4654676414569331,0.5345323585430669
symmetric,42,149,29,0.008073519816166412,-0.07321160375207814,0.07321160375207815,-0.07321160375207814,0.07321160375207815,0.46345945982880316,0.5365405401711969,0.46345945982880316,0.5365405401711969
symmetric,42,154,30,0.0006646751312961506,-0.07287926618643006,0.07287926618643008,-0.07287926618643006,0.07287926618643008,0.4636247451383263,0.5363752548616737,0.4636247451383263,0.5363752548616737
symmetric,42,159,31,0.0034548727806629816,-0.07460670257676155,0.07460670257676157,-0.07460670257676155,0.07460670257676157,0.4627657071011386,0.5372342928988614,0.4627657071011386,0.5372342928988614
symmetric,42,164,32,0.003338348105215935,-0.07627587662936952,0.07627587662936954,-0.07627587662936952,0.07627587662936954,0.46193585225834644,0.5380641477416537,0.46193585225834644,0.5380641477416537
symmetric,42,169,33,0.00386616727825211,-0.07820896026849558,0.0782089602684956,-0.07820896026849558,0.0782089602684956,0.4609750546387113,0.5390249453612888,0.4609750546387113,0.5390249453612888
symmetric,42,174,34,0.0006364159494080127,-0.07789075229379157,0.07789075229379158,-0.07789075229379157,0.07789075229379158,0.4611331933209196,0.5388668066790804,0.4611331933209196,0.5388668066790804
symmetric,42,179,35,0.004283898551064928,-0.0757488030182591,0.07574880301825912,-0.0757488030182591,0.07574880301825912,0.4621978722211104,0.5378021277788896,0.4621978722211104,0.5378021277788896
symmetric,42,184,36,0.0005864009773207661,-0.07545560252959872,0.07545560252959874,-0.07545560252959872,0.07545560252959874,0.4623436377249738,0.5376563622750262,0.4623436377249738,0.5376563622750262
symmetric,42,189,37,0.008142533306628442,-0.0713843358762845,0.07138433587628451,-0.0713843358762845,0.07138433587628451,0.46436833454849535,0.5356316654515046,0.46436833454849535,0.5356316654515046
symmetric,42,194,38,0.004489370063548031,-0.06913965084451049,0.0691396508445105,-0.06913965084451049,0.0691396508445105,0.46548515406507157,0.5345148459349285,0.46548515406507157,0.5345148459349285
symmetric,42,199,39,0.004863133887648038,-0.06670808390068647,0.06670808390068649,-0.06670808390068647,0.06670808390068649,0.46669534495498943,0.5333046550450106,0.46669534495498943,0.5333046550450106
symmetric,42,204,40,0.0,-0.06670808390068647,0.06670808390068649,-0.06670808390068647,0.06670808390068649,0.46669534495498943,0.5333046550450106,0.46669534495498943,0.5333046550450106
symmetric,42,209,41,0.0032295283652832973,-0.06832284808332811,0.06832284808332813,-0.06832284808332811,0.06832284808332813,0.46589163220123586,0.5341083677987642,0.46589163220123586,0.5341083677987642
symmetric,42,214,42,0.012625636663968858,-0.07463566641531254,0.07463566641531255,-0.07463566641531254,0.07463566641531255,0.46275130552343086,0.5372486944765691,0.46275130552343086,0.5372486944765691
symmetric,42,219,43,0.0009887662499057136,-0.07414128329035968,0.0741412832903597,-0.07414128329035968,0.0741412832903597,0.4629971342410104,0.5370028657589896,0.4629971342410104,0.5370028657589896
