round,i,j,b_0,b_1
2,4,2,0.5,0.5
2,4,3,0.5,0.5
2,4,5,0.5,0.5
2,5,0,0.5,0.5
2,5,1,0.5,0.5
2,5,2,0.5,0.5
2,5,3,0.5,0.5
2,5,4,0.5,0.5
3,0,1,0.5,0.5
3,0,2,0.5,0.5
3,0,3,0.5,0.5
3,0,4,0.5,0.5
3,0,5,0.5,0.5
3,1,0,0.5,0.5
3,1,2,0.5,0.5
3,1,3,0.5,0.5
3,1,4,0.5,0.5
3,1,5,0.5,0.5
3,2,0,0.5,0.5
3,2,1,0.5,0.5
3,2,3,0.5,0.5
3,2,4,0.5,0.5
3,2,5,0.5,0.5
3,3,0,0.5,0.5
3,3,1,0.5,0.5
3,3,2,0.5,0.5
3,3,4,0.5,0.5
3,3,5,0.5,0.5
3,4,0,0.5,0.5
3,4,1,0.5,0.5
3,4,2,0.5,0.5
3,4,3,0.5,0.5
3,4,5,0.5,0.5
3,5,0,0.5,0.5
3,5,1,0.5,0.5
3,5,2,0.5,0.5
3,5,3,0.5,0.5
3,5,4,0.5,0.5
4,0,1,0.5,0.5
4,0,2,0.5,0.5
4,0,3,0.5,0.5
4,0,4,0.5,0.5
4,0,5,0.5,0.5
4,1,0,0.5,0.5
4,1,2,0.5,0.5
4,1,3,0.5,0.5
4,1,4,0.5,0.5
4,1,5,0.5,0.5
4,2,0,0.5,0.5
4,2,1,0.5,0.5
4,2,3,0.5,0.5
4,2,4,0.5,0.5
4,2,5,0.5,0.5
4,3,0,0.5,0.5
4,3,1,0.5,0.5
4,3,2,0.5,0.5
4,3,4,0.5,0.5
4,3,5,0.5,0.5
4,4,0,0.5,0.5
4,4,1,0.5,0.5
4,4,2,0.5,0.5
4,4,3,0.5,0.5
4,4,5,0.5,0.5
4,5,0,0.5,0.5
4,5,1,0.5,0.5
4,5,2,0.5,0.5
4,5,3,0.5,0.5
4,5,4,0.5,0.5
5,0,1,0.5,0.5
5,0,2,0.5,0.5
5,0,3,0.5,0.5
5,0,4,0.5,0.5
5,0,5,0.5,0.5
5,1,0,0.5,0.5
5,1,2,0.5,0.5
5,1,3,0.5,0.5
5,1,4,0.5,0.5
5,1,5,0.5,0.5
5,2,0,0.5,0.5
5,2,1,0.5,0.5
5,2,3,0.5,0.5
5,2,4,0.5,0.5
5,2,5,0.5,0.5
5,3,0,0.5,0.5
5,3,1,0.5,0.5
5,3,2,0.5,0.5
5,3,4,0.5,0.5
5,3,5,0.5,0.5
5,4,0,0.5,0.5
5,4,1,0.5,0.5
5,4,2,0.5,0.5
5,4,3,0.5,0.5
5,4,5,0.5,0.5
5,5,0,0.5,0.5
5,5,1,0.5,0.5
5,5,2,0.5,0.5
5,5,3,0.5,0.5
5,5,4,0.5,0.5
6,0,1,0.5,0.5
6,0,2,0.5,0.5
6,0,3,0.5,0.5
6,0,4,0.5,0.5
6,0,5,0.5,0.5
6,1,0,0.5,0.5
6,1,2,0.5,0.5
6,1,3,0.5,0.5
6,1,4,0.5,0.5
6,1,5,0.5,0.5
6,2,0,0.5,0.5
6,2,1,0.5,0.5
6,2,3,0.5,0.5
6,2,4,0.5,0.5
6,2,5,0.5,0.5
6,3,0,0.5,0.5
6,3,1,0.5,0.5
6,3,2,0.5,0.5
6,3,4,0.5,0.5
6,3,5,0.5,0.5
6,4,0,0.5,0.5
6,4,1,0.5,0.5
6,4,2,0.5,0.5
6,4,3,0.5,0.5
6,4,5,0.5,0.5
6,5,0,0.5,0.5
6,5,1,0.5,0.5
6,5,2,0.5,0.5
6,5,3,0.5,0.5
6,5,4,0.5,0.5
7,0,1,0.5,0.5
7,0,2,0.5,0.5
7,0,3,0.5,0.5
7,0,4,0.5,0.5
7,0,5,0.5,0.5
7,1,0,0.5,0.5
7,1,2,0.5,0.5
7,1,3,0.5,0.5
7,1,4,0.5,0.5
