condition,seed,round,prototype_update_idx,prototype_update_norm,theta_0_a0,theta_0_a1,theta_1_a0,theta_1_a1,p_0_cooperate,p_0_defect,p_1_cooperate,p_1_defect
symmetric,42,0,-1,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
symmetric,42,4,0,0.1,0.05,-0.05,0.05,-0.05,0.52497918747894,0.47502081252106,0.52497918747894,0.47502081252106
symmetric,42,9,1,0.04020265799899128,0.07010132899949564,-0.07010132899949564,0.07010132899949564,-0.07010132899949564,0.5349933618534406,0.4650066381465595,0.5349933618534406,0.4650066381465595
symmetric,42,14,2,0.09859335003606412,0.11939800401752769,-0.1193980040175277,0.11939800401752769,-0.1193980040175277,0.5594169230768642,0.44058307692313575,0.5594169230768642,0.44058307692313575
symmetric,42,19,3,0.10321540707412243,0.06779030048046647,-0.0677903004804665,0.06779030048046647,-0.0677903004804665,0.5338433235049491,0.46615667649505094,0.5338433235049491,0.46615667649505094
symmetric,42,24,4,0.03144298063895423,0.052068810160989354,-0.05206881016098938,0.052068810160989354,-0.05206881016098938,0.5260109027464458,0.47398909725355426,0.5260109027464458,0.47398909725355426
symmetric,42,29,5,0.05462571771330147,0.07938166901764009,-0.07938166901764013,0.07938166901764009,-0.07938166901764013,0.5396076741866396,0.46039232581336037,0.5396076741866396,0.46039232581336037
symmetric,42,34,6,0.02422819475108001,0.06726757164210008,-0.06726757164210012,0.06726757164210008,-0.06726757164210012,0.5335831473404018,0.4664168526595981,0.5335831473404018,0.4664168526595981
symmetric,42,39,7,0.020557518195645823,0.05698881254427717,-0.056988812544277206,0.05698881254427717,-0.056988812544277206,0.5284635989634384,0.4715364010365616,0.5284635989634384,0.4715364010365616
symmetric,42,44,8,0.03758458844478798,0.07578110676667116,-0.0757811067666712,0.07578110676667116,-0.0757811067666712,0.5378181872896991,0.46218181271030095,0.5378181872896991,0.46218181271030095
symmetric,42,49,9,0.017350281818641004,0.06710596585735065,-0.06710596585735071,0.06710596585735065,-0.06710596585735071,0.5335027081025914,0.46649729189740863,0.5335027081025914,0.46649729189740863
