round,i,j,r_i,r_j
0,9,2,3.0,3.0
0,6,0,3.0,3.0
0,0,15,0.0,5.0
0,1,5,3.0,3.0
0,18,11,3.0,3.0
0,3,12,3.0,3.0
1,15,1,5.0,0.0
1,8,14,1.0,1.0
1,14,8,5.0,0.0
1,7,8,0.0,5.0
1,5,2,3.0,3.0
1,1,16,0.0,5.0
1,14,4,3.0,3.0
1,19,13,5.0,0.0
1,16,0,5.0,0.0
1,16,18,1.0,1.0
1,8,11,5.0,0.0
2,8,6,3.0,3.0
2,13,2,5.0,0.0
2,1,4,3.0,3.0
2,1,5,0.0,5.0
2,16,6,1.0,1.0
2,16,8,5.0,0.0
2,10,11,3.0,3.0
2,11,6,5.0,0.0
3,1,3,3.0,3.0
3,7,0,3.0,3.0
3,3,2,0.0,5.0
3,12,4,3.0,3.0
3,5,0,3.0,3.0
3,2,0,3.0,3.0
3,5,4,3.0,3.0
3,17,10,0.0,5.0
3,17,16,1.0,1.0
3,6,19,0.0,5.0
3,10,11,5.0,0.0
4,1,18,0.0,5.0
4,18,4,5.0,0.0
4,13,8,3.0,3.0
4,3,1,3.0,3.0
4,7,19,0.0,5.0
4,19,12,3.0,3.0
4,17,10,5.0,0.0
4,14,9,5.0,0.0
4,6,16,1.0,1.0
4,1,11,3.0,3.0
4,17,4,0.0,5.0
4,19,0,5.0,0.0
4,15,3,5.0,0.0
4,17,6,3.0,3.0
5,10,1,5.0,0.0
5,2,11,0.0,5.0
5,6,12,0.0,5.0
5,17,1,5.0,0.0
5,17,19,1.0,1.0
5,9,5,5.0,0.0
6,0,16,3.0,3.0
6,0,5,0.0,5.0
6,8,11,1.0,1.0
6,9,15,3.0,3.0
6,15,8,5.0,0.0
6,4,7,3.0,3.0
6,15,4,5.0,0.0
6,4,15,0.0,5.0
6,2,6,3.0,3.0
6,2,9,3.0,3.0
6,13,9,5.0,0.0
6,13,15,5.0,0.0
6,0,18,0.0,5.0
6,6,4,5.0,0.0
6,8,0,5.0,0.0
7,13,3,5.0,0.0
7,12,11,3.0,3.0
7,18,7,5.0,0.0
7,15,11,3.0,3.0
7,15,5,5.0,0.0
7,4,1,3.0,3.0
8,4,18,0.0,5.0
8,0,17,0.0,5.0
8,16,9,5.0,0.0
8,7,16,0.0,5.0
8,19,17,1.0,1.0
8,1,4,3.0,3.0
8,10,6,0.0,5.0
9,0,4,0.0,5.0
9,13,5,1.0,1.0
9,6,9,3.0,3.0
9,5,13,3.0,3.0
9,4,15,3.0,3.0
9,1,18,0.0,5.0
9,3,17,0.0,5.0
9,9,6,0.0,5.0
9,17,1,5.0,0.0
9,15,5,0.0,5.0
9,11,6,5.0,0.0
10,1,17,0.0,5.0
10,17,12,3.0,3.0
10,17,15,1.0,1.0
10,13,17,0.0,5.0
10,8,0,5.0,0.0
10,14,11,0.0,5.0
10,18,1,5.0,0.0
11,14,18,0.0,5.0
11,13,7,5.0,0.0
11,11,7,0.0,5.0
11,13,14,3.0,3.0
11,17,14,1.0,1.0
11,10,8,3.0,3.0
11,18,9,5.0,0.0
11,3,8,5.0,0.0
11,4,0,5.0,0.0
11,5,10,5.0,0.0
11,6,15,0.0,5.0
11,12,15,0.0,5.0
12,2,6,3.0,3.0
12,0,19,0.0,5.0
12,19,9,5.0,0.0
12,14,2,3.0,3.0
12,9,17,0.0,5.0
13,14,9,0.0,5.0
13,18,1,5.0,0.0
13,0,9,0.0,5.0
13,17,3,5.0,0.0
13,11,6,3.0,3.0
13,19,0,5.0,0.0
13,6,14,3.0,3.0
13,4,2,3.0,3.0
13,5,6,0.0,5.0
13,6,17,1.0,1.0
13,15,0,3.0,3.0
13,18,19,5.0,0.0
14,19,9,1.0,1.0
14,19,4,5.0,0.0
14,1,16,0.0,5.0
14,18,7,3.0,3.0
14,19,0,3.0,3.0
14,10,17,5.0,0.0
14,5,9,0.0,5.0
14,2,4,3.0,3.0
14,2,16,0.0,5.0
14,13,2,5.0,0.0
14,0,10,0.0,5.0
14,1,7,3.0,3.0
14,13,8,3.0,3.0
14,3,11,0.0,5.0
14,9,6,5.0,0.0
15,15,7,3.0,3.0
15,12,17,1.0,1.0
15,16,2,5.0,0.0
15,1,9,0.0,5.0
15,9,11,0.0,5.0
15,16,7,5.0,0.0
15,0,6,0.0,5.0
15,15,1,3.0,3.0
16,3,16,0.0,5.0
16,12,15,3.0,3.0
16,19,7,5.0,0.0
16,4,7,5.0,0.0
16,11,6,5.0,0.0
16,8,3,3.0,3.0
16,0,4,3.0,3.0
16,13,8,0.0,5.0
16,0,1,3.0,3.0
17,17,11,1.0,1.0
17,19,3,5.0,0.0
17,19,11,3.0,3.0
17,17,15,0.0,5.0
17,15,9,0.0,5.0
17,12,13,5.0,0.0
17,15,11,3.0,3.0
17,2,5,3.0,3.0
17,6,5,3.0,3.0
17,1,5,3.0,3.0
17,8,3,3.0,3.0
17,0,18,0.0,5.0
17,0,3,3.0,3.0
17,14,16,3.0,3.0
18,8,12,3.0,3.0
18,13,12,0.0,5.0
18,11,19,1.0,1.0
18,19,4,5.0,0.0
18,4,19,0.0,5.0
18,9,3,3.0,3.0
18,15,1,5.0,0.0
19,1,6,3.0,3.0
19,15,17,5.0,0.0
19,1,18,3.0,3.0
19,7,1,3.0,3.0
19,5,15,3.0,3.0
19,4,17,0.0,5.0
19,9,19,5.0,0.0
19,8,1,5.0,0.0
19,13,1,5.0,0.0
19,3,15,3.0,3.0
19,2,4,0.0,5.0
19,6,17,3.0,3.0
20,5,13,5.0,0.0
20,9,14,0.0,5.0
20,6,5,3.0,3.0
20,2,17,0.0,5.0
20,13,8,3.0,3.0
20,6,2,3.0,3.0
20,7,0,3.0,3.0
20,7,11,3.0,3.0
20,8,1,5.0,0.0
20,11,10,3.0,3.0
21,16,15,5.0,0.0
21,9,10,3.0,3.0
21,16,8,3.0,3.0
21,0,16,0.0,5.0
21,18,12,5.0,0.0
21,13,5,3.0,3.0
21,6,17,0.0,5.0
22,19,14,1.0,1.0
22,4,18,0.0,5.0
22,16,6,1.0,1.0
22,11,2,3.0,3.0
22,5,4,5.0,0.0
22,9,14,1.0,1.0
22,16,8,5.0,0.0
22,4,19,3.0,3.0
22,3,6,3.0,3.0
22,15,16,0.0,5.0
22,19,4,5.0,0.0
22,15,1,5.0,0.0
22,17,6,5.0,0.0
22,14,5,3.0,3.0
22,13,16,1.0,1.0
23,11,10,1.0,1.0
23,0,19,0.0,5.0
23,16,19,1.0,1.0
23,16,4,5.0,0.0
23,18,9,5.0,0.0
23,5,6,3.0,3.0
23,7,19,1.0,1.0
23,3,0,3.0,3.0
23,8,9,1.0,1.0
23,4,18,1.0,1.0
23,2,1,3.0,3.0
23,15,17,1.0,1.0
24,7,15,1.0,1.0
24,18,7,1.0,1.0
24,18,3,5.0,0.0
24,16,18,1.0,1.0
24,2,8,0.0,5.0
24,0,7,3.0,3.0
24,15,11,5.0,0.0
24,11,0,5.0,0.0
