round,mce
0,0.6853695516986369
1,0.6853695516986369
2,0.6853695516986369
3,0.6853695516986369
4,0.6853695516986369
5,0.6853695516986369
6,1.0739404106755694
7,1.0739404106755694
8,1.0739404106755694
9,1.0739404106755694
10,1.0739404106755694
11,1.0739404106755694
12,1.0739404106755694
13,1.4754250626065957
14,1.4754250626065957
15,1.4754250626065957
16,1.4754250626065957
17,1.4754250626065957
18,1.4754250626065957
19,1.4754250626065957
20,1.0075033383463978
21,1.0075033383463978
22,1.0075033383463978
23,1.0075033383463978
24,1.0075033383463978
25,1.0075033383463978
26,1.0075033383463978
27,0.7092210826435288
28,0.7092210826435288
29,0.7092210826435288
30,0.7092210826435288
31,0.7092210826435288
32,0.7092210826435288
33,0.7092210826435288
34,0.7080497143476949
35,0.7080497143476949
36,0.7080497143476949
37,0.7080497143476949
38,0.7080497143476949
39,0.7080497143476949
40,0.7080497143476949
41,0.6990590069904126
42,0.6990590069904126
43,0.6990590069904126
44,0.6990590069904126
45,0.6990590069904126
46,0.6990590069904126
47,0.6990590069904126
48,0.6943905150832628
49,0.6943905150832628
