belief_updates_enabled,belief_variant,experiment,final_mce,focal_mean_payoff_per_round,mean_payoff_per_agent_per_round,metrics_num_true_types,num_prototypes,observability,p_obs,payoff_game,run_dir,seed
True,,k_misspec,0.028544701718535917,1.2175,1.966966966966967,2,3,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_3/seed_8,8
True,,k_misspec,0.032410820509837006,1.207,1.9631051752921536,2,3,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_3/seed_9,9
True,,k_misspec,0.04057067767419034,1.235,1.9883060474440362,2,5,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_5/seed_0,0
True,,k_misspec,0.04188731533147712,1.254,1.9950215731828742,2,5,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_5/seed_1,1
True,,k_misspec,0.03537254315778125,1.24,1.9433899433899433,2,5,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_5/seed_2,2
True,,k_misspec,0.028630455713630158,1.331,1.981921660528959,2,5,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_5/seed_3,3
True,,k_misspec,0.038914522608011856,1.2755,1.9591257924591259,2,5,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_5/seed_4,4
True,,k_misspec,0.04765144110324787,1.2995,1.9859318106587223,2,5,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_5/seed_5,5
True,,k_misspec,0.050011091280990946,1.23,1.9564705882352942,2,5,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_5/seed_6,6
True,,k_misspec,0.03507678578704577,1.2855,1.9545607539548973,2,5,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_5/seed_7,7
True,,k_misspec,0.04211642773589109,1.2185,1.9659773182121414,2,5,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_5/seed_8,8
True,,k_misspec,0.03284677203310801,1.207,1.9642737896494158,2,5,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_5/seed_9,9
True,,p_obs,0.03139995174459945,1.247,1.9898299433144382,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_1p0/seed_0,0
True,,p_obs,0.02983589983006553,1.264,1.999003984063745,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_1p0/seed_1,1
True,,p_obs,0.032668629439696555,1.2365,1.944055944055944,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_1p0/seed_2,2
