p_obs,focal_mean_payoff_per_round_mean,focal_mean_payoff_per_round_std,focal_mean_payoff_per_round_ci95_low,focal_mean_payoff_per_round_ci95_high,focal_mean_payoff_per_round_n
0.25,1.2659500000000001,0.03520925541198884,1.2407628159863267,1.2911371840136736,10
0.5,1.2697,0.03503189023351918,1.2446396953916266,1.2947603046083735,10
0.75,1.2713,0.03492309010128143,1.2463175263175954,1.2962824736824048,10
1.0,1.2592,0.03944067274612172,1.230985842374236,1.2874141576257643,10
