belief_variant,focal_mean_payoff_per_round_mean,focal_mean_payoff_per_round_std,focal_mean_payoff_per_round_ci95_low,focal_mean_payoff_per_round_ci95_high,focal_mean_payoff_per_round_n
bayes_on,1.2592,0.03944067274612172,1.230985842374236,1.2874141576257643,10
uniform_beliefs,1.2570000000000001,0.0433288459214977,1.226004410841552,1.2879955891584483,10
