prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_mean_b_snap_k2,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,batch_frac_argmax_k2,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1,softmax_k2_a0,softmax_k2_a1
584,4094,False,0.002015464917059652,66,58,0.3042337882875395,0.39374860048758653,0.3020176112248736,0.08951481220004703,0.27752853580043707,0.2878787878787879,0.3939393939393939,0.3181818181818182,0.11548661857688085,0.8845133814231192,0.8982268847057027,0.10177311529429739,0.5295715227973214,0.47042847720267855
585,4101,False,0.003069150007668302,67,60,0.32717898643621707,0.3341599421113334,0.33866107145244934,0.006980955675116307,0.28161700821102814,0.31343283582089554,0.3283582089552239,0.3582089552238806,0.115198671261924,0.884801328738076,0.8982684288883657,0.10173157111163432,0.5287577002270629,0.47124229977293697
586,4108,False,0.007061131856945178,75,73,0.361286721217338,0.3083311211182487,0.3303821576644131,0.05295560009908934,0.2683000598400762,0.36,0.29333333333333333,0.3466666666666667,0.11547100713424595,0.884528992865754,0.8983792117817054,0.10162078821829454,0.5263784880163401,0.47362151198365987
587,4115,False,0.005559652111365369,81,72,0.3277288825449259,0.4017531009399448,0.2705180165151292,0.07402421839501894,0.26727620035782357,0.32098765432098764,0.3950617283950617,0.2839506172839506,0.11526309270181412,0.884736907298186,0.8983253539893208,0.10167464601067921,0.5244906173910946,0.47550938260890546
588,4122,False,0.0009401663985294805,72,71,0.2880577152135173,0.4286917029775849,0.28325058180889734,0.1406339877640676,0.28164686943314277,0.2777777777777778,0.4305555555555556,0.2916666666666667,0.11514360779181708,0.8848563922081828,0.8983413661295157,0.10165863387048427,0.5243403491649445,0.4756596508350554
589,4129,False,0.005131886272401772,54,50,0.2849171133830231,0.43370286601401786,0.28138002060295875,0.14878575263099475,0.305755200089393,0.25925925925925924,0.4444444444444444,0.2962962962962963,0.1152196944537798,0.8847803055462202,0.8976846630360882,0.1023153369639119,0.5241315871361583,0.4758684128638417
590,4136,False,0.0044408155421076755,88,78,0.2910102622743559,0.39394315079205905,0.31504658693358484,0.10293288851770316,0.2845821730241701,0.2727272727272727,0.3977272727272727,0.32954545454545453,0.11531031713842575,0.8846896828615741,0.8978971615509447,0.10210283844905525,0.5226923283225774,0.47730767167742266
591,4143,False,0.002446045390072863,78,71,0.3039021178817893,0.3928750331580586,0.30322284896015195,0.08897291527626933,0.3029013590718594,0.28205128205128205,0.3974358974358974,0.32051282051282054,0.11548943568872001,0.8845105643112801,0.8977413155653176,0.10225868443468251,0.5233034891698659,0.4766965108301341
592,4150,False,0.0024247580676323437,84,79,0.28727026373099873,0.3746192770033848,0.338110459265616,0.08734901327238609,0.28926976827740897,0.27380952380952384,0.38095238095238093,0.34523809523809523,0.11552439320935194,0.8844756067906481,0.8979544735460424,0.10204552645395765,0.522680286845721,0.47731971315427907
593,4157,False,0.009106153930262765,73,68,0.3197704672577611,0.2699268441945412,0.41030268854769747,0.04984362306321988,0.28441316079794454,0.3150684931506849,0.2602739726027397,0.4246575342465753,0.11534053727787985,0.8846594627221201,0.8978677341835258,0.10213226581647418,0.5195068587146403,0.48049314128535975
594,4164,False,0.004424483866754482,71,66,0.21288772192571148,0.37308295304461403,0.4140293250296741,0.16019523111890255,0.29061588921709824,0.18309859154929578,0.36619718309859156,0.4507042253521127,0.11570224099995802,0.8842977590000419,0.8976218720733851,0.10237812792661495,0.5184059638008832,0.48159403619911684
595,4171,False,0.0033648868992604136,73,64,0.329371185905243,0.3306207787253632,0.34000803536939334,0.0012495928201202156,0.28791118809622845,0.3150684931506849,0.3287671232876712,0.3561643835616438,0.11585747005041065,0.8841425299495894,0.897663647274622,0.10233635272537794,0.5172854783778781,0.48271452162212203
596,4178,False,0.0038666754223173564,75,66,0.34115899480061224,0.3637228254902427,0.29511817970914483,0.02256383068963047,0.25888075091783613,0.3466666666666667,0.36,0.29333333333333333,0.11551161449909597,0.884488385500904,0.8979350618049238,0.10206493819507621,0.5165068230428287,0.4834931769571714
597,4185,False,0.0009705160770346106,62,57,0.3350162022740704,0.2609802910703679,0.4040035066555611,0.07403591120370251,0.296971332588361,0.3225806451612903,0.24193548387096775,0.43548387096774194,0.11544278027825242,0.8845572197217476,0.8980429967345106,0.10195700326548934,0.5164560488019031,0.4835439511980969
598,4192,False,0.005983254631352901,68,65,0.4203072112242657,0.2936497289919601,0.28604305978377376,0.12665748223230555,0.2680501369261234,0.4117647058823529,0.27941176470588236,0.3088235294117647,0.11533448588970457,0.8846655141102954,0.8975647934604252,0.1024352065395748,0.5148124193488326,0.4851875806511674
599,4199,False,0.0033177995074202505,61,55,0.21944889832655953,0.4124696723092796,0.3680814293641606,0.19302077398272008,0.2749315047449378,0.19672131147540983,0.4098360655737705,0.39344262295081966,0.11573629201121126,0.8842637079887887,0.8977311871281527,0.10226881287184726,0.5152643951184225,0.4847356048815775
600,4206,False,0.0030887440177530304,61,59,0.31128432915313453,0.3577642746772386,0.3309513961696265,0.04647994552410406,0.25534311035986496,0.29508196721311475,0.36065573770491804,0.3442622950819672,0.11539833235987511,0.8846016676401248,0.8978224564265271,0.10217754357347292,0.5145960905966845,0.4854039094033154
601,4213,False,0.006355001910493838,75,69,0.30819563140565126,0.3293053125592489,0.3624990560350995,0.021109681153597626,0.29175724269066305,0.29333333333333333,0.32,0.38666666666666666,0.1156012662809002,0.8843987337190998,0.8977189725150689,0.10228102748493102,0.516767006330811,0.4832329936691889
602,4220,False,0.0009564459698622784,87,82,0.31971158558230584,0.40198611164732057,0.2783023027703736,0.08227452606501473,0.2774756056693576,0.3103448275862069,0.39080459770114945,0.2988505747126437,0.11546766037451306,0.8845323396254869,0.8977015814658905,0.10229841853410943,0.5166945360722498,0.48330546392775015
603,4227,False,0.00238615035426644,79,69,0.34610695114850915,0.3730271205833691,0.28086592826812157,0.026920169434859975,0.26759695558635666,0.35443037974683544,0.3670886075949367,0.27848101265822783,0.11536700866380686,0.8846329913361931,0.8975560230283932,0.10244397697160673,0.5159923302013665,0.4840076697986335
604,4234,False,0.0010588932389685958,67,64,0.20106136863452756,0.4914541109197676,0.30748452044570457,0.29039274228524004,0.2589234810372817,0.1791044776119403,0.4925373134328358,0.3283582089552239,0.11533115368342262,0.8846688463165774,0.8976822140200904,0.10231778597990969,0.51587164480919,0.48412835519080993
605,4241,False,0.006384898474457696,64,63,0.37948278414583864,0.3127611092482047,0.30775610660595626,0.06672167489763392,0.28149834902639337,0.375,0.296875,0.328125,0.11543511005916336,0.8845648899408365,0.8976340535119375,0.10236594648806248,0.5136344334323247,0.4863655665676752
606,4248,False,0.0029038962630082354,73,68,0.4164035206842975,0.3479466682078232,0.23564981110787908,0.06845685247647426,0.26809947952899926,0.410958904109589,0.3424657534246575,0.2465753424657534,0.1151543344722225,0.8848456655277775,0.8977636763371831,0.10223632366281693,0.5129596384136971,0.48704036158630293
607,4255,False,0.0020499190884612404,52,50,0.36039692738103296,0.3683448130177958,0.2712582596011711,0.007947885636762853,0.2855218060347978,0.34615384615384615,0.36538461538461536,0.28846153846153844,0.11487252579332703,0.885127474206673,0.8978148287513065,0.10218517124869358,0.5131231070014188,0.48687689299858117
608,4262,False,0.0041915759745970215,70,62,0.2907276118879642,0.4185899674351926,0.2906824206768428,0.1278623555472284,0.26199679687284766,0.2714285714285714,0.44285714285714284,0.2857142857142857,0.11467973319190168,0.8853202668080983,0.8980591280164286,0.10194087198357137,0.5143578964778783,0.4856421035221217
609,4269,False,0.0018527746578510787,66,62,0.3564283655102859,0.30881563992991706,0.33475599455979665,0.04761272558036883,0.2810266640148371,0.3333333333333333,0.30303030303030304,0.36363636363636365,0.11452248660926088,0.8854775133907392,0.8981515086153871,0.1018484913846128,0.5148215085831999,0.4851784914168002
610,4276,False,0.0019267450212225564,77,73,0.3470648573540773,0.3486699493339198,0.3042651933120027,0.0016050919798424879,0.2995938599276935,0.33766233766233766,0.33766233766233766,0.3246753246753247,0.11431518501076614,0.8856848149892338,0.8983153394332978,0.1016846605667022,0.5147805178673913,0.48521948213260857
611,4283,False,0.00326422884991722,62,59,0.24987192443770148,0.36073058633880833,0.3893974892234898,0.11085866190110685,0.32200606009246374,0.22580645161290322,0.3548387096774194,0.41935483870967744,0.11440048694117157,0.8855995130588283,0.8980566815582648,0.10194331844173524,0.515667133343956,0.4843328666560441
