round,prototype_step_m,theta_0_0,theta_0_1,theta_1_0,theta_1_1,softmax_0_0,softmax_0_1,softmax_1_0,softmax_1_1
0,0,0.015235853987721568,-0.05199920531202478,0.03752255979032287,0.0470282358195607,0.5168024356097765,0.48319756439022354,0.4976235988865435,0.5023764011134565
1,1,2.3970757289468474,-2.4338390802711505,2.6303296387050104,-2.5457788430951265,0.9920839454649776,0.007916054535022326,0.9943817920232342,0.005618207976765793
2,1,2.3970757289468474,-2.4338390802711505,2.6303296387050104,-2.5457788430951265,0.9920839454649776,0.007916054535022326,0.9943817920232342,0.005618207976765793
3,2,0.47882090877942596,-0.515584260103729,0.6985295782459295,-0.6139787826360457,0.7299571470833508,0.27004285291664926,0.7879325927063437,0.21206740729365622
4,3,-0.5987678736962865,0.5620045223719832,-0.6161687593072047,0.7007195549170888,0.23852696509655041,0.7614730349034496,0.21133646275488988,0.7886635372451101
5,4,-0.30131340575275506,0.26455005442845153,-0.2294444602637647,0.313995255873649,0.36219185665255227,0.6378081433474477,0.3673877800406556,0.6326122199593444
6,4,-0.30131340575275506,0.26455005442845153,-0.2294444602637647,0.313995255873649,0.36219185665255227,0.6378081433474477,0.3673877800406556,0.6326122199593444
7,5,0.30262744123444957,-0.3393907925587531,0.3824089435518733,-0.2978581479419888,0.6552095425107849,0.3447904574892151,0.6637983068511734,0.33620169314882664
8,6,0.1730167413046004,-0.20978009262890393,0.25125010755021493,-0.16669931194033039,0.594547487773287,0.4054525122267131,0.6029924599850705,0.3970075400149296
9,7,0.05742686216570374,-0.09419021349000746,0.1169836487684841,-0.03243285315859962,0.5378318243273477,0.4621681756726523,0.53728478513839,0.4627152148616101
10,7,0.05742686216570374,-0.09419021349000746,0.1169836487684841,-0.03243285315859962,0.5378318243273477,0.4621681756726523,0.53728478513839,0.4627152148616101
11,8,0.04941581847193115,-0.08617916979623484,0.11069097774106375,-0.026140182131179312,0.533846903851216,0.466153096148784,0.5341545176681851,0.4658454823318149
12,9,-0.15437412844931714,0.11761077712501346,-0.09356732968482544,0.17811812529470988,0.4324198686552395,0.5675801313447606,0.4324933651776601,0.5675066348223398
13,10,-0.30323013135489474,0.2664667800305908,-0.21924477199508097,0.3037955676049655,0.3613067639081345,0.6386932360918656,0.3721415758706831,0.6278584241293169
14,11,-0.3432956696604165,0.3065323183361126,-0.26394307033226144,0.348493865942146,0.34302830088518743,0.6569716991148127,0.35150350042637196,0.6484964995736281
15,11,-0.3432956696604165,0.3065323183361126,-0.26394307033226144,0.348493865942146,0.34302830088518743,0.6569716991148127,0.35150350042637196,0.6484964995736281
16,12,-0.19544547190189568,0.15868212057759173,-0.13110074663583585,0.21565154224572033,0.41238184980555354,0.5876181501944464,0.414170203486423,0.5858297965135769
17,13,-0.20941117392141229,0.17264782259710837,-0.1461714314551133,0.23072222706499787,0.4056303882846735,0.5943696117153264,0.4068763267919046,0.5931236732080954
18,14,-0.0768139481345965,0.04005059681029269,-0.018765800833297902,0.10331659644318239,0.47081706959559455,0.5291829304044054,0.4695172511376503,0.5304827488623497
19,15,-0.08638601584460452,0.04962266452030072,-0.015930860332902027,0.10048165594278652,0.46605014849856335,0.5339498515014366,0.47092969327940976,0.5290703067205902
20,15,-0.08638601584460452,0.04962266452030072,-0.015930860332902027,0.10048165594278652,0.46605014849856335,0.5339498515014366,0.47092969327940976,0.5290703067205902
21,15,-0.08638601584460452,0.04962266452030072,-0.015930860332902027,0.10048165594278652,0.46605014849856335,0.5339498515014366,0.47092969327940976,0.5290703067205902
22,16,-0.21136381644538543,0.1746004651210817,-0.1361273501190153,0.22067814572889982,0.4046891940855632,0.5953108059144367,0.4117330846769533,0.5882669153230466
23,17,-0.10061587076314123,0.0638525194388375,-0.031904811258544094,0.11645560686842862,0.45897533670574336,0.5410246632942566,0.4629777780054941,0.5370222219945059
24,18,-0.15475666054330994,0.11799330921900623,-0.0772070425145279,0.1617578381244124,0.43223210643017584,0.5677678935698242,0.4405414553727904,0.5594585446272096
25,19,-0.024926730835812344,-0.011836620488491365,0.047251516847384406,0.037299278762500124,0.49672751914160557,0.5032724808583944,0.5024880389851796,0.4975119610148203
26,19,-0.024926730835812344,-0.011836620488491365,0.047251516847384406,0.037299278762500124,0.49672751914160557,0.5032724808583944,0.5024880389851796,0.4975119610148203
27,20,0.0017602293167820228,-0.03852358064108572,0.07062594797905716,0.01392484763082746,0.5100695907942648,0.48993040920573516,0.5141714784977514,0.4858285215022486
28,20,0.0017602293167820228,-0.03852358064108572,0.07062594797905716,0.01392484763082746,0.5100695907942648,0.48993040920573516,0.5141714784977514,0.4858285215022486
29,21,-0.08120230481697015,0.044438953492666446,-0.005639888562820536,0.09019068417270516,0.4686309398517775,0.5313690601482225,0.4760606745762178,0.5239393254237822
30,22,-0.12918140523058821,0.09241805390628452,-0.056202893253094535,0.14075368886297918,0.4448257344045834,0.5551742655954166,0.4509194127363963,0.5490805872636036
31,22,-0.12918140523058821,0.09241805390628452,-0.056202893253094535,0.14075368886297918,0.4448257344045834,0.5551742655954166,0.4509194127363963,0.5490805872636036
32,23,-0.15983733345937817,0.12307398213507446,-0.0881878726317504,0.1727386682416351,0.42974017324400987,0.5702598267559902,0.43513595758347423,0.5648640424165258
33,24,-0.17921332935163498,0.14244997802733125,-0.10967522895605498,0.19422602456593968,0.42027044066695907,0.579729559333041,0.4246040674382813,0.5753959325617187
34,25,-0.1931161743568963,0.1563528230325925,-0.12301808438981449,0.20756887999969917,0.41351119375223416,0.5864888062477659,0.41809781253797984,0.5819021874620202
35,26,-0.1276887975087697,0.0909254461844659,-0.050672092892202925,0.1352228885020876,0.44556307157095953,0.5544369284290405,0.45365962633032225,0.5463403736696778
36,26,-0.1276887975087697,0.0909254461844659,-0.050672092892202925,0.1352228885020876,0.44556307157095953,0.5544369284290405,0.45365962633032225,0.5463403736696778
37,27,-0.04191113777327972,0.0051477864489758995,0.0339147569127108,0.05063603869717387,0.48823743958833465,0.5117625604116653,0.4958197769530679,0.5041802230469322
38,27,-0.04191113777327972,0.0051477864489758995,0.0339147569127108,0.05063603869717387,0.48823743958833465,0.5117625604116653,0.4958197769530679,0.5041802230469322
39,28,0.057168691073132674,-0.0939320423974365,0.1263424886460477,-0.04179169303616309,0.5377034752898905,0.4622965247101094,0.5419348036596758,0.4580651963403243
40,29,-0.020640778084815556,-0.01612257323948818,0.05564340476424026,0.028907390845644268,0.49887045071023556,0.5011295492897644,0.5066836053562569,0.49331639464374305
41,29,-0.020640778084815556,-0.01612257323948818,0.05564340476424026,0.028907390845644268,0.49887045071023556,0.5011295492897644,0.5066836053562569,0.49331639464374305
42,30,-0.03796287158115278,0.0011995202568491,0.03575980716371191,0.048790988446172634,0.490210653162859,0.5097893468371409,0.49674225077957823,0.5032577492204218
43,30,-0.03796287158115278,0.0011995202568491,0.03575980716371191,0.048790988446172634,0.490210653162859,0.5097893468371409,0.49674225077957823,0.5032577492204218
44,31,0.08113314573632383,-0.11789649706062746,0.15659529742591044,-0.0720445018160259,0.5495938062272528,0.4504061937727471,0.5569122361355255,0.44308776386447446
45,32,0.036846804293086524,-0.07361015561739012,0.11672746456637169,-0.032176668956487145,0.5275861980102258,0.47241380198977423,0.5371574028782704,0.4628425971217295
