round,i,j,r_i,r_j
22,0,19,0.0,3.0
23,8,16,3.0,3.0
23,13,6,3.0,3.0
23,6,7,4.0,4.0
23,19,7,4.0,4.0
23,13,19,3.0,3.0
23,4,2,4.0,4.0
23,12,7,4.0,4.0
23,2,3,3.0,0.0
23,19,15,3.0,3.0
23,15,7,3.0,0.0
23,19,14,3.0,3.0
23,17,13,3.0,0.0
23,8,19,0.0,3.0
23,11,9,3.0,0.0
24,15,2,3.0,0.0
24,17,1,3.0,0.0
24,3,8,4.0,4.0
24,2,19,3.0,3.0
24,16,18,3.0,0.0
24,0,8,4.0,4.0
24,0,3,4.0,4.0
24,10,11,3.0,3.0
25,18,14,3.0,3.0
25,18,12,3.0,3.0
25,7,4,4.0,4.0
25,5,8,4.0,4.0
25,7,14,0.0,3.0
25,17,19,3.0,3.0
25,17,0,3.0,0.0
25,15,9,3.0,0.0
25,18,16,3.0,3.0
25,3,12,4.0,4.0
25,9,15,0.0,3.0
25,1,9,4.0,4.0
25,7,19,0.0,3.0
26,18,15,3.0,3.0
26,2,3,4.0,4.0
26,13,7,3.0,0.0
26,16,12,3.0,0.0
26,1,17,0.0,3.0
26,13,2,3.0,0.0
26,8,16,0.0,3.0
27,10,7,3.0,3.0
27,16,15,3.0,3.0
27,7,0,0.0,3.0
27,18,4,3.0,0.0
27,9,14,4.0,4.0
27,17,8,3.0,0.0
27,0,2,4.0,4.0
27,1,0,4.0,4.0
27,2,6,0.0,3.0
27,5,13,0.0,3.0
27,18,1,3.0,0.0
27,9,13,0.0,3.0
27,3,12,3.0,3.0
28,3,0,0.0,3.0
28,13,17,3.0,3.0
28,14,11,3.0,3.0
28,11,6,3.0,3.0
28,19,17,3.0,3.0
28,16,17,3.0,3.0
28,19,5,3.0,0.0
28,14,19,3.0,3.0
29,16,4,3.0,0.0
29,15,17,3.0,3.0
29,9,3,4.0,4.0
29,13,2,3.0,0.0
29,14,13,0.0,3.0
29,5,18,0.0,3.0
30,12,18,3.0,3.0
30,15,16,3.0,3.0
30,19,7,3.0,3.0
30,17,13,3.0,3.0
30,8,6,4.0,4.0
31,1,5,4.0,4.0
