game,seed,max_prototype_norm,final_prototype_norm,norm_growth_ratio,early_movement,late_movement,movement_ratio,early_entropy,late_entropy,entropy_change,late_usage_jsd_mean,late_usage_jsd_max,late_action_jsd_mean,late_action_jsd_max,early_update_norm,late_update_norm,update_norm_ratio,num_slow_steps
ipd,0,3.7746024522180877,2.1716514221728787,1.0664528618904348,0.32323408145267196,0.33138867297083757,1.0252281302810564,0.25227751487347455,0.1308482637611932,-0.12142925111228134,0.0019922207495075128,0.00630388734210866,0.003924053583859336,0.010229950609782653,0.32323408145267196,0.33138867297083757,1.0252281302810564,500
ipd,1,3.0336870120502804,1.6810365004948604,0.816093105640703,0.296225810246898,0.34325811873323575,1.1587718114337753,0.6177932446228677,0.04911274444214081,-0.5686805001807269,0.004643027262945031,0.010909776232336481,0.002813245192151167,0.005440829843849717,0.296225810246898,0.34325811873323575,1.1587718114337753,500
ipd,2,3.174900717656204,2.1508903102538075,1.0837232578913358,0.30002471873746867,0.35598602469304425,1.1865223178645607,0.4583677275304565,0.11860170733176548,-0.33976602019869107,0.010027970088710411,0.026187364642827088,0.006715292007165071,0.014067039400604234,0.30002471873746867,0.35598602469304425,1.1865223178645607,500
ipd,3,3.163686228435269,0.8433879071012924,0.4212882745175796,0.28539019281646116,0.37277004359251986,1.3061767817377454,0.3588893633153194,0.2867149488476688,-0.0721744144676506,0.0003506045744317195,0.0005744799464581329,0.002484692916513387,0.005440829843849717,0.28539019281646116,0.37277004359251986,1.3061767817377454,500
ipd,4,2.773785475551881,1.509878624357776,0.7315625067614281,0.3136948085158872,0.41635204016989225,1.3272519304341817,0.5356835214515819,0.024999908565251742,-0.5106836128863302,0.003812238787533345,0.0062555842422694595,0.002138627654670653,0.007483779329097608,0.3136948085158872,0.41635204016989225,1.3272519304341817,500
ipd,5,3.366297475943341,2.8447296796981263,1.4204675788595764,0.28864543301959855,0.36238406711081383,1.2554644060008686,0.5847555540497507,0.05716106096642544,-0.5275944930833252,0.010342994277925384,0.02315345215184913,0.0012668319892145175,0.004324685795047484,0.28864543301959855,0.36238406711081383,1.2554644060008686,500
ipd,6,3.095905472781901,2.503752633898695,1.2200929013185249,0.3154464129238342,0.2582491022781007,0.8186782023749182,0.4883986351974931,0.417935729586257,-0.07046290561123608,0.0009243840835409622,0.0011878647609930137,0.0009680991066022087,0.0017505376727517709,0.3154464129238342,0.2582491022781007,0.8186782023749182,500
ipd,7,2.85380034933217,1.6805275658312266,0.8287918003003358,0.29283551568205296,0.36154934616030876,1.2346499205132688,0.6439989947188649,0.221234294255508,-0.4227647004633569,0.009949737010672421,0.020101523241192708,0.0038556611363405264,0.008327526861810987,0.29283551568205296,0.36154934616030876,1.2346499205132688,500
ipd,8,3.015458209427073,1.5719315206315927,0.7448791686371917,0.26829282776719604,0.391409446330821,1.4588889669106477,0.5197785226536488,0.16194061887319772,-0.35783790378045105,0.035048017785307,0.046540032167099045,0.0029458164119547585,0.007483779329097608,0.26829282776719604,0.391409446330821,1.4588889669106477,500
ipd,9,3.1179601350318222,3.1179601350318222,1.5267195066670523,0.27396698930298496,0.3209732677304824,1.171576431697442,0.7703982013509139,0.012206009836244557,-0.7581921915146693,0.0028236799214268775,0.004618555254499047,0.0007917541536798743,0.0018667939967370395,0.27396698930298496,0.3209732677304824,1.171576431697442,500
stag_hunt,0,3.4954634406502243,2.8815792095635517,1.415083637929434,0.34286124800693285,0.33366179777505145,0.9731685914189538,0.39916888042768744,0.02457420875419097,-0.37459467167349647,0.011182453125260828,0.023370159078967674,0.010138185919232823,0.0349178624203883,0.34286124800693285,0.33366179777505145,0.9731685914189538,500
stag_hunt,1,3.161422223918293,1.6459554717843292,0.7990623120434075,0.2874868433577285,0.37053810947769195,1.2888871892360663,0.40560862833880296,0.03902515622327964,-0.36658347211552333,0.028444768973669432,0.0514617808330111,0.02586052407964739,0.04190746504135566,0.2874868433577285,0.37053810947769195,1.2888871892360663,500
stag_hunt,2,3.1060196916254093,2.6816772339831343,1.3511595522889746,0.32128194406836297,0.3823117173421963,1.1899570592141566,0.4330536327023694,0.06546285583708004,-0.36759077686528935,0.004286481722243333,0.007894691787535171,0.004965251631201703,0.013200670971548506,0.32128194406836297,0.3823117173421963,1.1899570592141566,500
stag_hunt,3,3.427645762870627,1.773373691288225,0.8858338330288141,0.30244156042860554,0.4240768785837151,1.4021779215222072,0.672261059289315,0.03438882608370559,-0.6378722332056094,0.006425082288043335,0.011159132241521888,0.004632118624169854,0.006812466634924082,0.30244156042860554,0.4240768785837151,1.4021779215222072,500
stag_hunt,4,3.2342618906553793,2.2006584332846004,1.066257362683133,0.2530614385355282,0.3708613396610307,1.4654992155549773,0.5352213458620048,0.017464389596647735,-0.517756956265357,0.01655403387438235,0.03577136931277224,0.0035878829283498273,0.0076644976516756814,0.2530614385355282,0.3708613396610307,1.4654992155549773,500
stag_hunt,5,3.098489728267969,2.566882493237658,1.2817292927366124,0.31360816763535637,0.30418226821108935,0.9699437055630934,0.23762023532509755,0.055131960194391844,-0.1824882751307057,0.011702206093839939,0.026540727435598342,0.001321083844130697,0.0032085834187813578,0.31360816763535637,0.30418226821108935,0.9699437055630934,500
stag_hunt,6,3.682052967155333,2.874081417786667,1.40055622435538,0.35450925945193246,0.3451678231169998,0.9736496689836129,0.44679574793010957,0.01887887717626366,-0.4279168707538459,0.006375661518246415,0.01136278602596789,0.015814408367496834,0.029887969935382647,0.35450925945193246,0.3451678231169998,0.9736496689836129,500
stag_hunt,7,2.969292189599583,1.7102023076302841,0.8434265990261297,0.3027121117442814,0.3674932515203414,1.214002470541332,0.3919621198565716,0.05655903445281967,-0.3354030854037519,0.006989016174905433,0.010873375576439838,0.004786607811775832,0.008744075499831378,0.3027121117442814,0.3674932515203414,1.214002470541332,500
stag_hunt,8,3.5176243796238715,2.492685130735135,1.181189640570504,0.3020051742195892,0.30849226236315375,1.0214800562948227,0.6944374814527456,0.03664591735593191,-0.6577915640968137,0.0051540912493392875,0.009986132991145393,0.008199130049425655,0.014641975697196094,0.3020051742195892,0.30849226236315375,1.0214800562948227,500
stag_hunt,9,3.2964894531639772,1.359238060534629,0.6655554180782783,0.3131555117254342,0.3507744389294095,1.1201285808341719,0.3336280238317954,0.22054297717688048,-0.11308504665491492,0.00835029798331956,0.02028346657440077,0.012881393646048634,0.029530171339852085,0.3131555117254342,0.3507744389294095,1.1201285808341719,500
matching_pennies,0,3.172631598431773,2.0948089622584063,1.0287171274839917,0.30018499630377454,0.3721630854217112,1.2397791029005922,0.3660762374308987,0.1844046162238888,-0.1816716212070099,0.02587203662285431,0.07748525681580835,0.02876193634719468,0.056234218139014344,0.30018499630377454,0.3721630854217112,1.2397791029005922,500
matching_pennies,1,3.689835228663201,0.6876215632979837,0.33381976948874853,0.27226291414755943,0.36275811137411657,1.3323816521610838,0.191900322682458,0.24551987370116846,0.053619551018710465,0.0056628962165779055,0.01016399317470543,0.01964934264985199,0.05992633676192062,0.27226291414755943,0.36275811137411657,1.3323816521610838,500
matching_pennies,2,3.2237629710593567,2.6372341793149237,1.3287669775648863,0.281796766449885,0.3209341873576349,1.138885273244291,0.4348571660839814,0.099539900598938,-0.33531726548504337,0.006391908211735538,0.01712965318489931,0.017480793582787223,0.05992633676192062,0.281796766449885,0.3209341873576349,1.138885273244291,500
matching_pennies,3,3.3383005581897853,2.278704798038012,1.138256316479372,0.28859731445351383,0.373401870088312,1.2938508135302076,0.3424265517789609,0.022952785878027945,-0.31947376590093296,0.009951103638527983,0.020325734391725185,0.012603109386233794,0.0492112354798649,0.28859731445351383,0.373401870088312,1.2938508135302076,500
matching_pennies,4,3.0095160840985806,1.945328136861012,0.9425453843224688,0.30202951613029433,0.3699890641175181,1.2250096244166622,0.46321414998264815,0.012677628529588734,-0.4505365214530594,0.012598593490926218,0.021761288349804002,0.002574654927969135,0.005141110349731321,0.30202951613029433,0.3699890641175181,1.2250096244166622,500
matching_pennies,5,3.5037405065566714,2.4581281387244505,1.2274246479936346,0.3309022483220798,0.3622012003700917,1.094586701077798,0.36884082020687753,0.11630981626951994,-0.2525310039373576,0.0008145883105641761,0.001281394526972871,0.046335130937376116,0.10199999637599441,0.3309022483220798,0.3622012003700917,1.094586701077798,500
