run_id,preset,variant,seed,p_obs,prototype_lr_scale,init_noise,prototype_update_every_q,target_interaction_budget,num_interaction_events_executed,num_rounds_executed,final_matched_cross_entropy,final_mce,final_belief_entropy,final_belief_argmax_accuracy,final_prototype_gap,prototype_update_count
init_noise/seed_7/init_noise_0p1/seed_7,init_noise_recovery_sweep,init_noise_0p1,7,1.0,22.0,0.1,15,,49892,5000,0.04446067385039151,0.022230336925195757,0.0980391132797322,1.0,0.9560298858623828,3327
init_noise/seed_8/init_noise_0p01/seed_8,init_noise_recovery_sweep,init_noise_0p01,8,1.0,22.0,0.01,15,,50084,5000,0.04655463718692829,0.023277318593464144,0.0980391132797322,1.0,0.9539830356025529,3339
init_noise/seed_8/init_noise_0p05/seed_8,init_noise_recovery_sweep,init_noise_0p05,8,1.0,22.0,0.05,15,,50084,5000,0.045344355824052426,0.022672177912026213,0.0980391132797322,1.0,0.9551658237290969,3339
init_noise/seed_8/init_noise_0p1/seed_8,init_noise_recovery_sweep,init_noise_0p1,8,1.0,22.0,0.1,15,,50084,5000,0.04481923021841969,0.022409615109209843,0.0980391132797322,1.0,0.9556792434365748,3339
init_noise/seed_9/init_noise_0p01/seed_9,init_noise_recovery_sweep,init_noise_0p01,9,1.0,22.0,0.01,15,,49559,5000,0.04532376598109088,0.02266188299054544,0.0980391132797322,1.0,0.9551859392103401,3304
init_noise/seed_9/init_noise_0p05/seed_9,init_noise_recovery_sweep,init_noise_0p05,9,1.0,22.0,0.05,15,,49559,5000,0.04435237975399302,0.02217618987699651,0.0980391132797322,1.0,0.9561357908891828,3304
init_noise/seed_9/init_noise_0p1/seed_9,init_noise_recovery_sweep,init_noise_0p1,9,1.0,22.0,0.1,15,,49559,5000,0.04403604160237275,0.022018020801186373,0.0980391132797322,1.0,0.9564452158113008,3304
k_latent/seed_0/K_2/seed_0,k_latent_recovery_sweep,K_2,0,1.0,22.0,0.05,15,,50140,5000,0.048031663960413445,0.024015831980206723,0.0980391132797322,1.0,0.9525405067331635,3343
k_latent/seed_0/K_3/seed_0,k_latent_recovery_sweep,K_3,0,1.0,22.0,0.05,15,,50153,5000,0.8029395573631108,0.26764651912103693,0.19567003495657176,1.0,0.9539814801075196,3344
k_latent/seed_1/K_2/seed_1,k_latent_recovery_sweep,K_2,1,1.0,22.0,0.05,15,,49690,5000,0.045654592416823146,0.022827296208411573,0.0980391132797322,1.0,0.9548625609285679,3313
k_latent/seed_1/K_3/seed_1,k_latent_recovery_sweep,K_3,1,1.0,22.0,0.05,15,,49700,5000,0.7408805244749239,0.24696017482497465,0.19567003495657176,1.0,0.9537309845772928,3314
k_latent/seed_2/K_2/seed_2,k_latent_recovery_sweep,K_2,2,1.0,22.0,0.05,15,,49817,5000,0.04472801836045254,0.02236400918022627,0.0980391132797322,1.0,0.9557684530782083,3322
k_latent/seed_2/K_3/seed_2,k_latent_recovery_sweep,K_3,2,1.0,22.0,0.05,15,,49824,5000,1.0554099572762181,0.3518033190920727,0.19567003495657176,1.0,0.9506153824818087,3322
k_latent/seed_3/K_2/seed_3,k_latent_recovery_sweep,K_2,3,1.0,22.0,0.05,15,,50091,5000,0.04414324659235303,0.022071623296176516,0.0980391132797322,1.0,0.9563403806581298,3340
k_latent/seed_3/K_3/seed_3,k_latent_recovery_sweep,K_3,3,1.0,22.0,0.05,15,,50089,5000,0.7627331905276303,0.25424439684254346,0.19567003495657176,1.0,0.9547483067528257,3340
k_latent/seed_4/K_2/seed_4,k_latent_recovery_sweep,K_2,4,1.0,22.0,0.05,15,,50155,5000,0.04507450056076648,0.02253725028038324,0.0980391132797322,1.0,0.9554296846940039,3344
k_latent/seed_4/K_3/seed_4,k_latent_recovery_sweep,K_3,4,1.0,22.0,0.05,15,,50157,5000,0.7461188432211915,0.2487062810737305,0.19567003495657176,1.0,0.9540573369992812,3344
k_latent/seed_5/K_2/seed_5,k_latent_recovery_sweep,K_2,5,1.0,22.0,0.05,15,,49968,5000,0.04526327555790535,0.022631637778952676,0.0980391132797322,1.0,0.9552450821176365,3332
k_latent/seed_5/K_3/seed_5,k_latent_recovery_sweep,K_3,5,1.0,22.0,0.05,15,,49964,5000,0.7594790705737628,0.2531596901912543,0.19567003495657176,1.0,0.9528430421375228,3331
k_latent/seed_6/K_2/seed_6,k_latent_recovery_sweep,K_2,6,1.0,22.0,0.05,15,,49901,5000,0.0468908935552663,0.02344544677763315,0.0980391132797322,1.0,0.9536546030008104,3327
k_latent/seed_6/K_3/seed_6,k_latent_recovery_sweep,K_3,6,1.0,22.0,0.05,15,,49903,5000,0.7990853040908773,0.26636176803029243,0.19567003495657176,1.0,0.9533514417386413,3327
k_latent/seed_7/K_2/seed_7,k_latent_recovery_sweep,K_2,7,1.0,22.0,0.05,15,,49892,5000,0.04487569212975663,0.022437846064878315,0.0980391132797322,1.0,0.9556240346951598,3327
k_latent/seed_7/K_3/seed_7,k_latent_recovery_sweep,K_3,7,1.0,22.0,0.05,15,,49902,5000,0.9078464735505691,0.30261549118352304,0.19567003495657176,1.0,0.9519377503369678,3327
k_latent/seed_8/K_2/seed_8,k_latent_recovery_sweep,K_2,8,1.0,22.0,0.05,15,,50084,5000,0.045344355824052426,0.022672177912026213,0.0980391132797322,1.0,0.9551658237290969,3339
k_latent/seed_8/K_3/seed_8,k_latent_recovery_sweep,K_3,8,1.0,22.0,0.05,15,,50083,5000,0.7469072002219366,0.24896906674064553,0.19567003495657176,1.0,0.9537939506052369,3339
k_latent/seed_9/K_2/seed_9,k_latent_recovery_sweep,K_2,9,1.0,22.0,0.05,15,,49559,5000,0.04435237975399302,0.02217618987699651,0.0980391132797322,1.0,0.9561357908891828,3304
k_latent/seed_9/K_3/seed_9,k_latent_recovery_sweep,K_3,9,1.0,22.0,0.05,15,,49574,5000,0.7468517264286391,0.24895057547621302,0.19567003495657176,1.0,0.9549368950310486,3305
q_recovery/seed_0/Q_1/seed_0,q_recovery_sweep,Q_1,0,1.0,22.0,0.05,1,,50140,5000,0.04351297093220641,0.021756485466103204,0.0980391132797322,1.0,0.956956959742221,50140
q_recovery/seed_0/Q_15/seed_0,q_recovery_sweep,Q_15,0,1.0,22.0,0.05,15,,50140,5000,0.048031663960413445,0.024015831980206723,0.0980391132797322,1.0,0.9525405067331635,3343
q_recovery/seed_0/Q_5/seed_0,q_recovery_sweep,Q_5,0,1.0,22.0,0.05,5,,50140,5000,0.045882287359073966,0.022941143679536983,0.0980391132797322,1.0,0.9546400071471783,10028
q_recovery/seed_1/Q_1/seed_1,q_recovery_sweep,Q_1,1,1.0,22.0,0.05,1,,49690,5000,0.0427752037402106,0.0213876018701053,0.0980391132797322,1.0,0.9576789897516842,49690
q_recovery/seed_1/Q_15/seed_1,q_recovery_sweep,Q_15,1,1.0,22.0,0.05,15,,49690,5000,0.045654592416823146,0.022827296208411573,0.0980391132797322,1.0,0.9548625609285679,3313
q_recovery/seed_1/Q_5/seed_1,q_recovery_sweep,Q_5,1,1.0,22.0,0.05,5,,49690,5000,0.04339722732218754,0.02169861366109377,0.0980391132797322,1.0,0.9570702254035575,9938
q_recovery/seed_2/Q_1/seed_2,q_recovery_sweep,Q_1,2,1.0,22.0,0.05,1,,49817,5000,0.04272583964395499,0.021362919821977494,0.0980391132797322,1.0,0.9577273243947994,49817
q_recovery/seed_2/Q_15/seed_2,q_recovery_sweep,Q_15,2,1.0,22.0,0.05,15,,49817,5000,0.04472801836045254,0.02236400918022627,0.0980391132797322,1.0,0.9557684530782083,3322
q_recovery/seed_2/Q_5/seed_2,q_recovery_sweep,Q_5,2,1.0,22.0,0.05,5,,49817,5000,0.0437649152801968,0.0218824576400984,0.0980391132797322,1.0,0.9567104796996375,9964
q_recovery/seed_3/Q_1/seed_3,q_recovery_sweep,Q_1,3,1.0,22.0,0.05,1,,50091,5000,0.04234815924560687,0.021174079622803436,0.0980391132797322,1.0,0.9580970618313794,50091
q_recovery/seed_3/Q_15/seed_3,q_recovery_sweep,Q_15,3,1.0,22.0,0.05,15,,50091,5000,0.04414324659235303,0.022071623296176516,0.0980391132797322,1.0,0.9563403806581298,3340
q_recovery/seed_3/Q_5/seed_3,q_recovery_sweep,Q_5,3,1.0,22.0,0.05,5,,50091,5000,0.043318039807115266,0.021659019903557633,0.0980391132797322,1.0,0.957147733593995,10019
q_recovery/seed_4/Q_1/seed_4,q_recovery_sweep,Q_1,4,1.0,22.0,0.05,1,,50155,5000,0.044388986129160035,0.022194493064580018,0.0980391132797322,1.0,0.9561000321182123,50155
q_recovery/seed_4/Q_15/seed_4,q_recovery_sweep,Q_15,4,1.0,22.0,0.05,15,,50155,5000,0.04507450056076648,0.02253725028038324,0.0980391132797322,1.0,0.9554296846940039,3344
q_recovery/seed_4/Q_5/seed_4,q_recovery_sweep,Q_5,4,1.0,22.0,0.05,5,,50155,5000,0.0443648269432425,0.02218241347162125,0.0980391132797322,1.0,0.9561236627159471,10031
q_recovery/seed_5/Q_1/seed_5,q_recovery_sweep,Q_1,5,1.0,22.0,0.05,1,,49968,5000,0.04369784830588761,0.021848924152943806,0.0980391132797322,1.0,0.9567760714607952,49968
q_recovery/seed_5/Q_15/seed_5,q_recovery_sweep,Q_15,5,1.0,22.0,0.05,15,,49968,5000,0.04526327555790535,0.022631637778952676,0.0980391132797322,1.0,0.9552450821176365,3332
q_recovery/seed_5/Q_5/seed_5,q_recovery_sweep,Q_5,5,1.0,22.0,0.05,5,,49968,5000,0.04444140724979628,0.02222070362489814,0.0980391132797322,1.0,0.9560487203309654,9994
q_recovery/seed_6/Q_1/seed_6,q_recovery_sweep,Q_1,6,1.0,22.0,0.05,1,,49901,5000,0.043342246748426794,0.021671123374213397,0.0980391132797322,1.0,0.95712406956941,49901
q_recovery/seed_6/Q_15/seed_6,q_recovery_sweep,Q_15,6,1.0,22.0,0.05,15,,49901,5000,0.0468908935552663,0.02344544677763315,0.0980391132797322,1.0,0.9536546030008104,3327
q_recovery/seed_6/Q_5/seed_6,q_recovery_sweep,Q_5,6,1.0,22.0,0.05,5,,49901,5000,0.04474940757458458,0.02237470378729229,0.0980391132797322,1.0,0.9557475776328731,9981
q_recovery/seed_7/Q_1/seed_7,q_recovery_sweep,Q_1,7,1.0,22.0,0.05,1,,49892,5000,0.04362644518458572,0.02181322259229286,0.0980391132797322,1.0,0.9568459466887408,49892
q_recovery/seed_7/Q_15/seed_7,q_recovery_sweep,Q_15,7,1.0,22.0,0.05,15,,49892,5000,0.04487569212975663,0.022437846064878315,0.0980391132797322,1.0,0.9556240346951598,3327
q_recovery/seed_7/Q_5/seed_7,q_recovery_sweep,Q_5,7,1.0,22.0,0.05,5,,49892,5000,0.04503076029253809,0.022515380146269044,0.0980391132797322,1.0,0.9554724147251558,9979
q_recovery/seed_8/Q_1/seed_8,q_recovery_sweep,Q_1,8,1.0,22.0,0.05,1,,50084,5000,0.043344094746265535,0.021672047373132768,0.0980391132797322,1.0,0.9571222551186879,50084
q_recovery/seed_8/Q_15/seed_8,q_recovery_sweep,Q_15,8,1.0,22.0,0.05,15,,50084,5000,0.045344355824052426,0.022672177912026213,0.0980391132797322,1.0,0.9551658237290969,3339
q_recovery/seed_8/Q_5/seed_8,q_recovery_sweep,Q_5,8,1.0,22.0,0.05,5,,50084,5000,0.044616472009705734,0.022308236004852867,0.0980391132797322,1.0,0.9558775310411861,10017
q_recovery/seed_9/Q_1/seed_9,q_recovery_sweep,Q_1,9,1.0,22.0,0.05,1,,49559,5000,0.0428399157010195,0.02141995785050975,0.0980391132797322,1.0,0.9576156430717575,49559
q_recovery/seed_9/Q_15/seed_9,q_recovery_sweep,Q_15,9,1.0,22.0,0.05,15,,49559,5000,0.04435237975399302,0.02217618987699651,0.0980391132797322,1.0,0.9561357908891828,3304
q_recovery/seed_9/Q_5/seed_9,q_recovery_sweep,Q_5,9,1.0,22.0,0.05,5,,49559,5000,0.04398851175823636,0.02199425587911818,0.0980391132797322,1.0,0.9564917103622903,9912
sparse/seed_0/p_obs_0p2/seed_0,sparse_pobs_sweep,p_obs_0p2,0,0.2,22.0,0.05,15,,49975,5000,0.6970116988321029,0.34850584941605145,0.14615188956535183,1.0,0.4114839508237404,3332
sparse/seed_0/p_obs_0p3/seed_0,sparse_pobs_sweep,p_obs_0p3,0,0.3,22.0,0.05,15,,49975,5000,0.27208753222125615,0.13604376611062807,0.0980391132797322,1.0,0.745608887464843,3332
sparse/seed_0/p_obs_0p5/seed_0,sparse_pobs_sweep,p_obs_0p5,0,0.5,22.0,0.05,15,,49975,5000,0.09049729249417636,0.04524864624708818,0.0980391132797322,1.0,0.9115196267780888,3332
sparse/seed_0/p_obs_1p0/seed_0,sparse_pobs_sweep,p_obs_1p0,0,1.0,22.0,0.05,15,,50140,5000,0.048031663960413445,0.024015831980206723,0.0980391132797322,1.0,0.9525405067331635,3343
sparse/seed_1/p_obs_0p2/seed_1,sparse_pobs_sweep,p_obs_0p2,1,0.2,22.0,0.05,15,,49494,5000,0.82534551156705,0.412672755783525,0.23203346122212795,1.0,0.32386267140739533,3300
sparse/seed_1/p_obs_0p3/seed_1,sparse_pobs_sweep,p_obs_0p3,1,0.3,22.0,0.05,15,,49494,5000,0.20500185135948668,0.10250092567974334,0.0980391132797322,1.0,0.8051600017629064,3300
sparse/seed_1/p_obs_0p5/seed_1,sparse_pobs_sweep,p_obs_0p5,1,0.5,22.0,0.05,15,,49494,5000,0.08313196470376763,0.041565982351883815,0.0980391132797322,1.0,0.918573106560505,3300
sparse/seed_1/p_obs_1p0/seed_1,sparse_pobs_sweep,p_obs_1p0,1,1.0,22.0,0.05,15,,49690,5000,0.045654592416823146,0.022827296208411573,0.0980391132797322,1.0,0.9548625609285679,3313
sparse/seed_2/p_obs_0p2/seed_2,sparse_pobs_sweep,p_obs_0p2,2,0.2,22.0,0.05,15,,49918,5000,0.555999799294115,0.2779998996470575,0.10275020784001085,1.0,0.5146000712473594,3328
sparse/seed_2/p_obs_0p3/seed_2,sparse_pobs_sweep,p_obs_0p3,2,0.3,22.0,0.05,15,,49918,5000,0.19346659539347355,0.09673329769673678,0.0980391132797322,1.0,0.8155979511595692,3328
sparse/seed_2/p_obs_0p5/seed_2,sparse_pobs_sweep,p_obs_0p5,2,0.5,22.0,0.05,15,,49918,5000,0.08730333346131289,0.043651666730656444,0.0980391132797322,1.0,0.9145749687929285,3328
sparse/seed_2/p_obs_1p0/seed_2,sparse_pobs_sweep,p_obs_1p0,2,1.0,22.0,0.05,15,,49817,5000,0.04472801836045254,0.02236400918022627,0.0980391132797322,1.0,0.9557684530782083,3322
sparse/seed_3/p_obs_0p2/seed_3,sparse_pobs_sweep,p_obs_0p2,3,0.2,22.0,0.05,15,,49967,5000,0.5007453023822681,0.25037265119113405,0.0987165601778276,1.0,0.5570309816252157,3332
sparse/seed_3/p_obs_0p3/seed_3,sparse_pobs_sweep,p_obs_0p3,3,0.3,22.0,0.05,15,,49967,5000,0.16374604798305892,0.08187302399152946,0.0980391132797322,1.0,0.8427781191639625,3332
