p_obs,final_mce_mean,final_mce_std,final_mce_ci95_low,final_mce_ci95_high,final_mce_n,final_mce_mean_pm_std,kmeans_mce_mean,kmeans_mce_std,kmeans_mce_ci95_low,kmeans_mce_ci95_high,kmeans_mce_n,kmeans_mce_mean_pm_std,fcm_mce_mean,fcm_mce_std,fcm_mce_ci95_low,fcm_mce_ci95_high,fcm_mce_n,fcm_mce_mean_pm_std
0.2,0.2865538280571633,0.06418386117570771,0.2406394597121239,0.33246819640220265,10,0.2866 ± 0.0642,0.003996920348465409,5.0580916924120046e-05,0.003960736940232517,0.0040331037566983,10,0.0040 ± 0.0001,0.0039969203463893896,5.0580919392110214e-05,0.003960736936391004,0.004033103756387775,10,0.0040 ± 0.0001
0.3,0.10820711465305828,0.02304397518235321,0.091722447864938,0.12469178144117857,10,0.1082 ± 0.0230,0.002672263216564907,1.9481575755591676e-05,0.0026583269368086093,0.0026861994963212044,10,0.0027 ± 0.0000,0.002672263215530713,1.9481576295850886e-05,0.002658326935387937,0.0026861994956734886,10,0.0027 ± 0.0000
0.5,0.0413971224415907,0.002506303409053978,0.03960422098942182,0.04319002389375959,10,0.0414 ± 0.0025,0.0016047954257593657,6.781699076373304e-06,0.0015999440904907473,0.001609646761027984,10,0.0016 ± 0.0000,0.0016047954257222088,6.781699135512764e-06,0.0015999440904112846,0.001609646761033133,10,0.0016 ± 0.0000
1.0,0.02271793093558912,0.0005946873702679073,0.02229251721836393,0.023143344652814313,10,0.0227 ± 0.0006,0.0008030888334827811,3.352480269579196e-06,0.000800690613569748,0.0008054870533958143,10,0.0008 ± 0.0000,0.0008030888334802589,3.352480265277322e-06,0.0008006906135703031,0.0008054870533902146,10,0.0008 ± 0.0000
