task,regime,method,status,n,mean,std,ci95_low,ci95_high
ipd,adaptive_agents,ESL,READY,10,1.7604,0.04906956513178231,1.725297747709135,1.795502252290865
ipd,adaptive_agents,ESL K=1,READY,10,1.7526,0.04698983341579802,1.7189854981547672,1.7862145018452327
ipd,adaptive_agents,ESL without belief updates,READY,10,1.7604,0.04906956513178231,1.725297747709135,1.795502252290865
ipd,adaptive_agents,PPO,READY,10,1.2052,0.13922068811782246,1.105607519298467,1.3047924807015332
ipd,adaptive_agents,SOM,APPENDIX_ONLY,10,1.7207999999999999,0.04386038455523773,1.6894241710091062,1.7521758289908935
ipd,belief_conditioned_agents,ESL,READY,10,1.3685999999999998,0.07065440145132108,1.3180568859833246,1.419143114016675
ipd,belief_conditioned_agents,ESL K=1,READY,10,1.3668,0.06994728173576312,1.3167627289552097,1.4168372710447903
ipd,belief_conditioned_agents,ESL without belief updates,READY,10,1.3685999999999998,0.07065440145132108,1.3180568859833246,1.419143114016675
ipd,belief_conditioned_agents,PPO,READY,10,0.9338000000000001,0.14169905512113418,0.8324346023470743,1.0351653976529258
ipd,belief_conditioned_agents,SOM,APPENDIX_ONLY,10,1.3359999999999999,0.07064779622260775,1.2854616110793005,1.3865383889206992
ipd,fixed_types,ESL,READY,10,2.3752,0.05945829537490039,2.3326660977852702,2.4177339022147297
ipd,fixed_types,ESL K=1,READY,10,2.3216,0.06452424178382714,2.275442138036278,2.3677578619637223
ipd,fixed_types,ESL without belief updates,READY,10,2.3275999999999994,0.07374309760543317,2.2748473658589807,2.380352634141018
ipd,fixed_types,PPO,READY,10,2.2278000000000002,0.0544013888711594,2.188883590775659,2.2667164092243413
ipd,fixed_types,SOM,APPENDIX_ONLY,10,2.3602,0.04915689168366944,2.325035278057166,2.395364721942834
matching_pennies,adaptive_agents,ESL,READY,10,0.0088,0.04265833251937227,-0.02171593276567993,0.03931593276567993
matching_pennies,adaptive_agents,ESL K=1,READY,10,-1.0408340855860842e-18,0.045801504099513786,-0.032764422262240446,0.032764422262240446
matching_pennies,adaptive_agents,ESL without belief updates,READY,10,0.01,0.045343136195018535,-0.022436525616276362,0.042436525616276366
matching_pennies,adaptive_agents,PPO,READY,10,-0.004000000000000001,0.017788885418835113,-0.01672540203419898,0.008725402034198977
matching_pennies,adaptive_agents,SOM,APPENDIX_ONLY,10,-0.046000000000000006,0.04071581729227325,-0.07512634108298714,-0.016873658917012868
matching_pennies,belief_conditioned_agents,ESL,READY,10,0.018,0.05603966848978002,-0.0220883638634613,0.05808836386346129
matching_pennies,belief_conditioned_agents,ESL K=1,READY,10,0.03560000000000001,0.04371422346712033,0.004328728352877925,0.06687127164712209
matching_pennies,belief_conditioned_agents,ESL without belief updates,READY,10,0.0184,0.0560697977722608,-0.021709917053756397,0.0585099170537564
matching_pennies,belief_conditioned_agents,PPO,READY,10,-0.0128,0.05194184782577104,-0.04995695955196075,0.024356959551960752
matching_pennies,belief_conditioned_agents,SOM,APPENDIX_ONLY,10,-0.008799999999999999,0.05132207668786948,-0.04551360198833061,0.02791360198833061
matching_pennies,fixed_types,ESL,READY,10,0.8588000000000001,0.03522877611650264,0.8335988517155428,0.8840011482844574
matching_pennies,fixed_types,ESL K=1,READY,10,0.06399999999999999,0.05842373946721772,0.02220617449846226,0.10579382550153771
matching_pennies,fixed_types,ESL without belief updates,READY,10,0.0412,0.040532017522502434,0.012205141351637482,0.07019485864836252
matching_pennies,fixed_types,PPO,READY,10,0.015200000000000002,0.054643897697323494,-0.0238898895879007,0.05428988958790071
matching_pennies,fixed_types,SOM,APPENDIX_ONLY,10,0.782,0.08512996599970608,0.7211016909155578,0.8428983090844423
stag_hunt,adaptive_agents,ESL,READY,10,2.0465999999999998,0.022510244581325892,2.0304971410832615,2.062702858916738
stag_hunt,adaptive_agents,ESL K=1,READY,10,2.043,0.019419348884839413,2.029108234665433,2.056891765334567
stag_hunt,adaptive_agents,ESL without belief updates,READY,10,2.0465999999999998,0.022510244581325892,2.0304971410832615,2.062702858916738
stag_hunt,adaptive_agents,PPO,READY,10,1.9736,0.12260795696491766,1.885891551256025,2.0613084487439752
stag_hunt,adaptive_agents,SOM,APPENDIX_ONLY,10,2.0148,0.02385511824885106,1.9977350764175161,2.0318649235824844
stag_hunt,belief_conditioned_agents,ESL,READY,10,1.9873999999999998,0.010793001847905352,1.9796791515917558,1.9951208484082439
stag_hunt,belief_conditioned_agents,ESL K=1,READY,10,1.9896,0.012920268315067339,1.9803573968335944,1.9988426031664057
stag_hunt,belief_conditioned_agents,ESL without belief updates,READY,10,1.9873999999999998,0.010793001847905352,1.9796791515917558,1.9951208484082439
stag_hunt,belief_conditioned_agents,PPO,READY,10,1.8519999999999999,0.16293420621697452,1.7354438903609588,1.968556109639041
stag_hunt,belief_conditioned_agents,SOM,APPENDIX_ONLY,10,1.9634,0.014878769363686574,1.9527563695830792,1.9740436304169209
stag_hunt,fixed_types,ESL,READY,10,2.6033999999999997,0.09830587187164581,2.533076215657413,2.6737237843425863
stag_hunt,fixed_types,ESL K=1,READY,10,2.2723999999999998,0.045399951052347474,2.2399228314831703,2.3048771685168292
stag_hunt,fixed_types,ESL without belief updates,READY,10,2.2636000000000003,0.03490686019808832,2.2386291364909283,2.2885708635090722
stag_hunt,fixed_types,PPO,READY,10,2.2521999999999998,0.06003295391329284,2.209255011831246,2.2951449881687536
stag_hunt,fixed_types,SOM,APPENDIX_ONLY,10,2.5888,0.04531568283840718,2.556383113331968,2.621216886668032
