init_noise,final_mce_mean,final_mce_std,final_mce_ci95_low,final_mce_ci95_high,final_mce_n,final_mce_mean_pm_std,kmeans_mce_mean,kmeans_mce_std,kmeans_mce_ci95_low,kmeans_mce_ci95_high,kmeans_mce_n,kmeans_mce_mean_pm_std,fcm_mce_mean,fcm_mce_std,fcm_mce_ci95_low,fcm_mce_ci95_high,fcm_mce_n,fcm_mce_mean_pm_std
0.01,0.023343716815546832,0.0008467870045769268,0.022737961883921548,0.023949471747172116,10,0.0233 ± 0.0008,0.0008030888334827811,3.352480269579196e-06,0.000800690613569748,0.0008054870533958143,10,0.0008 ± 0.0000,0.0008030888334802589,3.352480265277322e-06,0.0008006906135703031,0.0008054870533902146,10,0.0008 ± 0.0000
0.05,0.02271793093558912,0.0005946873702679073,0.02229251721836393,0.023143344652814313,10,0.0227 ± 0.0006,0.0008030888334827811,3.352480269579196e-06,0.000800690613569748,0.0008054870533958143,10,0.0008 ± 0.0000,0.0008030888334802589,3.352480265277322e-06,0.0008006906135703031,0.0008054870533902146,10,0.0008 ± 0.0000
0.1,0.022496089731982583,0.00046405399081308124,0.022164125504902994,0.02282805395906217,10,0.0225 ± 0.0005,0.0008030888334827811,3.352480269579196e-06,0.000800690613569748,0.0008054870533958143,10,0.0008 ± 0.0000,0.0008030888334802589,3.352480265277322e-06,0.0008006906135703031,0.0008054870533902146,10,0.0008 ± 0.0000
