method,focal_mean_per_round_mean,focal_mean_per_round_std,focal_mean_per_round_ci95_low,focal_mean_per_round_ci95_high,focal_mean_per_round_n
clustering_fcm,1.244825,0.033464543840376004,1.2208859074580376,1.2687640925419625,10
clustering_kmeans,1.24555,0.03446733558345088,1.2208935534593608,1.270206446540639,10
esl,1.2558000000000002,0.0329970116492051,1.2321953598397637,1.2794046401602368,10
esl_ablation_k1,1.2525750000000002,0.0340379791964473,1.2282256965159342,1.2769243034840663,10
