prototype_update_every_q,final_mce_mean,final_mce_std,final_mce_ci95_low,final_mce_ci95_high,final_mce_n,final_mce_mean_pm_std,kmeans_mce_mean,kmeans_mce_std,kmeans_mce_ci95_low,kmeans_mce_ci95_high,kmeans_mce_n,kmeans_mce_mean_pm_std,fcm_mce_mean,fcm_mce_std,fcm_mce_ci95_low,fcm_mce_ci95_high,fcm_mce_n,fcm_mce_mean_pm_std
1,0.021630085518866204,0.00029845492983713147,0.021416583723680948,0.02184358731405146,10,0.0216 ± 0.0003,0.0008030888334827811,3.352480269579196e-06,0.000800690613569748,0.0008054870533958143,10,0.0008 ± 0.0000,0.0008030888334802589,3.352480265277322e-06,0.0008006906135703031,0.0008054870533902146,10,0.0008 ± 0.0000
5,0.022177692779833856,0.00039072132168392664,0.021898187584050367,0.022457197975617346,10,0.0222 ± 0.0004,0.0008030888334827811,3.352480269579196e-06,0.000800690613569748,0.0008054870533958143,10,0.0008 ± 0.0000,0.0008030888334802589,3.352480265277322e-06,0.0008006906135703031,0.0008054870533902146,10,0.0008 ± 0.0000
15,0.02271793093558912,0.0005946873702679073,0.02229251721836393,0.023143344652814313,10,0.0227 ± 0.0006,0.0008030888334827811,3.352480269579196e-06,0.000800690613569748,0.0008054870533958143,10,0.0008 ± 0.0000,0.0008030888334802589,3.352480265277322e-06,0.0008006906135703031,0.0008054870533902146,10,0.0008 ± 0.0000
