game,seed,rm_c,eta_reg,batch_size,num_slow_steps,initial_prototype_norm,max_prototype_norm,final_prototype_norm,early_norm_mean,late_norm_mean,norm_growth_ratio,norm_late_early_ratio,early_movement,late_movement,movement_ratio,early_effective_step,late_effective_step,effective_step_ratio,early_entropy,late_entropy,entropy_change,late_usage_jsd_mean,late_usage_jsd_max,late_action_jsd_mean,late_action_jsd_max,gamma_first,gamma_last,cumulative_sum_gamma_last,cumulative_sum_gamma_sq_last
ipd,0,0.5,0.001,50,60,2.0808434152680575,2.012184177212686,1.8572081405010505,1.9388877440516115,1.863890539207653,0.8925266201550308,0.9613194703643647,0.020678915689488275,0.002014073193329414,0.09739742758142919,0.02055982190009696,0.0020062650245759456,0.09758182898298763,0.1977113540755787,0.13561807048099694,-0.062093283594581744,0.045915911728968035,0.10848582303976506,0.0025886491911763084,0.004934055836319343,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
ipd,1,0.5,0.001,50,60,2.0735685487884647,2.0186191128049837,1.9169760833811929,1.9728695788360955,1.9232634112151417,0.9244816548270058,0.9748558302317079,0.018509537117168618,0.0027955674749607124,0.15103389443313897,0.018390633509548757,0.0027877346555153226,0.15158448207169586,0.15963303983253818,0.16390394398250388,0.0042709041499656986,0.032950003151661605,0.05140247959071879,0.001755638497276783,0.0034344218373021313,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
ipd,2,0.5,0.001,50,60,1.9921022109231414,1.9442193688362277,1.8462531131801918,1.8834277618532012,1.8475309195485947,0.9267863380989055,0.98094068536545,0.01958427604912424,0.0020802518396830913,0.10622051254103493,0.01949900555992522,0.0020760103775328722,0.10646750015803544,0.1384562445622646,0.1138954511837115,-0.024560793378553103,0.08968124721280661,0.1691047074892184,0.0031713399903494717,0.008637690550999144,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
ipd,3,0.5,0.001,50,60,2.0457247410760906,1.9794830325278052,1.867709378785362,1.9373205149288286,1.869833881960325,0.9129817620541222,0.9651649624063456,0.018648804351680114,0.0016736855931894091,0.08974760856658474,0.01856701452806574,0.0016697639573806657,0.08993174184555437,0.2077381633033211,0.12051931173641507,-0.08721885156690602,0.052941992795266145,0.07942304534416147,0.00038063742495358563,0.0007698707746436047,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
ipd,4,0.5,0.001,50,60,2.037649667764052,1.9994560775946877,1.8722514041093767,1.9485644052423055,1.878700194921499,0.918828900634244,0.9641458038888282,0.012870102916452898,0.0020007470252217715,0.15545695618828767,0.012732922930779347,0.001990533353188472,0.15632964748233477,0.18453809525111003,0.19196070585064678,0.00742261059953675,0.002111838340262959,0.004174999246958876,0.0019073926776204163,0.0029778569442079177,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
ipd,5,0.5,0.001,50,60,2.0157738818939888,1.9250028602322566,1.8363649296156876,1.901869393475253,1.8427570180360642,0.91099748146864,0.9689188039715104,0.02303932761582553,0.0029549176191934084,0.12825537569784368,0.02294310958654146,0.0029469537259239893,0.12844613389514936,0.20203120824640522,0.11610909592248841,-0.0859221123239168,0.09626383033340047,0.163330990715236,0.0020113840385853248,0.00405452631147128,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
ipd,6,0.5,0.001,50,60,1.9905745530143737,1.9134081028065173,1.832876095871651,1.89312591412864,1.836084670938658,0.9207774173019965,0.9698692819298094,0.019588741367859038,0.0019020631443920535,0.09709981405507426,0.019495325579254777,0.0018993312910456951,0.09742495878431483,0.15141237230988197,0.09888565394466023,-0.05252671836522174,0.09734122747798588,0.19040022179580487,0.0012685333418965851,0.00405452631147128,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
ipd,7,0.5,0.001,50,60,2.0803784962967558,2.0213367188945646,1.9427766401283733,1.9919058165854229,1.9493725109314979,0.9338572974036575,0.9786469293378355,0.0171986341115492,0.0019313331032173276,0.1122957259681687,0.017101676001633242,0.001922137015675595,0.11239465742960089,0.09497426146324768,0.22651143032312457,0.13153716885987687,0.0304115345589202,0.041991430337543476,0.0035189099348541713,0.010956156453072352,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
ipd,8,0.5,0.001,50,60,2.04637254130184,1.94897269425434,1.8739972600219632,1.931047098152518,1.8777299896928092,0.9157654445606385,0.9723895349260416,0.01943398382109873,0.002626821690902188,0.1351664030948893,0.01933172062965798,0.002621491883544959,0.13560571941657212,0.12946475675639077,0.11375904234223386,-0.015705714414156913,0.05150162682138988,0.12487690218488155,0.0002674429137070765,0.0008752120719367818,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
ipd,9,0.5,0.001,50,60,1.988788845192291,1.933433919918059,1.8379553001307964,1.9165734326246862,1.8459130183248043,0.9241580897710079,0.9631319034809354,0.022514385775345862,0.0021343133180592097,0.09479775905751632,0.022433639635999706,0.0021252033386098533,0.09473288209548919,0.1466482010818287,0.1497078066212501,0.0030596055394214172,0.05238534657387672,0.11349390289312569,0.00010312383226292844,0.0003400162645334605,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
stag_hunt,0,0.5,0.001,50,60,2.0808434152680575,2.010083374985625,1.8955630803922816,1.9658735969205352,1.902140520658437,0.91095902098337,0.967580277611982,0.02163456584649883,0.002334714903465689,0.1079159581953673,0.021541193831755418,0.0023257217419288675,0.10796624180134132,0.1452466599323831,0.12125722879342124,-0.023989431138961848,0.0542303926973405,0.07404892409377922,0.003361570534860563,0.007335994061824003,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
stag_hunt,1,0.5,0.001,50,60,2.0735685487884647,1.9937839125888137,1.8861461503806034,1.9547776053211403,1.8880786070494453,0.9096135989729552,0.9658789838342059,0.02418250655669678,0.0021411170912625736,0.08853991567179546,0.024077872323456085,0.0021358697719075716,0.08870674880300194,0.18838661252725328,0.061884767683029904,-0.1265018448442234,0.044419892079264764,0.08245196623838086,0.005718740396640086,0.015744972094906003,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
stag_hunt,2,0.5,0.001,50,60,1.9921022109231414,1.9289828073861686,1.8473548718630328,1.898189227511005,1.8476113045165157,0.92733940142909,0.9733546464907455,0.017792312801543465,0.0017744150271774384,0.09972930708724442,0.017688571165507976,0.0017704874689103776,0.10009216981656263,0.10367794385031145,0.1000772867599475,-0.0036006570903639595,0.046163589061790605,0.08021879610069585,0.0035041365242259466,0.008671927721657716,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
stag_hunt,3,0.5,0.001,50,60,2.0457247410760906,1.9683766331696828,1.8633599244528452,1.9326548455707884,1.869618760220373,0.910855643009275,0.967383681832853,0.018085331538712394,0.002353976319773361,0.1301594231067635,0.017968541181564875,0.0023461440553822024,0.130569534369839,0.15323616566844786,0.16298286340915885,0.009746697740710991,0.04346939687948487,0.09245006451601706,0.002066537562113136,0.006637683198183971,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
stag_hunt,4,0.5,0.001,50,60,2.037649667764052,1.9794450576732139,1.8420755265809878,1.9335662257877102,1.847610159570941,0.9040197418245742,0.9555453208323642,0.014499849273940343,0.0021438566384309973,0.14785371888547935,0.014399990953591983,0.002136418966665991,0.14836252144540932,0.19811229679711956,0.1380713506031434,-0.06004094619397615,0.07261169115912375,0.11986614377763502,0.0223441614040338,0.05243620794119202,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
stag_hunt,5,0.5,0.001,50,60,2.0157738818939888,1.9575972583089392,1.8456213962813697,1.9178325202666153,1.8504621282361229,0.9155894978395361,0.9648715978488431,0.020515708964290787,0.00281134429314799,0.13703373829495033,0.020431687681783627,0.002802292610632118,0.13715424072043597,0.1455352545806832,0.13548216760363743,-0.010053086977045766,0.03042168165259764,0.04826552694346793,0.003729557722985342,0.0077776092744571874,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
stag_hunt,6,0.5,0.001,50,60,1.9905745530143737,1.907871342959305,1.8343217203079967,1.8961458255293802,1.8398074910023232,0.9215036520637925,0.970287973757858,0.016487481908815403,0.0022977679525758915,0.13936439568417894,0.016395618013679735,0.002294481023383041,0.13994477191824264,0.09500587466234937,0.11247073037871647,0.017464855716367092,0.058120348306368995,0.09667949937788753,0.0024943508654942615,0.0048186684592272655,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
stag_hunt,7,0.5,0.001,50,60,2.0803784962967558,2.02303449764825,1.9179913013523557,1.9824873462662351,1.9230536278918342,0.9219434371036508,0.9700206316643902,0.016626701367506005,0.002289946905604909,0.13772707255572725,0.016504108300609582,0.002285325143328386,0.13847007676530923,0.11474759582091879,0.147469047067728,0.032721451246809224,0.05060356881314193,0.10039553437360177,0.0030414000610802694,0.004177042885012878,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
stag_hunt,8,0.5,0.001,50,60,2.04637254130184,1.9966686018678457,1.9182679403582166,1.9917760139130167,1.9263394049411253,0.9373991791044424,0.9671466025723768,0.015354613134794257,0.0025072541670504564,0.1632899601598495,0.01528778170638653,0.002495026533516416,0.1632039612702024,0.052681449737840856,0.20800783126127229,0.15532638152343142,0.03363311827783849,0.06453256814522182,0.003963639433658764,0.009434743265716326,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
stag_hunt,9,0.5,0.001,50,60,1.988788845192291,1.9031077026441372,1.7992186942423425,1.8697101960296003,1.803043753912578,0.904680604274196,0.9643439703871803,0.021063664449147947,0.002559757600139646,0.12152479955799864,0.020981509577090787,0.0025548361798664303,0.12176608029462262,0.2042308575144834,0.1859946109775431,-0.01823624653694028,0.06950625356029647,0.1365107638228489,0.006283432868390452,0.015700853549168045,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
matching_pennies,0,0.5,0.001,50,60,2.0808434152680575,2.0212890241623342,1.9094965592074342,1.9802365711128815,1.912653657394,0.9176550936974034,0.9658712930036939,0.01864113518838833,0.0023320922011374314,0.12510462359556865,0.01854084909952393,0.002326776665813786,0.1254946121034732,0.1873983403178419,0.14109393420732796,-0.046304406110513924,0.014709564423071905,0.0435810520654182,0.0008259471530870719,0.0019451810198665691,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
matching_pennies,1,0.5,0.001,50,60,2.0735685487884647,2.0432581020762384,1.9161566164172636,1.9969152214198265,1.9205460827883922,0.9240864583603118,0.9617564442334537,0.01720888196975885,0.0021821455219857176,0.12680344521046746,0.01711968867238142,0.0021730394399352487,0.12693218209282833,0.16216971834117413,0.12832554079148126,-0.03384417754969288,0.050503388196724744,0.13778104478870526,0.010157630745749671,0.0362204006087685,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
matching_pennies,2,0.5,0.001,50,60,1.9921022109231414,1.9533378683943377,1.8286058553145534,1.9035484840135988,1.8314899977477184,0.9179277274468645,0.962145179452458,0.016861373937426666,0.0022726153433087716,0.13478233456790364,0.0167407391829372,0.0022697665168790277,0.13558341074881927,0.15173397308909628,0.15657940397267298,0.004845430883576696,0.04724056773383896,0.13161992621279628,0.007345756053295944,0.0140215851646485,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
matching_pennies,3,0.5,0.001,50,60,2.0457247410760906,1.9952776401682437,1.893932421033339,1.9480853944791598,1.8990872257596736,0.9258002227792846,0.9748480385621974,0.017707375121952185,0.0019470835040773953,0.10995890077821625,0.01760675644954845,0.0019389911588084715,0.11012767538215135,0.18349350235329187,0.12304963910699737,-0.0604438632462945,0.033577876552121085,0.07828368657956766,0.008882903791739038,0.0277043682388343,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
matching_pennies,4,0.5,0.001,50,60,2.037649667764052,1.9559587654097679,1.8795277217378543,1.9381290998241627,1.882248726462875,0.922399837161553,0.971167878668992,0.019189062414078466,0.0026727655433205683,0.13928588513838158,0.019117806300955675,0.0026684554621201526,0.1395795846088659,0.13573752222735683,0.1268872954437809,-0.008850226783575915,0.023040373605011204,0.04885752477685314,0.0045926086935266465,0.012175383378582011,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
matching_pennies,5,0.5,0.001,50,60,2.0157738818939888,1.9324499152008117,1.8493221426167277,1.9039038506498864,1.8513834704030983,0.9174253914229379,0.9724143736413682,0.02385159905260186,0.002283735401502794,0.09574768536341263,0.02376724142526334,0.0022806721964899013,0.09595864137878725,0.18531316356178865,0.11346215797801934,-0.0718510055837693,0.04272467354473022,0.054249759491877714,0.003156316492299086,0.007787242684267896,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
matching_pennies,6,0.5,0.001,50,60,1.9905745530143737,1.9093730881151059,1.7760032555685774,1.8757768674575643,1.7826843168883313,0.8922063496085259,0.9503712023619253,0.016377549616459385,0.0025193722131468268,0.1538308399087288,0.016266384809667123,0.0025110073722928745,0.15436788208776306,0.18877640841870566,0.1626106487483526,-0.02616575967035306,0.033766037966441766,0.06083395584838486,0.005929677420699395,0.010806679260845692,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
matching_pennies,7,0.5,0.001,50,60,2.0803784962967558,2.0423011319983244,1.9339330098166039,1.9941656495128968,1.9380445412805996,0.9296063256081348,0.9718573488385954,0.021446739794407765,0.0024961261038313988,0.11638720513046293,0.021342127579102133,0.002489608882992901,0.11665232876925943,0.2078207873230048,0.1354343255705576,-0.0723864617524472,0.0468553081649289,0.10177488856714327,0.010841298057082366,0.018645961398031784,0.5,0.012549715455124354,2.821031434356847,0.4588236066353605
